"","ID","run_team","def_team","run_length","start_score","end_score","run_start","run_end","time","time_clean"
"655","5723013","Florida","North Carolina",2,"52-60","54-60","2H-13:11","2H-13:11",0,"0:00"
"656","5723013","Florida","North Carolina",2,"59-65","61-65","2H-09:52","2H-09:52",0,"0:00"
"657","5723013","North Carolina","Florida",2,"63-63","65-63","2H-09:18","2H-09:18",0,"0:00"
"658","5723013","North Carolina","Florida",2,"64-65","66-65","2H-08:50","2H-08:50",0,"0:00"
"659","5723013","Florida","North Carolina",2,"63-68","65-68","2H-08:28","2H-08:28",0,"0:00"
"660","5723013","North Carolina","Florida",2,"71-74","73-74","2H-05:14","2H-05:14",0,"0:00"
"661","5723013","Florida","North Carolina",2,"80-78","81-79","2H-03:42","2H-03:42",0,"0:00"
"662","5723013","North Carolina","Florida",2,"80-84","82-84","2H-02:13","2H-02:13",0,"0:00"
"663","5723033","North Carolina","UCLA",2,"0-0","2-0","1H-19:31","1H-19:31",0,"0:00"
"664","5723033","UCLA","North Carolina",2,"9-9","11-9","1H-15:22","1H-15:22",0,"0:00"
"665","5723033","North Carolina","UCLA",2,"9-11","11-11","1H-14:57","1H-14:57",0,"0:00"
"666","5723033","UCLA","North Carolina",2,"11-11","13-11","1H-14:31","1H-14:31",0,"0:00"
"667","5723033","North Carolina","UCLA",2,"11-13","13-13","1H-12:58","1H-12:58",0,"0:00"
"668","5723033","UCLA","North Carolina",2,"21-14","23-14","1H-09:38","1H-09:38",0,"0:00"
"669","5723033","North Carolina","UCLA",2,"27-36","29-36","1H-02:34","1H-02:34",0,"0:00"
"670","5723033","UCLA","North Carolina",2,"44-39","46-39","2H-17:25","2H-17:25",0,"0:00"
"671","5723033","North Carolina","UCLA",2,"39-46","41-46","2H-15:57","2H-15:57",0,"0:00"
"672","5723033","North Carolina","UCLA",2,"41-53","43-53","2H-13:26","2H-13:26",0,"0:00"
"673","5723033","UCLA","North Carolina",2,"59-47","61-47","2H-10:53","2H-10:53",0,"0:00"
"674","5723033","North Carolina","UCLA",2,"63-66","65-66","2H-05:42","2H-05:42",0,"0:00"
"675","5723033","UCLA","North Carolina",2,"66-65","68-65","2H-05:28","2H-05:28",0,"0:00"
"676","5723033","North Carolina","UCLA",2,"65-68","67-68","2H-04:41","2H-04:41",0,"0:00"
"677","5723033","UCLA","North Carolina",2,"69-68","71-68","2H-03:42","2H-03:42",0,"0:00"
"678","5723033","North Carolina","UCLA",2,"68-71","70-71","2H-02:29","2H-02:29",0,"0:00"
"679","5723033","North Carolina","UCLA",2,"70-72","72-72","2H-01:32","2H-01:32",0,"0:00"
"680","5723033","UCLA","North Carolina",2,"72-72","74-72","2H-00:36","2H-00:36",0,"0:00"
"681","5723044","North Carolina","Campbell",2,"0-0","2-0","1H-19:45","1H-19:45",0,"0:00"
"682","5723044","Campbell","North Carolina",2,"0-2","2-2","1H-19:29","1H-19:29",0,"0:00"
"683","5723044","North Carolina","Campbell",2,"2-2","4-2","1H-18:53","1H-18:53",0,"0:00"
"684","5723044","Campbell","North Carolina",2,"18-26","20-26","1H-08:57","1H-08:57",0,"0:00"
"685","5723044","North Carolina","Campbell",2,"26-20","28-20","1H-08:29","1H-08:29",0,"0:00"
"686","5723044","Campbell","North Carolina",2,"29-40","31-40","2H-19:11","2H-19:11",0,"0:00"
"687","5723044","Campbell","North Carolina",2,"31-47","33-47","2H-17:27","2H-17:27",0,"0:00"
"688","5723044","North Carolina","Campbell",2,"47-33","49-33","2H-17:09","2H-17:09",0,"0:00"
"689","5723044","Campbell","North Carolina",2,"33-49","35-49","2H-16:58","2H-16:58",0,"0:00"
"690","5723044","North Carolina","Campbell",2,"49-35","51-35","2H-16:45","2H-16:45",0,"0:00"
"691","5723044","Campbell","North Carolina",2,"36-55","38-55","2H-14:44","2H-14:44",0,"0:00"
"692","5723044","North Carolina","Campbell",2,"55-38","57-38","2H-14:37","2H-14:37",0,"0:00"
"693","5723044","Campbell","North Carolina",2,"38-57","40-57","2H-14:15","2H-14:15",0,"0:00"
"694","5723044","Campbell","North Carolina",2,"40-64","42-64","2H-10:34","2H-10:34",0,"0:00"
"695","5723044","North Carolina","Campbell",2,"67-45","69-45","2H-09:11","2H-09:11",0,"0:00"
"696","5723044","Campbell","North Carolina",2,"45-69","47-69","2H-08:55","2H-08:55",0,"0:00"
"697","5723044","Campbell","North Carolina",2,"47-73","49-73","2H-07:36","2H-07:36",0,"0:00"
"698","5723044","North Carolina","Campbell",2,"78-52","80-52","2H-06:23","2H-06:23",0,"0:00"
"699","5723044","North Carolina","Campbell",2,"80-53","82-53","2H-05:52","2H-05:52",0,"0:00"
"700","5723044","North Carolina","Campbell",2,"82-59","84-59","2H-04:56","2H-04:56",0,"0:00"
"701","5723044","North Carolina","Campbell",2,"87-65","89-65","2H-03:43","2H-03:43",0,"0:00"
"702","5723044","Campbell","North Carolina",2,"69-92","71-92","2H-02:44","2H-02:44",0,"0:00"
"703","5723044","North Carolina","Campbell",2,"92-71","94-71","2H-02:33","2H-02:33",0,"0:00"
"704","5723044","Campbell","North Carolina",2,"71-94","73-94","2H-02:23","2H-02:23",0,"0:00"
"705","5723044","North Carolina","Campbell",2,"95-76","97-76","2H-01:19","2H-01:19",0,"0:00"
"706","5730381","Hawaii","North Carolina",2,"0-3","2-3","1H-16:56","1H-16:56",0,"0:00"
"707","5730381","North Carolina","Hawaii",2,"13-5","15-5","1H-13:10","1H-13:10",0,"0:00"
"708","5730381","Hawaii","North Carolina",2,"8-18","10-18","1H-11:30","1H-11:30",0,"0:00"
"709","5730381","North Carolina","Hawaii",2,"18-10","20-10","1H-11:13","1H-11:13",0,"0:00"
"710","5730381","North Carolina","Hawaii",2,"20-11","22-11","1H-10:08","1H-10:08",0,"0:00"
"711","5730381","North Carolina","Hawaii",2,"22-14","24-14","1H-09:07","1H-09:07",0,"0:00"
"712","5730381","Hawaii","North Carolina",2,"14-24","16-24","1H-08:04","1H-08:04",0,"0:00"
"713","5730381","North Carolina","Hawaii",2,"24-16","26-16","1H-07:56","1H-07:56",0,"0:00"
"714","5730381","Hawaii","North Carolina",2,"32-38","34-38","1H-00:37","1H-00:37",0,"0:00"
"715","5730381","Hawaii","North Carolina",2,"34-41","36-41","2H-19:33","2H-19:33",0,"0:00"
"716","5730381","North Carolina","Hawaii",2,"58-40","60-40","2H-13:53","2H-13:53",0,"0:00"
"717","5730381","North Carolina","Hawaii",2,"60-46","62-46","2H-11:58","2H-11:58",0,"0:00"
"718","5730381","North Carolina","Hawaii",2,"62-49","64-49","2H-11:16","2H-11:16",0,"0:00"
"719","5730381","North Carolina","Hawaii",2,"64-52","66-52","2H-10:48","2H-10:48",0,"0:00"
"720","5730381","Hawaii","North Carolina",2,"52-66","54-66","2H-10:27","2H-10:27",0,"0:00"
"721","5730381","North Carolina","Hawaii",2,"66-54","68-54","2H-08:22","2H-08:22",0,"0:00"
"722","5730381","Hawaii","North Carolina",2,"54-68","56-68","2H-08:07","2H-08:07",0,"0:00"
"723","5730381","North Carolina","Hawaii",2,"78-60","80-60","2H-04:37","2H-04:37",0,"0:00"
"724","5730381","North Carolina","Hawaii",2,"85-69","87-69","2H-00:02","2H-00:02",0,"0:00"
"725","5732390","Boston College","North Carolina",2,"0-3","2-3","1H-17:52","1H-17:52",0,"0:00"
"726","5732390","Boston College","North Carolina",2,"2-7","4-7","1H-16:55","1H-16:55",0,"0:00"
"727","5732390","North Carolina","Boston College",2,"7-4","9-4","1H-16:49","1H-16:49",0,"0:00"
"728","5732390","North Carolina","Boston College",2,"9-8","11-8","1H-15:32","1H-15:32",0,"0:00"
"729","5732390","North Carolina","Boston College",2,"11-9","13-9","1H-14:22","1H-14:22",0,"0:00"
"730","5732390","Boston College","North Carolina",2,"9-13","11-13","1H-13:36","1H-13:36",0,"0:00"
"731","5732390","North Carolina","Boston College",2,"13-11","15-11","1H-13:11","1H-13:11",0,"0:00"
"732","5732390","Boston College","North Carolina",2,"11-15","13-15","1H-12:22","1H-12:22",0,"0:00"
"733","5732390","North Carolina","Boston College",2,"15-13","17-13","1H-12:02","1H-12:02",0,"0:00"
"734","5732390","Boston College","North Carolina",2,"13-17","15-17","1H-11:45","1H-11:45",0,"0:00"
"735","5732390","North Carolina","Boston College",2,"24-20","26-20","1H-09:19","1H-09:19",0,"0:00"
"736","5732390","Boston College","North Carolina",2,"20-26","22-26","1H-09:02","1H-09:02",0,"0:00"
"737","5732390","North Carolina","Boston College",2,"27-25","29-25","1H-07:37","1H-07:37",0,"0:00"
"738","5732390","Boston College","North Carolina",2,"25-29","27-29","1H-07:18","1H-07:18",0,"0:00"
"739","5732390","North Carolina","Boston College",2,"29-27","31-27","1H-07:04","1H-07:04",0,"0:00"
"740","5732390","North Carolina","Boston College",2,"31-32","33-32","1H-05:55","1H-05:55",0,"0:00"
"741","5732390","North Carolina","Boston College",2,"41-38","43-38","1H-02:36","1H-02:36",0,"0:00"
"742","5732390","North Carolina","Boston College",2,"43-43","45-43","1H-01:12","1H-01:12",0,"0:00"
"743","5732390","Boston College","North Carolina",2,"43-45","45-45","1H-00:43","1H-00:43",0,"0:00"
"744","5732390","North Carolina","Boston College",2,"46-48","48-48","2H-17:46","2H-17:46",0,"0:00"
"745","5732390","Boston College","North Carolina",2,"48-48","50-48","2H-17:29","2H-17:29",0,"0:00"
"746","5732390","North Carolina","Boston College",2,"48-50","50-50","2H-16:55","2H-16:55",0,"0:00"
"747","5732390","North Carolina","Boston College",2,"53-57","55-57","2H-14:25","2H-14:25",0,"0:00"
"748","5732390","Boston College","North Carolina",2,"57-55","59-55","2H-14:13","2H-14:13",0,"0:00"
"749","5732390","North Carolina","Boston College",2,"55-59","57-59","2H-13:42","2H-13:42",0,"0:00"
"750","5732390","Boston College","North Carolina",2,"62-61","64-61","2H-11:40","2H-11:40",0,"0:00"
"751","5732390","North Carolina","Boston College",2,"72-74","74-74","2H-06:01","2H-06:01",0,"0:00"
"752","5732390","Boston College","North Carolina",2,"74-74","76-74","2H-05:33","2H-05:33",0,"0:00"
"753","5732390","North Carolina","Boston College",2,"74-76","76-76","2H-05:20","2H-05:20",0,"0:00"
"754","5732390","North Carolina","Boston College",2,"76-79","78-79","2H-04:36","2H-04:36",0,"0:00"
"755","5732390","Boston College","North Carolina",2,"89-91","91-91","3H-03:28","3H-03:28",0,"0:00"
"756","5732390","North Carolina","Boston College",2,"94-94","96-94","3H-02:26","3H-02:26",0,"0:00"
"757","5732390","Boston College","North Carolina",2,"94-96","96-96","3H-02:10","3H-02:10",0,"0:00"
"758","5732517","NC State","North Carolina",2,"0-0","2-0","1H-19:35","1H-19:35",0,"0:00"
"759","5732517","NC State","North Carolina",2,"6-10","8-10","1H-12:00","1H-12:00",0,"0:00"
"760","5732517","North Carolina","NC State",2,"10-8","12-8","1H-11:06","1H-11:06",0,"0:00"
"761","5732517","North Carolina","NC State",2,"12-13","14-13","1H-07:32","1H-07:32",0,"0:00"
"762","5732517","NC State","North Carolina",2,"20-29","22-29","2H-18:57","2H-18:57",0,"0:00"
"763","5732517","NC State","North Carolina",2,"22-30","24-30","2H-18:25","2H-18:25",0,"0:00"
"764","5732517","North Carolina","NC State",2,"30-24","32-24","2H-17:45","2H-17:45",0,"0:00"
"765","5732517","NC State","North Carolina",2,"36-39","38-39","2H-12:00","2H-12:00",0,"0:00"
"766","5732517","NC State","North Carolina",2,"38-40","40-40","2H-11:26","2H-11:26",0,"0:00"
"767","5732517","NC State","North Carolina",2,"40-44","42-44","2H-10:16","2H-10:16",0,"0:00"
"768","5732517","NC State","North Carolina",2,"42-49","44-49","2H-08:34","2H-08:34",0,"0:00"
"769","5732517","North Carolina","NC State",2,"49-44","51-44","2H-07:26","2H-07:26",0,"0:00"
"770","5732517","NC State","North Carolina",2,"44-51","46-51","2H-07:09","2H-07:09",0,"0:00"
"771","5732517","North Carolina","NC State",2,"51-46","53-46","2H-06:43","2H-06:43",0,"0:00"
"772","5732517","North Carolina","NC State",2,"56-53","58-53","2H-04:07","2H-04:07",0,"0:00"
"773","5732517","NC State","North Carolina",2,"59-61","61-61","2H-01:29","2H-01:29",0,"0:00"
"774","5732517","North Carolina","NC State",2,"61-61","63-61","2H-00:24","2H-00:24",0,"0:00"
"775","5732549","Georgia Tech","North Carolina",2,"0-0","2-0","1H-18:52","1H-18:52",0,"0:00"
