"","game_id","date","type","team","opp","conf","opp_conf","location","result","score","team_rtg","opp_rtg","bub_rtg","bub_win_prob","wab","game_score","game_type","wab_if_win","wab_if_loss","expected_wab","opp_net_rank","quad"
"36","CampbellWisconsin11-3",2025-11-03,"nc","Wisconsin","Campbell","B10","CAA","H","W","96-64",0.912547368005041,0.328144124718356,0.87694452176131,0.935860100022699,0.0641398999773011,90.1,"played",NA,NA,NA,203,"Q4"
"37","CanisiusDayton11-3",2025-11-03,"nc","Canisius","Dayton","MAAC","A10","A","L","48-88",0.0954309225860535,0.807195274593298,0.789142831518436,0.471998985638577,-0.471998985638577,1.1,"played",NA,NA,NA,80,"Q2"
"38","CanisiusDayton11-3",2025-11-03,"nc","Dayton","Canisius","A10","MAAC","H","W","88-48",0.807195274593298,0.0954309225860535,0.87694452176131,0.985412055930804,0.0145879440691957,97.6,"played",NA,NA,NA,342,"Q4"
"39","Central ArkansasNorth Carolina11-3",2025-11-03,"nc","Central Arkansas","North Carolina","ASun","ACC","A","L","54-94",0.418065212261552,0.915901822614029,0.789142831518436,0.255753553094345,-0.255753553094345,2.9,"played",NA,NA,NA,27,"Q1"
"40","Central ArkansasNorth Carolina11-3",2025-11-03,"nc","North Carolina","Central Arkansas","ACC","ASun","H","W","94-54",0.915901822614029,0.418065212261552,0.87694452176131,0.90842295146866,0.0915770485313399,99.6,"played",NA,NA,NA,206,"Q4"
"41","Charleston SouthernVirginia Tech11-3",2025-11-03,"nc","Charleston Southern","Virginia Tech","BSth","ACC","A","L","67-98",0.292665902024428,0.854429765296934,0.789142831518436,0.389358562738908,-0.389358562738908,23.8,"played",NA,NA,NA,50,"Q1"
"42","Charleston SouthernVirginia Tech11-3",2025-11-03,"nc","Virginia Tech","Charleston Southern","ACC","BSth","H","W","98-67",0.854429765296934,0.292665902024428,0.87694452176131,0.945126064842993,0.0548739351570074,88.6,"played",NA,NA,NA,222,"Q4"
"43","Chicago St.DePaul11-3",2025-11-03,"nc","Chicago St.","DePaul","NEC","BE","A","L","62-92",0.0593133175710385,0.723084613124789,0.789142831518436,0.589028840328832,-0.589028840328832,3.2,"played",NA,NA,NA,112,"Q2"
"44","Chicago St.DePaul11-3",2025-11-03,"nc","DePaul","Chicago St.","BE","NEC","H","W","92-62",0.723084613124789,0.0593133175710385,0.87694452176131,0.991229781857855,0.00877021814214496,83.3,"played",NA,NA,NA,355,"Q4"
"45","Cleveland St.Loyola Chicago11-3",2025-11-03,"nc","Cleveland St.","Loyola Chicago","Horz","A10","A","L","88-91",0.171036320889641,0.284392590127506,0.789142831518436,0.904005315354815,-0.904005315354815,20.1,"played",NA,NA,NA,316,"Q4"
"46","Cleveland St.Loyola Chicago11-3",2025-11-03,"nc","Loyola Chicago","Cleveland St.","A10","Horz","H","W","91-88",0.284392590127506,0.171036320889641,0.87694452176131,0.971862437436649,0.0281375625633514,24.5,"played",NA,NA,NA,322,"Q4"
"47","Coastal CarolinaWestern Michigan11-3",2025-11-03,"nc","Coastal Carolina","Western Michigan","SB","MAC","A","L","71-76",0.252970711135508,0.402803910439342,0.789142831518436,0.847297721963019,-0.847297721963019,33.6,"played",NA,NA,NA,256,"Q4"
"48","Coastal CarolinaWestern Michigan11-3",2025-11-03,"nc","Western Michigan","Coastal Carolina","MAC","SB","H","W","76-71",0.402803910439342,0.252970711135508,0.87694452176131,0.954637205419097,0.0453627945809025,31.1,"played",NA,NA,NA,236,"Q4"
