Rk,Coach,Yrs,From▼,To,G,W,L,T,W-L%,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
279,John Madden+,10,1969,1978,142,103,32,7,.759,71,8,16,9,7,.563,1.3,1,1,1,1
280,Alex Webster,5,1969,1973,70,29,40,1,.421,-11,0,0,0,0,,3.4,2,,,
281,Charlie Waller,2,1969,1970,19,9,7,3,.563,2,0,0,0,0,,3.0,3,0,0,0
282,Jerry Williams,3,1969,1971,31,7,22,2,.241,-15,0,0,0,0,,4.0,3,0,0,0
283,Clive Rush,2,1969,1970,21,5,16,0,.238,-11,0,0,0,0,,4.0,3,0,0,0
284,Dick Nolan,11,1968,1980,156,69,82,5,.457,-13,3,5,2,3,.400,2.4,1,0,0,0
285,Phil Bengtson,4,1968,1972,47,21,25,1,.457,-4,0,0,0,0,,3.5,3,0,0,0
286,Jim Dooley,4,1968,1971,56,20,36,0,.357,-16,0,0,0,0,,3.3,2,0,0,0
287,Harvey Johnson,2,1968,1971,26,2,23,1,.080,-21,0,0,0,0,,5.0,5,0,0,0
288,Bud Grant+,18,1967,1985,259,158,96,5,.621,62,12,22,10,12,.455,1.9,1,0,0,4
289,Joe Schmidt+,6,1967,1972,84,43,34,7,.558,9,1,1,0,1,.000,2.5,2,0,0,0
290,Tom Fears+,4,1967,1970,49,13,34,2,.277,-21,0,0,0,0,,3.5,3,0,0,0
291,George Allen+,12,1966,1977,168,116,47,5,.712,69,7,9,2,7,.222,1.9,1,0,0,1
292,Ray Malavasi,6,1966,1982,85,44,41,0,.518,3,3,6,3,3,.500,2.5,1,0,0,1
293,Charley Winner,7,1966,1975,93,44,44,5,.500,0,0,0,0,0,,3.3,2,0,0,0
294,John Rauch,5,1966,1970,70,40,28,2,.588,12,2,4,2,2,.500,2.2,1,0,0,1
295,Bill Austin,4,1966,1970,56,17,36,3,.321,-19,0,0,0,0,,4.5,4,0,0,0
296,Otto Graham+,3,1966,1968,42,17,22,3,.436,-5,0,0,0,0,,3.7,3,0,0,0
297,Joe Collier,3,1966,1968,30,13,16,1,.448,-3,1,1,0,1,.000,3.0,1,0,0,0
298,Norb Hecker,3,1966,1968,31,4,26,1,.133,-22,0,0,0,0,,5.0,4,0,0,0
299,Harry Gilmer,2,1965,1966,28,10,16,2,.385,-6,0,0,0,0,,6.0,6,0,0,0
300,Hugh Taylor,1,1965,1965,14,4,10,0,.286,-6,0,0,0,0,,4.0,4,0,0,0
301,Mac Speedie+,3,1964,1966,26,6,19,1,.240,-13,0,0,0,0,,4.0,4,0,0,0
302,Don Shula+,33,1963,1995,490,328,156,6,.677,172,19,36,19,17,.528,1.8,1,2,2,6
303,Blanton Collier,8,1963,1970,112,76,34,2,.691,42,5,7,3,4,.429,1.4,1,1,0,0
304,Jack Christiansen+,5,1963,1967,67,26,38,3,.406,-12,0,0,0,0,,5.0,3,0,0,0
305,Al Davis+,3,1963,1965,42,23,16,3,.590,7,0,0,0,0,,2.3,2,0,0,0
306,Harland Svare,7,1962,1973,74,21,48,5,.310,-27,0,0,0,0,,5.1,3,0,0,0
307,Jack Faulkner,3,1962,1964,32,9,22,1,.290,-13,0,0,0,0,,3.3,2,0,0,0
308,Bulldog Turner+,1,1962,1962,14,5,9,0,.357,-4,0,0,0,0,,4.0,4,0,0,0
309,Bill Conkright,1,1962,1962,9,1,8,0,.111,-7,0,0,0,0,,4.0,4,0,0,0
310,Norm Van Brocklin+,13,1961,1974,173,66,100,7,.398,-34,0,0,0,0,,3.9,2,0,0,0
311,Wally Lemm,10,1961,1970,135,64,64,7,.500,0,3,3,1,2,.333,3.0,1,1,0,0
312,Allie Sherman,8,1961,1968,112,57,51,4,.528,6,3,3,0,3,.000,3.0,1,,,
313,Mike Holovak,9,1961,1976,108,52,47,9,.525,5,1,2,1,1,.500,2.8,1,0,0,0
314,Nick Skorich,7,1961,1974,98,45,48,5,.484,-3,2,2,0,2,.000,3.7,1,0,0,0
315,Bill McPeak,5,1961,1965,70,21,46,3,.313,-25,0,0,0,0,,4.8,3,0,0,0
316,Chuck Drulis,1,1961,1961,2,2,0,0,1.000,2,0,0,0,0,,4.0,4,0,0,0
317,Marty Feldman,2,1961,1962,17,2,15,0,.118,-13,0,0,0,0,,4.0,4,0,0,0
318,Ray Prochaska,1,1961,1961,2,2,0,0,1.000,2,0,0,0,0,,4.0,4,0,0,0
319,Ray Willsey,1,1961,1961,2,2,0,0,1.000,2,0,0,0,0,,4.0,4,0,0,0
320,Tom Landry+,29,1960,1988,418,250,162,6,.607,88,18,36,20,16,.556,2.4,1,2,2,5
321,Hank Stram+,17,1960,1977,238,131,97,10,.574,34,5,8,5,3,.625,2.2,1,2,1,2
322,Lou Saban,16,1960,1976,201,95,99,7,.490,-4,4,4,2,2,.500,3.0,1,2,0,0
