"","team","conf.x","net","prev_net","sos","non_conf_sos","wab","non_conf_wab","wins","losses","wins_non_conf","losses_non_conf","road_wins","road_losses","q1_win","q1_loss","q2_win","q2_loss","q3_win","q3_loss","q4_win","q4_loss","date","net_percentile","conf.y","total","non_con","league","home","away","neutral","quad_1","quad_2","quad_3","quad_4"
"258","South Carolina St.","MEAC",194,202,300,175,-9.12,-6.49,17,12,4,9,7,10,0,2,0,2,0,5,17,3,2025-03-14,0.46831955922865,"MEAC",-8.2,-5.91,-2.34,-1.72,-6.57,0.09,-0.56,-1.22,-4.16,-2.26
"259","South Carolina","SEC",87,87,15,234,-5.4,-0.87,12,20,10,3,1,10,1,16,2,3,3,0,6,1,2025-03-14,0.763085399449036,"SEC",-5.65,-0.5,-4.66,-2.35,-2.53,-0.77,-4.46,-1,0.47,-0.66
"260","South Dakota","Summit",233,233,259,244,-10.46,-4.1,16,14,6,6,4,11,0,3,0,2,3,5,13,4,2025-03-14,0.360881542699725,"Summit",-8.86,-3.69,-4.58,-1.18,-7.09,-0.59,-1.26,-2,-2.79,-2.81
"261","South Florida","American",189,190,127,170,-13.43,-3.65,12,19,6,6,2,10,0,3,1,5,1,9,10,2,2025-03-14,0.482093663911846,"American",-12.47,-3.43,-8.21,-4.8,-6.05,-1.62,-0.95,-3.36,-6.77,-1.39
"262","Southeast Missouri St.","Ohio Valley",187,189,330,117,-9.44,-4.17,18,12,2,6,8,7,0,1,0,2,2,3,16,6,2025-03-14,0.487603305785124,"Ohio Valley",-8.66,-4.04,-3.78,-2.56,-4.35,-1.75,-0.34,-1.21,-2.29,-4.82
"263","Southeastern Louisiana","Southland",209,209,286,247,-10.81,-3.57,16,14,4,5,9,8,0,2,0,2,2,3,14,7,2025-03-14,0.426997245179063,"Southland",-9.51,-3.09,-5.5,-3.3,-4.43,-1.78,-0.72,-1.36,-1.87,-5.56
"264","USC","Big Ten",69,68,43,253,-3.99,-1.27,16,17,8,3,3,7,3,13,4,2,3,2,6,0,2025-03-14,0.81267217630854,"Big Ten",-3.84,-1.17,-2.73,-2.68,-0.4,-0.76,-2.91,0.11,-1.36,0.32
"265","Southern Illinois","Missouri Valley",196,195,139,138,-13.79,-4.09,12,19,3,6,5,7,0,1,0,7,6,9,6,2,2025-03-14,0.462809917355372,"Missouri Valley",-12.73,-3.77,-8.5,-5.6,-4.12,-3.01,-0.09,-4.46,-6.83,-1.35
"266","SIUE(AQ)","Ohio Valley",216,216,343,164,-8.62,-2.4,19,11,4,4,7,8,0,2,0,0,2,2,17,7,2025-03-14,0.40771349862259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","SMU","ACC",46,45,95,287,-1.8,-0.49,23,10,9,2,7,4,0,5,6,5,12,0,5,0,2025-03-14,0.87603305785124,"ACC",-0.35,-0.19,-0.07,-1.24,0.28,0.61,-1.74,-0.95,2.2,0.14
"268","Southern Miss","Sun Belt",299,299,263,260,-18.38,-6.29,9,22,3,8,1,13,0,1,0,5,1,8,8,8,2025-03-14,0.179063360881543,"Sun Belt",-17.13,-5.81,-10.44,-5.17,-9.78,-2.18,-0.4,-3.22,-6.39,-7.12
"269","Southern","SWAC",224,224,207,23,-8.05,-4.39,17,12,2,8,9,10,0,5,1,0,0,2,16,5,2025-03-14,0.385674931129477,"SWAC",-7.15,-3.88,-2.31,-0.8,-5.39,-0.96,-1.79,0.3,-1.59,-4.07
"270","Southern Utah","WAC",306,305,187,134,-15.01,-3.64,9,19,5,6,3,11,0,2,0,3,2,7,7,7,2025-03-14,0.159779614325069,"WAC",-13.48,-3.04,-9.48,-6.11,-6.48,-0.89,-0.36,-1.78,-5.21,-6.13
"271","Missouri St.","Missouri Valley",245,244,158,281,-18.35,-2.71,7,23,5,4,1,12,0,1,1,7,2,10,4,5,2025-03-14,0.327823691460055,"Missouri Valley",-17.23,-2.26,-14.16,-6.83,-8.22,-2.18,-0.4,-4.17,-8.29,-4.37
"272","Texas St.","Sun Belt",199,198,282,299,-12.78,-4.55,14,16,5,6,4,10,0,0,1,5,4,6,9,5,2025-03-14,0.454545454545455,"Sun Belt",-11.59,-4.08,-6.56,-3.24,-6.88,-1.47,0,-2.79,-4.5,-4.3
"273","Louisiana Lafayette","Sun Belt",320,320,233,182,-16.98,-7.72,11,21,2,10,6,5,0,1,1,4,1,7,9,9,2025-03-14,0.121212121212121,"Sun Belt",-15.92,-7.36,-7.63,-10.58,-2.31,-3.03,-0.05,-2.21,-5.74,-7.92
"274","Stanford","ACC",81,81,78,250,-3.57,-1.27,20,13,8,3,3,8,2,8,2,4,7,0,9,1,2025-03-14,0.77961432506887,"ACC",-2.57,-1.06,-1.4,-0.03,-1.28,-1.26,-1.21,-1.97,1.06,-0.45
"275","Stephen F. Austin","Southland",273,273,217,116,-13.33,-2.17,11,17,4,4,6,9,0,3,0,2,3,2,8,10,2025-03-14,0.25068870523416,"Southland",-12.28,-1.95,-10.33,-7.13,-5.15,0,-1.15,-1.33,-0.95,-8.85
"276","Stony Brook","CAA",340,340,275,246,-20.57,-7.1,7,24,3,9,3,13,0,2,0,2,2,7,5,13,2025-03-14,0.0661157024793388,"CAA",-19.56,-6.77,-11.87,-8.19,-9.5,-1.87,-0.76,-1.43,-5.44,-11.93
"277","Syracuse","ACC",133,133,67,45,-8.44,-1.57,14,19,6,5,2,9,0,10,2,6,6,3,6,0,2025-03-14,0.636363636363636,"ACC",-7.73,-1.67,-5.82,-2.68,-3.83,-1.22,-3.31,-3.25,-1.41,0.24
