"","team","conf.x","net","prev_net","sos","non_conf_sos","wab","non_conf_wab","wins","losses","wins_non_conf","losses_non_conf","road_wins","road_losses","q1_win","q1_loss","q2_win","q2_loss","q3_win","q3_loss","q4_win","q4_loss","date","net_percentile","conf.y","total","non_con","league","home","away","neutral","quad_1","quad_2","quad_3","quad_4"
"52","Appalachian St.","Sun Belt",170,173,242,108,-10.43,-2.66,15,14,5,5,5,8,0,2,0,3,4,3,11,6,2025-03-14,0.534435261707989,"Sun Belt",-9.38,-2.34,-6.09,-3.3,-4.65,-1.43,-0.63,-1.92,-1.86,-4.97
"53","Arizona St.","Big 12",75,73,9,26,-4,1.89,13,19,9,2,3,8,3,14,4,3,2,2,4,0,2025-03-14,0.796143250688705,"Big 12",-3.1,2.02,-4.56,-4.06,-0.38,1.34,-1.02,-1.88,-0.45,0.25
"54","Arizona","Big 12",12,11,6,34,4.86,-1.37,22,11,6,5,6,5,10,9,4,2,4,0,4,0,2025-03-14,0.96969696969697,"Big 12",5.52,-1.25,5.31,2.28,2.9,0.34,3.11,1.61,0.69,0.11
"55","Arkansas St.","Sun Belt",94,95,215,150,-5.66,-1.53,23,10,8,4,8,5,1,1,2,3,4,4,16,2,2025-03-14,0.743801652892562,"Sun Belt",-4.58,-1.22,-2.92,-1.2,-1.25,-2.13,0.46,-1.37,-2.65,-1.02
"56","Arkansas","SEC",40,39,21,176,1.35,0.51,20,13,11,2,4,6,5,10,4,3,4,0,7,0,2025-03-14,0.892561983471074,"SEC",1.19,0.63,0.62,0.65,0.69,-0.15,0.43,-0.17,0.69,0.24
"57","Little Rock","Ohio Valley",234,234,307,92,-11.01,-2.79,17,14,4,5,9,7,0,2,0,1,2,4,15,7,2025-03-14,0.358126721763085,"Ohio Valley",-10.02,-2.49,-6.69,-4.63,-3.59,-1.8,-0.55,-0.59,-3.06,-5.82
"58","Austin Peay","Atlantic Sun",282,283,171,82,-14.39,-5.22,12,19,3,8,4,13,0,2,1,4,2,6,9,7,2025-03-14,0.225895316804408,"Atlantic Sun",-13.29,-4.85,-7.86,-4.3,-8.21,-0.78,-0.47,-2.11,-4.57,-6.14
"59","Ball St.","Mid-American",276,277,333,350,-14.69,-5.17,11,17,4,6,4,9,0,1,1,1,2,6,8,9,2025-03-14,0.242424242424242,"Mid-American",-13.7,-4.82,-8.88,-6.42,-6.5,-0.78,-0.52,-0.27,-4.7,-8.21
"60","Charleston Southern","Big South",294,295,160,113,-17.41,-7.98,8,22,2,11,3,14,0,2,0,4,1,10,7,6,2025-03-14,0.192837465564738,"Big South",-16.03,-7.18,-7.94,-4.34,-8.9,-2.79,-0.46,-2.3,-8.03,-5.24
"61","Baylor","Big 12",30,31,7,12,1.36,0.91,18,14,7,3,3,9,5,12,6,1,2,1,5,0,2025-03-14,0.920110192837466,"Big 12",1.98,0.8,0.96,1.12,-0.37,1.23,0.41,1.93,-0.6,0.24
"62","Bethune Cookman","SWAC",277,274,197,42,-11.42,-5.91,17,16,3,10,7,12,0,4,0,2,1,4,16,6,2025-03-14,0.239669421487603,"SWAC",-10.06,-5.13,-4.04,-1.73,-6.58,-1.75,-1.14,-1.16,-2.87,-4.89
"63","Binghamton","America East",311,311,355,345,-15.08,-5.93,12,17,5,7,5,12,0,1,0,0,0,7,12,9,2025-03-14,0.146005509641873,"America East",-14.15,-5.44,-7.81,-3.65,-9.59,-0.91,-0.45,0,-6.7,-7
"64","Boise St.","Mountain West",43,43,80,121,-0.24,-0.73,23,9,7,3,6,5,3,5,5,2,5,1,10,1,2025-03-14,0.884297520661157,"Mountain West",0.61,-0.47,0.0999999999999999,0.59,-0.28,0.3,-0.0999999999999999,0.7,0.23,-0.22
"65","Boston College","ACC",204,204,91,289,-11,-1.5,12,19,8,3,0,10,1,7,0,8,2,3,9,1,2025-03-14,0.440771349862259,"ACC",-9.78,-1.3,-8.48,-4.54,-5.5,0.26,-2.28,-4.89,-2.16,-0.45
"66","Boston University","Patriot",290,290,358,329,-14.01,-5.7,15,16,5,7,3,12,0,1,0,0,1,3,14,12,2025-03-14,0.203856749311295,"Patriot",-13.15,-5.32,-6.86,-3.49,-9.7,0.04,-0.21,0,-3.22,-9.72
"67","Bowling Green","Mid-American",289,289,321,314,-15.32,-5.69,12,18,4,7,5,8,0,1,0,2,2,6,10,9,2025-03-14,0.206611570247934,"Mid-American",-14.29,-5.31,-8.24,-7.22,-5.62,-1.45,-0.16,-1.42,-4.71,-8
"68","Bradley","Missouri Valley",80,80,167,297,-3.04,-0.66,25,8,8,2,8,3,1,0,2,6,11,2,11,0,2025-03-14,0.78236914600551,"Missouri Valley",-1.97,-0.32,-1.32,-1.57,0.04,-0.44,0.6,-3.18,-0.0699999999999999,0.68
"69","BYU","Big 12",24,23,46,313,3.9,-0.68,24,9,9,2,6,5,8,7,5,2,5,0,6,0,2025-03-14,0.9366391184573,"Big 12",4.8,-0.42,4.57,2.21,2,0.59,2.68,1.34,0.61,0.17
"70","Brown","Ivy",215,214,191,206,-9.32,-2.86,13,13,7,5,6,7,0,3,1,1,3,3,9,6,2025-03-14,0.410468319559229,"Ivy",-8.61,-2.64,-5.97,-5.25,-3.36,0,-0.9,-0.48,-2.02,-5.21
"71","Bryant","America East",151,150,312,198,-8.07,-6.67,20,11,4,9,10,7,0,1,0,3,3,2,17,5,2025-03-14,0.586776859504132,"America East",-7.04,-6.05,-1.04,-2.64,-3.58,-0.82,-0.18,-1.82,-0.99,-4.05
"72","Bucknell","Patriot",213,213,257,84,-11.1,-5.73,18,15,4,9,6,10,0,3,0,1,1,3,17,8,2025-03-14,0.415977961432507,"Patriot",-10.29,-5.35,-3.99,-3.45,-5.9,-0.94,-0.5,-0.63,-2.3,-6.86
"73","Buffalo","Mid-American",341,341,238,160,-18.4,-5.78,7,22,3,8,3,13,0,2,0,3,0,9,7,8,2025-03-14,0.0633608815426997,"Mid-American",-17.23,-5.26,-11.97,-8.24,-8.99,0,-0.71,-1.77,-7.62,-7.13
"74","Butler","Big East",83,83,51,53,-6.39,-0.72,14,19,7,4,2,9,1,11,4,6,4,1,5,1,2025-03-14,0.774104683195592,"Big East",-6.07,-0.64,-5.38,-4.35,-2.43,0.71,-3.33,-1.93,-0.0499999999999999,-0.76
"75","Cal Poly","Big West",180,176,111,81,-12.36,-3.2,15,19,5,6,5,13,0,5,1,5,3,8,11,1,2025-03-14,0.506887052341598,"Big West",-11.37,-2.43,-8.5,-3.85,-7.08,-0.44,-1.95,-2.98,-6.06,-0.38
"76","Cal St. Bakersfield","Big West",244,242,193,344,-14.62,-5.11,12,19,4,6,4,11,0,2,0,4,3,9,9,4,2025-03-14,0.330578512396694,"Big West",-13.75,-4.52,-8.39,-4.74,-7.34,-1.67,-0.86,-3.48,-6.17,-3.24
"77","Fresno St.","Mountain West",278,278,81,204,-17.27,-5.04,6,26,4,7,1,14,0,7,0,8,0,7,6,4,2025-03-14,0.236914600550964,"Mountain West",-16.29,-4.54,-11.04,-6.61,-7.36,-2.32,-2.24,-5.12,-5.54,-3.39
"78","Cal St. Fullerton","Big West",348,348,110,88,-20.07,-4.51,4,26,3,7,2,15,0,3,0,7,1,8,3,8,2025-03-14,0.0440771349862259,"Big West",-19.17,-3.91,-15.26,-9.79,-9.38,0,-1.07,-4.28,-6.49,-7.33
"79","Cal St. Northridge","Big West",104,105,182,301,-5.65,-1.83,20,10,6,3,10,6,1,2,0,3,6,4,13,1,2025-03-14,0.716253443526171,"Big West",-4.79,-1.31,-2.64,-2.03,-2.02,-0.74,-0.28,-2.03,-2.13,-0.35
"80","Sacramento St.","Big Sky",344,344,288,231,-21.96,-7.36,4,25,1,9,2,13,0,1,0,3,0,8,4,13,2025-03-14,0.0550964187327824,"Big Sky",-20.68,-6.99,-12.74,-10.14,-9.59,-0.95,-0.35,-1.9,-6.65,-11.78
"81","UC Santa Barbara","Big West",140,136,195,363,-8.49,-2.49,19,13,6,3,7,7,0,3,0,3,5,5,14,2,2025-03-14,0.617079889807163,"Big West",-7.81,-1.99,-5.58,-3.83,-3.74,-0.24,-1.36,-2.14,-3.23,-1.08
"82","California","ACC",124,125,72,109,-9.15,-1.43,14,19,7,4,2,11,1,8,1,7,4,3,8,1,2025-03-14,0.661157024793388,"ACC",-7.94,-1.15,-6.3,-4.05,-2.86,-1.03,-1.53,-3.96,-1.91,-0.54
"83","Loyola MD","Patriot",308,308,352,303,-16.91,-4.71,11,19,4,6,5,12,0,1,0,1,1,4,10,13,2025-03-14,0.154269972451791,"Patriot",-16.02,-4.35,-10.86,-6.63,-9.39,0,-0.26,-0.64,-3.3,-11.82
"84","Loyola Marymount","WCC",161,161,99,233,-7.76,-2.2,16,15,7,4,3,8,0,7,1,4,7,1,8,3,2025-03-14,0.559228650137741,"WCC",-6.91,-1.96,-4.24,-3.26,-3.25,-0.4,-2.38,-2.46,0.3,-2.37
"85","Loyola Chicago","Atlantic 10",107,109,155,355,-5.17,-3.07,21,10,8,4,5,5,0,3,2,3,10,4,9,0,2025-03-14,0.707988980716253,"Atlantic 10",-4.17,-2.85,-1.55,0.7,-1.9,-2.97,-1.02,-1.86,-1.68,0.39
"86","Maine","America East",197,196,341,298,-10.5,-5.28,18,13,6,7,8,10,0,1,0,0,4,5,14,7,2025-03-14,0.460055096418733,"America East",-9.47,-4.72,-4.93,-2.68,-6.93,0.14,-0.06,0,-3.34,-6.07
"87","Manhattan","Metro Atlantic",243,243,348,236,-10.87,-2.69,16,13,4,4,8,7,0,1,0,1,2,1,14,10,2025-03-14,0.333333333333333,"Metro Atlantic",-10.02,-2.41,-6.69,-4.58,-4.52,-0.92,-0.15,-0.6,-0.68,-8.59
"88","Marist","Metro Atlantic",246,245,364,364,-8.89,-1.73,20,10,7,2,9,5,0,0,0,0,1,1,19,9,2025-03-14,0.325068870523416,"Metro Atlantic",-8.03,-1.41,-5.68,-3.55,-3.54,-0.94,0,0,0.19,-8.22
"89","Marquette","Big East",25,25,40,14,3.15,2.24,23,10,9,2,7,6,6,8,7,2,5,0,5,0,2025-03-14,0.933884297520661,"Big East",3.62,2.22,1.14,1.21,1.55,0.86,0.69,1.98,0.8,0.15
"90","Marshall","Sun Belt",176,178,293,269,-9.85,-4.37,18,13,5,6,5,9,0,1,0,3,3,5,15,4,2025-03-14,0.517906336088154,"Sun Belt",-8.71,-4.05,-4.01,-2.12,-5.94,-0.65,-0.19,-2.07,-3.59,-2.86
"91","UMBC","America East",296,296,326,300,-16.45,-5.42,10,19,5,7,5,10,0,1,0,2,3,4,7,12,2025-03-14,0.18732782369146,"America East",-15.58,-5.01,-9.81,-8.58,-7,0,-0.45,-1.17,-3.64,-10.32
"92","Maryland","Big Ten",9,12,52,327,4.73,0.21,25,7,10,1,5,5,8,6,6,1,3,0,8,0,2025-03-14,0.977961432506887,"Big Ten",4.95,0.34,3.94,2.19,1.39,1.37,2.82,1.28,0.65,0.2
"93","Maryland Eastern Shore","MEAC",361,361,120,21,-20.06,-7.63,2,25,0,12,1,17,0,5,0,0,0,7,2,13,2025-03-14,0.00826446280991733,"MEAC",-19.37,-7.38,-11.1,-6.77,-11.71,-0.89,-1.33,0,-5.73,-12.31
"94","Massachusetts","Atlantic 10",221,221,135,296,-14.73,-6.39,11,20,4,8,4,7,0,4,1,4,5,7,5,5,2025-03-14,0.393939393939394,"Atlantic 10",-13.38,-5.94,-6.54,-6.71,-2.76,-3.91,-1.05,-2.87,-5.02,-4.44
"95","Memphis","American",48,48,88,3,3.41,3.03,27,5,10,3,11,2,6,1,5,2,9,2,7,0,2025-03-14,0.870523415977961,"American",4.46,3.1,1.19,0.66,2.47,1.33,3.52,1.21,-0.78,0.51
"96","Mercer","Southern",261,261,267,306,-15.5,-4.61,12,19,5,6,5,11,0,0,0,7,3,10,9,2,2025-03-14,0.283746556473829,"Southern",-14.41,-3.95,-9.66,-5.39,-7.49,-1.53,0,-4.69,-8.12,-1.6
"97","Miami OH","Mid-American",145,151,290,222,-4.77,-2.16,23,8,7,4,6,7,0,2,1,1,5,2,17,3,2025-03-14,0.603305785123967,"Mid-American",-3.75,-1.87,-2.14,-0.36,-3.77,0.38,-0.65,-0.27,-0.79,-2.04
"98","Miami FL","ACC",225,225,69,99,-14.24,-4.37,7,24,4,7,0,10,0,8,0,9,3,4,4,3,2025-03-14,0.382920110192837,"ACC",-13.5,-4.39,-9.11,-6.74,-4.88,-1.88,-2.3,-5.69,-2.75,-2.76
"99","Michigan St.","Big Ten",11,10,36,132,7.99,0.36,27,5,9,2,8,2,13,4,5,1,5,0,4,0,2025-03-14,0.972451790633609,"Big Ten",8.09,0.42,7.13,2.93,4.55,0.61,6.22,1.1,0.65,0.12
"100","Michigan","Big Ten",27,30,27,127,4.44,-0.59,23,9,8,3,7,3,10,7,4,2,7,0,2,0,2025-03-14,0.928374655647383,"Big Ten",4.79,-0.36,4.46,1.35,3.67,-0.23,3.55,0.14,1,0.1
"101","Middle Tennessee","CUSA",106,104,138,155,-5.78,-1.75,20,11,7,4,8,5,0,2,1,5,14,4,5,0,2025-03-14,0.710743801652893,"CUSA",-4.21,-1.43,-2.15,-2.59,-0.47,-1.15,-0.53,-3.15,-0.87,0.34
"102","Minnesota","Big Ten",95,96,49,335,-4.62,-1.87,15,17,8,3,5,5,7,8,1,7,1,2,6,0,2025-03-14,0.741046831955923,"Big Ten",-4.47,-1.71,-2.22,-4.15,1.69,-2.01,1.2,-4.29,-1.58,0.2
"103","Mississippi St.","SEC",34,34,14,126,3.05,1.85,21,12,12,1,6,5,7,10,6,2,2,0,6,0,2025-03-14,0.909090909090909,"SEC",2.91,2.06,0.84,-0.45,2.86,0.5,1.52,0.77,0.4,0.22
"104","Mississippi Valley St.","SWAC",364,364,104,2,-21.95,-5.34,1,28,0,11,1,19,0,7,0,2,0,1,1,18,2025-03-14,0,"SWAC",-20.87,-4.71,-16.16,-8.78,-12.09,0,-2.58,-0.54,-0.73,-17.02
"105","Mississippi","SEC",28,27,4,72,5.08,1.47,22,11,11,2,5,6,8,10,5,1,2,0,7,0,2025-03-14,0.925619834710744,"SEC",4.79,1.64,2.77,1.52,1.93,1.34,2.25,2.01,0.29,0.24
"106","Missouri","SEC",16,17,20,223,3.51,0.17,22,11,11,2,3,7,7,11,3,0,4,0,8,0,2025-03-14,0.958677685950413,"SEC",2.99,0.17,2.42,2.56,0.36,0.0699999999999999,1.15,1.04,0.63,0.17
"107","Monmouth","CAA",258,258,203,110,-15.46,-7.96,13,20,2,11,4,14,0,2,0,2,3,12,10,4,2025-03-14,0.292011019283747,"CAA",-14.39,-7.53,-6.09,-1.39,-9.55,-3.45,-0.23,-0.47,-10.49,-3.2
"108","Montana(AQ)","Big Sky",141,141,146,20,-3.97,-2.34,22,9,4,6,7,8,0,4,1,2,4,3,17,0,2025-03-14,0.614325068870523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Morgan St.","MEAC",332,334,306,197,-15.28,-7.84,10,18,2,10,2,13,0,2,0,1,0,5,10,10,2025-03-14,0.0881542699724518,"MEAC",-14.43,-7.44,-6.14,-3.63,-9.95,-0.85,-0.45,-0.56,-4.27,-9.15
"110","Mount St. Mary's","Metro Atlantic",240,248,316,168,-9.1,-2.02,20,12,6,4,9,8,0,2,0,1,4,1,16,8,2025-03-14,0.341597796143251,"Metro Atlantic",-8.18,-1.63,-6.71,-3.63,-4.71,0.16,-0.65,-0.59,-0.16,-6.78
"111","Murray St.","Missouri Valley",143,144,136,205,-11.58,-3.22,15,17,5,5,6,8,1,1,2,6,5,7,7,3,2025-03-14,0.608815426997245,"Missouri Valley",-10.7,-2.89,-7.14,-3.85,-4.21,-2.64,0.11,-3.43,-5.18,-2.2
"112","UNC Asheville","Big South",192,193,225,152,-7.43,-2.95,17,11,5,5,6,9,0,2,0,2,3,5,14,2,2025-03-14,0.473829201101928,"Big South",-6.48,-2.59,-3.06,-0.46,-5.3,-0.72,-0.61,-1.18,-3.61,-1.08
"113","North Carolina","ACC",36,35,42,5,0.81,0.44,22,13,7,5,6,6,1,12,8,0,7,1,6,0,2025-03-14,0.903581267217631,"ACC",1.48,0.26,0.71,0.21,0.34,0.93,-2.12,2.78,0.49,0.33
"114","Charlotte","American",267,266,204,317,-17.61,-4.59,10,22,6,6,1,12,0,2,0,4,1,12,9,4,2025-03-14,0.267217630853995,"American",-16.32,-4.26,-11.41,-6.81,-8.14,-1.37,-0.82,-1.99,-10.42,-3.09
"115","UNC Greensboro","Southern",138,139,235,187,-8.39,-4.15,17,12,4,6,8,6,0,2,3,1,4,6,10,3,2025-03-14,0.622589531680441,"Southern",-7.59,-3.8,-2.83,-2.18,-2.81,-2.6,-0.74,0.15,-4.63,-2.37
"116","UNCW(AQ)","CAA",102,102,329,321,-4.26,-1.73,25,7,8,3,9,4,0,1,0,0,8,3,17,3,2025-03-14,0.721763085399449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Nebraska","Big Ten",61,59,39,192,-1.59,1,17,14,10,1,5,7,5,10,4,2,2,2,6,0,2025-03-14,0.834710743801653,"Big Ten",-1.4,1.16,-2.56,-2.1,0.62,0.08,-0.15,-0.18,-1.29,0.22
"118","Omaha(AQ)","Summit",160,160,229,180,-7.97,-6.52,20,12,4,9,7,9,0,1,0,6,6,1,14,4,2025-03-14,0.56198347107438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","UNLV","Mountain West",98,98,77,79,-5.51,-2.18,18,15,6,5,5,7,1,8,2,6,6,0,9,1,2025-03-14,0.732782369146006,"Mountain West",-4.98,-2.04,-2.48,-2.13,-1.42,-1.43,-2.46,-3.11,0.98,-0.39
"120","Nevada","Mountain West",79,79,89,171,-7.4,-0.85,17,16,8,3,3,8,1,7,2,6,4,3,10,0,2025-03-14,0.785123966942149,"Mountain West",-6.38,-0.49,-5.48,-3.02,-3.35,-0.01,-1.6,-3.7,-1.73,0.65
"121","UC Davis","Big West",237,237,140,208,-11.97,-3.41,13,17,4,5,7,10,0,2,1,6,4,5,8,4,2025-03-14,0.349862258953168,"Big West",-11.09,-2.81,-7.4,-4.87,-5.34,-0.88,-0.86,-3.41,-3.51,-3.31
"122","UC Irvine","Big West",60,61,183,214,-0.37,-0.11,27,5,9,2,14,3,1,0,3,2,12,3,11,0,2025-03-14,0.837465564738292,"Big West",0.79,0.59,0.0800000000000003,-1.08,1.22,0.65,0.65,-0.27,-0.2,0.61
"123","UCLA","Big Ten",26,24,32,83,3.18,0.78,22,10,9,2,5,5,9,8,5,1,1,1,7,0,2025-03-14,0.931129476584022,"Big Ten",3.28,0.71,2.84,1.6,1.39,0.29,2.8,1.02,-0.69,0.15
"124","UC Riverside","Big West",142,142,103,33,-5.37,-1.64,19,12,5,5,7,10,1,5,3,1,5,4,10,2,2025-03-14,0.611570247933884,"Big West",-4.59,-1.14,-2.57,0.2,-3.91,-0.88,-1.03,0.29,-2.53,-1.32
"125","Campbell","CAA",222,222,265,217,-13.58,-6.13,13,17,3,8,7,10,0,2,0,2,3,6,10,7,2025-03-14,0.391184573002755,"CAA",-12.63,-5.8,-5.91,-5.35,-6.36,-0.92,-0.63,-1.24,-4.65,-6.11
"126","Canisius","Metro Atlantic",357,357,241,71,-24.18,-8.06,3,28,0,11,2,15,0,2,0,2,0,4,3,20,2025-03-14,0.0192837465564738,"Metro Atlantic",-23.29,-7.72,-15.57,-11.4,-10.98,-0.91,-0.3,-1.2,-3.22,-18.57
"127","Central Connecticut","Northeast",168,168,363,316,-5.39,-2.7,23,7,7,4,12,3,1,0,0,1,1,1,21,5,2025-03-14,0.539944903581267,"Northeast",-4.59,-2.27,-1.37,-2.71,-0.99,-0.89,0,-0.13,-0.59,-3.87
"128","UCF","Big 12",70,70,41,209,-2.85,-0.05,17,16,9,2,2,8,3,11,2,5,7,0,5,0,2025-03-14,0.809917355371901,"Big 12",-2.01,0.11,-2.18,0.0100000000000001,-1.2,-0.82,-1.16,-2.01,0.88,0.28
"129","Central Michigan","Mid-American",219,219,132,18,-12.32,-2.62,10,17,3,6,5,10,1,3,1,3,0,5,8,6,2025-03-14,0.399449035812672,"Mid-American",-11.44,-2.37,-9.07,-5.47,-5.54,-0.43,-0.34,-1.53,-4.25,-5.32
"130","Chicago St.","Northeast",358,358,144,44,-22.78,-10.3,4,28,0,15,1,19,0,4,0,5,0,4,4,15,2025-03-14,0.0165289256198347,"Northeast",-21.64,-9.59,-11.15,-6.69,-13.22,-1.73,-1.15,-3.11,-3.36,-14.02
"131","Cincinnati","Big 12",49,49,48,251,-2.21,0.73,18,15,10,1,4,9,3,11,7,3,2,1,6,0,2025-03-14,0.867768595041322,"Big 12",-0.99,1.08,-2.11,-0.22,-1.14,0.37,-2.5,0.98,0.35,0.18
"132","The Citadel","Southern",362,362,270,307,-22.09,-5.13,1,25,1,6,0,12,0,1,0,4,0,10,1,10,2025-03-14,0.00550964187327818,"Southern",-21.45,-4.93,-15.56,-11.24,-9.25,-0.96,-0.34,-2.85,-8.69,-9.57
"133","Clemson","ACC",22,22,76,76,3.77,-0.13,27,6,8,3,9,3,5,3,8,2,8,1,6,0,2025-03-14,0.942148760330578,"ACC",4.92,-0.00999999999999993,4.76,1.53,2.42,0.97,2.17,1.77,0.67,0.31
"134","Cleveland St.","Horizon",174,175,277,128,-8.69,-3.26,18,12,3,5,7,7,0,1,0,3,6,6,12,2,2025-03-14,0.523415977961432,"Horizon",-7.71,-2.89,-3.96,-3.3,-3.51,-0.9,-0.66,-1.32,-4.25,-1.48
"135","Coastal Carolina","Sun Belt",328,328,340,357,-19.58,-5.2,8,22,5,6,3,13,0,0,0,3,1,8,7,11,2025-03-14,0.0991735537190083,"Sun Belt",-18.26,-4.68,-12.62,-7.37,-9.97,-0.92,0,-1.86,-6.43,-9.97
"136","Colorado St.","Mountain West",50,52,86,139,-0.25,-2.67,24,9,6,5,7,4,2,5,7,2,4,2,11,0,2025-03-14,0.865013774104683,"Mountain West",0.500000000000001,-2.37,2.09,0.32,0.63,-0.45,-0.69,1.35,-0.89,0.73
"137","Colorado","Big 12",86,86,22,86,-5.25,0.76,14,20,9,2,0,10,2,14,4,6,3,0,5,0,2025-03-14,0.765840220385675,"Big 12",-4.46,0.76,-6.03,-1.84,-3.47,0.85,-3.37,-1.67,0.46,0.12
"138","Columbia","Ivy",271,271,272,330,-12.21,-0.82,10,15,9,2,3,9,1,1,0,3,0,4,9,7,2025-03-14,0.256198347107438,"Ivy",-11.29,-0.46,-10.83,-5.32,-5.97,0,0.12,-1.95,-3.31,-6.15
"139","Coppin St.","MEAC",359,359,211,107,-20.16,-9.72,5,24,1,13,1,17,0,4,0,4,0,4,5,12,2025-03-14,0.0137741046831956,"MEAC",-18.91,-8.93,-9.1,-5.71,-12.32,-0.88,-1.43,-2.89,-2.41,-12.18
"140","Cornell","Ivy",127,128,308,343,-7.61,-3.98,15,10,6,5,8,5,0,1,1,2,3,4,11,3,2025-03-14,0.652892561983471,"Ivy",-6.6,-3.45,-3.15,-4.16,-2.44,0,-0.51,-1.09,-2.95,-2.05
"141","Creighton","Big East",37,40,53,49,2.93,-0.67,24,9,7,4,6,5,6,5,5,4,8,0,5,0,2025-03-14,0.900826446280992,"Big East",3.38,-0.61,3.2,1.91,1.29,0.18,1.65,0.0700000000000001,1.46,0.2
"142","Dartmouth","Ivy",202,203,310,356,-10.62,-6.15,12,13,4,7,5,9,0,1,0,3,4,1,8,8,2025-03-14,0.446280991735537,"Ivy",-9.77,-5.73,-4.04,-3.36,-6.41,0,-0.51,-2.08,-1,-6.18
"143","Davidson","Atlantic 10",153,154,123,207,-10.18,-0.87,16,16,9,3,4,7,0,5,1,3,4,8,11,0,2025-03-14,0.581267217630854,"Atlantic 10",-9.14,-0.71,-7.75,-4.55,-3.64,-0.95,-1.79,-2.15,-5.79,0.59
"144","Dayton","Atlantic 10",67,67,96,55,-2.39,0.55,21,10,9,3,5,4,3,3,3,6,9,1,6,0,2025-03-14,0.818181818181818,"Atlantic 10",-1.5,0.52,-1.36,0.64,-0.84,-1.3,0.54,-3.16,0.92,0.2
"145","DePaul","Big East",120,120,59,256,-7.85,-0.29,14,19,9,2,2,10,0,11,3,5,3,3,8,0,2025-03-14,0.672176308539945,"Big East",-7.46,-0.13,-7.17,-4.54,-2.76,-0.16,-4.23,-1.33,-2.11,0.21
"146","Delaware St.","MEAC",305,306,323,220,-11.68,-5.15,12,14,4,7,3,11,0,2,0,1,1,4,11,7,2025-03-14,0.162534435261708,"MEAC",-10.85,-4.73,-5.16,-1.76,-8.23,-0.86,-0.35,-1.13,-2.18,-7.19
"147","Delaware","CAA",235,235,271,245,-16.2,-4.26,14,20,5,6,3,11,0,1,1,1,2,11,11,7,2025-03-14,0.355371900826446,"CAA",-15.08,-3.91,-10.74,-6.22,-7.85,-1.01,-0.18,-0.31,-8.75,-5.84
"148","Denver","Summit",300,300,247,254,-17.5,-7.12,8,21,3,9,3,12,0,1,0,3,2,11,6,6,2025-03-14,0.176308539944904,"Summit",-15.81,-6.51,-8.52,-5.15,-8.11,-2.55,-0.33,-2.5,-7.79,-5.19
"149","Detroit","Horizon",329,329,248,157,-20.26,-4.97,7,24,3,7,2,15,0,2,0,2,2,11,5,9,2025-03-14,0.0964187327823691,"Horizon",-19.05,-4.46,-13.72,-6.39,-10.88,-1.78,-0.64,-1.36,-8.85,-8.2
"150","Drexel","CAA",184,185,349,358,-12.71,-4.15,17,15,7,5,7,7,0,0,0,1,4,11,13,3,2025-03-14,0.495867768595041,"CAA",-11.69,-3.78,-7.13,-5.01,-5.08,-1.6,0,-0.75,-8.82,-2.12
"151","Duke","ACC",1,1,62,11,8.05,2.33,30,3,9,2,10,1,8,3,7,0,10,0,5,0,2025-03-14,1,"ACC",8.93,2.21,5.89,3.12,4.94,0.87,4.71,2.25,1.69,0.28
"152","East Carolina","American",177,169,231,336,-10.1,-3.87,17,14,6,5,4,6,0,1,2,3,4,8,11,2,2025-03-14,0.515151515151515,"American",-8.94,-3.61,-4.69,-4.51,-3.11,-1.32,-0.43,-1.69,-5.51,-1.31
"153","East Tennessee St.","Southern",147,146,309,347,-10.14,-5.04,17,13,5,6,6,9,0,0,2,3,3,7,12,3,2025-03-14,0.597796143250689,"Southern",-9.16,-4.49,-3.84,-2.23,-6.1,-0.83,0,-0.85,-6.12,-2.19
"154","Eastern Illinois","Ohio Valley",318,319,226,25,-15.44,-4.16,9,19,1,7,4,12,0,3,0,2,0,4,9,10,2025-03-14,0.126721763085399,"Ohio Valley",-14.44,-3.75,-10.69,-6.66,-7.85,0.07,-0.98,-1.15,-3.29,-9.02
"155","Eastern Kentucky","Atlantic Sun",186,188,168,70,-9.5,-4.04,16,14,4,7,7,9,0,3,1,2,4,4,11,5,2025-03-14,0.490358126721763,"Atlantic Sun",-8.59,-3.75,-4.04,-2.43,-4.53,-1.63,-0.88,-0.87,-2.57,-4.27
"156","Eastern Michigan","Mid-American",268,268,342,346,-13.51,-4.95,15,16,6,6,6,10,0,0,0,2,3,10,12,4,2025-03-14,0.264462809917355,"Mid-American",-12.15,-4.31,-7,-4.27,-7.12,-0.76,0,-1.28,-7.78,-3.09
"157","Eastern Washington","Big Sky",283,282,201,87,-17.87,-6.25,8,22,2,9,2,14,0,2,0,4,1,9,7,7,2025-03-14,0.223140495867769,"Big Sky",-16.27,-5.53,-9.82,-5.24,-9.35,-1.68,-0.64,-2.51,-7.02,-6.1
"158","Evansville","Missouri Valley",257,256,145,185,-15.94,-6.12,10,21,2,8,4,11,0,3,1,4,5,9,4,5,2025-03-14,0.294765840220386,"Missouri Valley",-14.99,-5.88,-8.25,-7.64,-6.49,-0.86,-1.2,-2.4,-7.05,-4.34
