"","date","type","game_id","year","location","team","opponent"
"93",2023-11-06,"nc","IonaCollege of Charleston11-6",2024,"home","College of Charleston","Iona"
"94",2023-11-06,"nc","Northern KentuckyMiddle Tennessee11-6",2024,"home","Middle Tennessee","Northern Kentucky"
"95",2023-11-06,"nond1","Trinity ChristianValparaiso11-6",2024,"home","Valparaiso","Trinity Christian"
"96",2023-11-06,"nond1","Blue Mountain (MS)North Alabama11-6",2024,"home","North Alabama","Blue Mountain (MS)"
"97",2023-11-06,"nc","Long Beach St.Portland11-6",2024,"home","Portland","Long Beach St."
"98",2023-11-06,"nc","SamfordPurdue11-6",2024,"home","Purdue","Samford"
"99",2023-11-06,"nc","Eastern WashingtonUtah11-6",2024,"home","Utah","Eastern Washington"
"100",2023-11-06,"nc","Kansas St.USC11-6",2024,"neutral","USC","Kansas St."
"101",2023-11-06,"nond1","CUIPepperdine11-6",2024,"home","Pepperdine","CUI"
"102",2023-11-06,"nond1","UNT DallasGrambling St.11-6",2024,"home","Grambling St.","UNT Dallas"
"103",2023-11-06,"nc","Texas SouthernNew Mexico11-6",2024,"home","New Mexico","Texas Southern"
"104",2023-11-06,"nond1","MillsapsNew Orleans11-6",2024,"home","New Orleans","Millsaps"
"105",2023-11-06,"nond1","Warner PacificIdaho St.11-6",2024,"home","Idaho St.","Warner Pacific"
"106",2023-11-06,"nond1","John JayPenn11-6",2024,"home","Penn","John Jay"
"107",2023-11-06,"nond1","VoorheesSouth Carolina St.11-6",2024,"home","South Carolina St.","Voorhees"
"108",2023-11-06,"nc","IdahoWashington St.11-6",2024,"home","Washington St.","Idaho"
"109",2023-11-06,"nc","Miami OHEvansville11-6",2024,"home","Evansville","Miami OH"
"110",2023-11-06,"nc","Saint Peter'sSeton Hall11-6",2024,"home","Seton Hall","Saint Peter's"
"111",2023-11-06,"nc","Tarleton St.Virginia11-6",2024,"home","Virginia","Tarleton St."
"112",2023-11-06,"nond1","Toccoa FallsCharleston Southern11-6",2024,"home","Charleston Southern","Toccoa Falls"
"113",2023-11-06,"nc","USC UpstateSouth Carolina11-6",2024,"home","South Carolina","USC Upstate"
"114",2023-11-06,"nond1","Jarvis ChristianLamar11-6",2024,"home","Lamar","Jarvis Christian"
"115",2023-11-06,"nc","New Mexico St.Kentucky11-6",2024,"home","Kentucky","New Mexico St."
"116",2023-11-06,"nc","LafayetteSaint Joseph's11-6",2024,"home","Saint Joseph's","Lafayette"
"117",2023-11-06,"nc","North Carolina CentralKansas11-6",2024,"home","Kansas","North Carolina Central"
"118",2023-11-06,"nc","Arkansas St.Wisconsin11-6",2024,"home","Wisconsin","Arkansas St."
"119",2023-11-06,"nc","NJITMiami FL11-6",2024,"home","Miami FL","NJIT"
"120",2023-11-06,"nond1","SpaldingIUPUI11-6",2024,"home","IUPUI","Spalding"
"121",2023-11-06,"nond1","San Francisco St.Cal Baptist11-6",2024,"home","Cal Baptist","San Francisco St."
"122",2023-11-06,"nc","St. ThomasCalifornia11-6",2024,"home","California","St. Thomas"
"123",2023-11-06,"nc","Southeast Missouri St.Grand Canyon11-6",2024,"home","Grand Canyon","Southeast Missouri St."
"124",2023-11-06,"nc","James MadisonMichigan St.11-6",2024,"home","Michigan St.","James Madison"
"125",2023-11-06,"nond1","Delta St.Southeastern Louisiana11-6",2024,"home","Southeastern Louisiana","Delta St."
"126",2023-11-06,"nc","Central ConnecticutRhode Island11-6",2024,"home","Rhode Island","Central Connecticut"
"127",2023-11-06,"nond1","PiedmontCoastal Carolina11-6",2024,"home","Coastal Carolina","Piedmont"
"128",2023-11-06,"nc","North Carolina A&TPittsburgh11-6",2024,"home","Pittsburgh","North Carolina A&T"
"129",2023-11-06,"nc","Louisiana TechColorado St.11-6",2024,"home","Colorado St.","Louisiana Tech"
"130",2023-11-06,"nond1","St. Mary-WoodsIndiana St.11-6",2024,"home","Indiana St.","St. Mary-Woods"
"131",2023-11-06,"nc","Louisiana MonroeHouston11-6",2024,"home","Houston","Louisiana Monroe"
"132",2023-11-06,"nond1","St. Joseph's LIHofstra11-6",2024,"home","Hofstra","St. Joseph's LI"
"133",2023-11-06,"nond1","RivierUMass Lowell11-6",2024,"home","UMass Lowell","Rivier"
"134",2023-11-06,"nond1","MobileSouth Alabama11-6",2024,"home","South Alabama","Mobile"
"135",2023-11-06,"nc","Eastern MichiganButler11-6",2024,"home","Butler","Eastern Michigan"
"136",2023-11-06,"nc","SIU EdwardsvilleDayton11-6",2024,"home","Dayton","SIU Edwardsville"
"137",2023-11-06,"nond1","Colorado Col.Northern Colorado11-6",2024,"home","Northern Colorado","Colorado Col."
"138",2023-11-06,"nc","SouthernTCU11-6",2024,"home","TCU","Southern"
"139",2023-11-06,"nc","GeorgiaOregon11-6",2024,"neutral","Oregon","Georgia"
"140",2023-11-06,"nond1","UMass BostonHarvard11-6",2024,"home","Harvard","UMass Boston"
"141",2023-11-06,"nc","Loyola MDFlorida11-6",2024,"home","Florida","Loyola MD"
"142",2023-11-06,"nond1","Stanislaus St.Saint Mary's11-6",2024,"home","Saint Mary's","Stanislaus St."
"143",2023-11-06,"nc","OaklandOhio St.11-6",2024,"home","Ohio St.","Oakland"
"144",2023-11-06,"nc","RadfordNorth Carolina11-6",2024,"home","North Carolina","Radford"
"145",2023-11-06,"nc","NavyCampbell11-6",2024,"home","Campbell","Navy"
"146",2023-11-06,"nc","DelawareBucknell11-6",2024,"home","Bucknell","Delaware"
"147",2023-11-06,"nc","Coppin St.Virginia Tech11-6",2024,"home","Virginia Tech","Coppin St."
"148",2023-11-06,"nc","MonmouthGeorge Mason11-6",2024,"home","George Mason","Monmouth"
"149",2023-11-06,"nond1","William CareySouthern Miss11-6",2024,"home","Southern Miss","William Carey"
"150",2023-11-06,"nc","Georgia St.Belmont11-6",2024,"home","Belmont","Georgia St."
