"","tram_rank","team","conf","tram","raw_em","adj_em","off_svi","def_svi","off_e_fg_pct","off_to_pct","off_or_pct","off_ft_rate","def_e_fg_pct","def_to_pct","def_or_pct","def_ft_rate"
"55",55,"Hampton","CAA",4.4836066,-6.8,-9.09999999999999,99.1673538,94.6837472,46.1,0.166,0.337,31.2,54.3,0.188,0.296,46.2
"56",56,"Seton Hall","BE",4.45772169999999,-9.7,-3.2,95.8038328,91.3461111,45.1,0.192,0.331,35.1,54.9,0.217,0.297,38.5
"57",57,"East Carolina","Amer",4.4084852,0.599999999999994,-0.299999999999997,100.1130946,95.7046094,47.1,0.162,0.347,35.7,51.4,0.182,0.303,32.9
"58",58,"Nevada","MWC",4.40306980000001,7.10000000000001,9.7,96.9450838,92.542014,54.3,0.171,0.302,39.7,51.1,0.19,0.254,37.4
"59",59,"Purdue","B10",4.3268614,14.7,27.1,98.1145058,93.7876444,56.8,0.161,0.302,37.7,50.6,0.198,0.302,27.4
"60",60,"St. Bonaventure","A10",4.23359170000002,8.59999999999999,7.2,97.5519315,93.3183398,51.6,0.163,0.295,33,50.4,0.182,0.251,22.9
"61",61,"Oklahoma St.","B12",4.1259814,-3.5,5.2,95.6678464,91.541865,48.8,0.192,0.328,43.5,54.6,0.205,0.27,36.5
"62",62,"Milwaukee","Horz",4.09876250000001,6.10000000000001,2.8,98.4008,94.3020375,51.5,0.2,0.41,37.6,50.7,0.175,0.255,32.8
"63",63,"Michigan St.","B10",4.0857455,17.8,24.1,99.624525,95.5387795,51.5,0.175,0.37,38.9,45.5,0.165,0.257,31.2
"64",64,"Eastern Kentucky","ASun",4.0580302,-2,-2.90000000000001,101.7062872,97.648257,48.9,0.141,0.328,26.7,53.1,0.178,0.335,31.4
"65",65,"South Carolina St.","MEAC",4.03001880000001,-0.299999999999997,-4.3,95.2560356,91.2260168,49,0.197,0.332,42.8,51.5,0.224,0.313,50.9
"66",66,"Dayton","A10",3.98909559999998,7.3,10.8,98.4323263,94.4432307,53.6,0.153,0.289,37,51.4,0.181,0.273,28.2
"67",67,"N.C. State","ACC",3.91721039999999,1.60000000000001,5.7,99.766372,95.8491616,48.7,0.144,0.295,31.8,49.6,0.192,0.332,29.8
"68",68,"Seattle","WAC",3.82828499999998,1.69999999999999,2.5,96.9186274,93.0903424,49.1,0.174,0.309,39.7,53.5,0.186,0.256,34.2
"69",69,"San Diego St.","MWC",3.6022861,9.90000000000001,16,97.551921,93.9496349,49.5,0.169,0.31,30.7,44,0.197,0.303,39.7
"70",70,"Georgetown","BE",3.54818469999999,6.90000000000001,9.7,96.2050372,92.6568525,50.6,0.189,0.332,25.4,46.7,0.205,0.295,27.6
"71",71,"Robert Morris","Horz",3.52028900000001,6.09999999999999,-1.3,96.768027,93.247738,49.6,0.19,0.347,39.2,50.3,0.198,0.29,31.9
"72",72,"Boise St.","MWC",3.43302200000001,14.4,15.2,98.36579,94.932768,53.3,0.17,0.33,39.7,48.9,0.16,0.232,30.8
"73",73,"UTEP","CUSA",3.4072666,1.3,1.40000000000001,93.79293,90.3856634,51,0.175,0.244,36.4,52.3,0.242,0.343,40.6
"74",74,"Quinnipiac","MAAC",3.39722490000001,3.10000000000001,-2,98.1632024,94.7659775,47.4,0.176,0.341,30.1,48.5,0.179,0.275,29.8
"75",75,"Arkansas St.","SB",3.32046249999999,10.6,8.80000000000001,100.306885,96.9864225,48.9,0.15,0.321,35.2,45.4,0.175,0.313,36.8
"76",76,"Connecticut","BE",3.30466340000001,16.5,19,99.5959648,96.2913014,57.4,0.162,0.336,30.6,48.6,0.167,0.278,42
"77",77,"Purdue Fort Wayne","Horz",3.28399560000001,6.8,2.89999999999999,97.9177034,94.6337078,55.8,0.131,0.226,29.9,53.9,0.203,0.334,27.9
"78",78,"La Salle","A10",3.2578444,-4.8,-2.8,99.7378592,96.4800148,46.4,0.152,0.314,31.2,52.8,0.171,0.292,27.8
"79",79,"Pittsburgh","ACC",3.22236459999998,10.4,16.3,98.9980264,95.7756618,53.9,0.144,0.279,34.4,50.2,0.181,0.302,30.8
"80",80,"Massachusetts","A10",3.215538,-1.40000000000001,-1.2,99.614164,96.398626,45.9,0.165,0.344,37,48.5,0.18,0.313,39.6
"81",81,"Western Michigan","MAC",3.19744230000001,-10,-12.4,100.4492528,97.2518105,45.9,0.158,0.344,32.3,54.6,0.155,0.269,33.5
"82",82,"Duquesne","A10",3.100966,-0.5,0.400000000000006,97.417686,94.31672,49,0.178,0.33,28.9,49.7,0.2,0.319,40.4
"83",83,"Georgia","SEC",3.06006040000003,13,18,97.6319898,94.5719294,52.4,0.193,0.374,39.6,45.7,0.194,0.309,28.3
"84",84,"Arkansas","SEC",3.0040322,10.9,16.6,97.053348,94.0493158,53,0.16,0.277,32.2,47.6,0.186,0.277,29.8
"85",85,"Utah Valley","WAC",2.87996009999999,3.69999999999999,2.69999999999999,97.5985401,94.71858,49.6,0.169,0.311,37.8,49.9,0.175,0.264,31.1
"86",86,"Cal Baptist","WAC",2.8753371,2,0.300000000000011,99.0988855,96.2235484,48.7,0.165,0.333,30.4,50.3,0.174,0.294,32.2
"87",87,"Alabama St.","SWAC",2.87026519999999,-6.59999999999999,-10.9,100.0573802,97.187115,47.1,0.134,0.277,31.4,52.6,0.178,0.325,41.5
"88",88,"Portland St.","BSky",2.86053720000001,0.400000000000006,-3.69999999999999,96.807162,93.9466248,51.4,0.187,0.34,36.3,51.4,0.202,0.316,34.4
"89",89,"Samford","SC",2.84787610000001,11.7,7.40000000000001,96.3024496,93.4545735,56.6,0.192,0.342,27.7,51.5,0.217,0.345,38
"90",90,"Valparaiso","MVC",2.84479760000001,-5.3,-5.7,98.7667226,95.921925,47.4,0.146,0.279,37,54.3,0.175,0.29,37.9
"91",91,"Iowa","B10",2.7926736,8.3,12.3,97.868516,95.0758424,58.2,0.14,0.246,28.4,54.1,0.197,0.328,26.6
"92",92,"Rutgers","B10",2.77064920000001,2.5,12.2,99.7602168,96.9895676,50.3,0.151,0.312,36.5,51.2,0.173,0.308,30.2
"93",93,"Akron","MAC",2.7158378,11,7.2,98.0358624,95.3200246,54.1,0.172,0.328,24.8,48.9,0.177,0.282,34.2
"94",94,"FIU","CUSA",2.6827528,-4.8,-7,94.3654376,91.6826848,48,0.203,0.328,36.3,51.7,0.216,0.302,40
"95",95,"Campbell","CAA",2.64952400000001,4,0.0999999999999943,95.782271,93.132747,50.4,0.155,0.238,30.4,50.7,0.19,0.267,32.3
"96",96,"Florida St.","ACC",2.57057379999999,7.59999999999999,9.8,96.5452784,93.9747046,51.3,0.176,0.306,40.3,47.3,0.201,0.314,38
"97",97,"Marshall","SB",2.56945709999998,2.7,-1.09999999999999,98.3910648,95.8216077,49.7,0.169,0.328,37.1,50.2,0.181,0.303,39.1
"98",98,"SIUE","OVC",2.53649310000002,3.89999999999999,-5.2,97.902688,95.3661949,48.5,0.168,0.315,29.8,47.4,0.177,0.283,34.7
"99",99,"Northern Arizona","BSky",2.5051473,-1.5,-7.10000000000001,100.4248931,97.9197458,49.5,0.149,0.321,29.3,52.1,0.134,0.233,35.1
"100",100,"Miami OH","MAC",2.47615399999999,5.8,0.400000000000006,95.27397,92.797816,55.6,0.175,0.276,28.7,52.9,0.198,0.28,35.3
"101",101,"Navy","PL",2.45720979999999,-3.2,-9.8,98.396233,95.9390232,48.3,0.165,0.318,31,52.7,0.166,0.268,35.2
"102",102,"Northern Kentucky","Horz",2.44821970000001,-5.40000000000001,-7.09999999999999,96.1176176,93.6693979,47.7,0.182,0.312,32.1,52.6,0.207,0.323,27.4
"103",103,"Maine","AE",2.38693909999999,3.8,-3,94.6211623,92.2342232,51.8,0.159,0.223,29.1,50.2,0.221,0.328,30.8
"104",104,"Abilene Christian","WAC",2.3577234,-9.59999999999999,-6.40000000000001,91.941148,89.5834246,46.6,0.21,0.292,39.4,53.8,0.231,0.294,52.6
"105",105,"Illinois","B10",2.3112114,18.7,24,101.073609,98.7623976,51.5,0.163,0.37,36,44,0.133,0.248,27.5
"106",106,"Santa Clara","WCC",2.3055119,11.3,13.5,98.505479,96.1999671,55,0.17,0.333,28.7,49,0.169,0.281,30.8
"107",107,"Oregon St.","WCC",2.29923570000001,14.3,12.6,97.5496735,95.2504378,55.8,0.171,0.315,38.8,49.8,0.174,0.273,31.9
"108",108,"Cal St. Bakersfield","BW",2.23089540000001,-6.8,-7.39999999999999,96.6359904,94.405095,48.5,0.193,0.352,36.7,55.2,0.19,0.295,50.9
"109",109,"UNC Asheville","BSth",2.2217545,1,-0.100000000000009,100.1384465,97.916692,52,0.149,0.315,34.7,52.6,0.18,0.346,40.1
"110",110,"Northern Iowa","MVC",2.18816289999998,8.40000000000001,5.5,95.9422051,93.7540422,56.1,0.159,0.251,36.7,52,0.181,0.258,29.9
"111",111,"Villanova","BE",2.1702846,12.5,14.5,99.4335325,97.2632479,55.4,0.159,0.325,27,50.2,0.159,0.279,32.3
"112",112,"Troy","SB",2.0771148,7.59999999999999,5.40000000000001,96.0848588,94.007744,50.8,0.212,0.391,35.1,48.6,0.203,0.32,26.6
"113",113,"South Dakota","Sum",2.0700478,-3.39999999999999,-7.59999999999999,102.0006842,99.9306364,51.3,0.134,0.317,47,55.5,0.174,0.374,34.2
"114",114,"Kansas","B12",2.06616649999999,16,27,98.5381169,96.4719504,53.4,0.161,0.311,23.5,43.8,0.163,0.272,29.1
"115",115,"San Francisco","WCC",2.0617819,12.1,12.1,96.1533375,94.0915556,54,0.175,0.295,36.1,47.9,0.188,0.283,34.6
"116",116,"California","ACC",2.0388055,0.599999999999994,3.8,100.2231295,98.184324,48.5,0.165,0.357,38.4,52.1,0.16,0.301,30.6
"117",117,"Oregon","B10",2.00677760000001,7.2,17.6,97.6233696,95.616592,52.3,0.166,0.304,35.3,49,0.18,0.296,28.5
"118",118,"Fairfield","MAAC",1.97755299999999,-12.1,-16.7,99.5272265,97.5496735,45.3,0.155,0.317,27.5,55,0.171,0.315,31.5
"119",119,"West Virginia","B12",1.9015199,7.8,15.9,95.8198405,93.9183206,50.4,0.165,0.263,26.5,45.2,0.203,0.318,30.9
"120",120,"Central Connecticut","NEC",1.8872776,7.80000000000001,-1.2,95.5939188,93.7066412,51.3,0.169,0.268,26.8,48.2,0.179,0.252,19.1
"121",121,"Wake Forest","ACC",1.8782542,5.19999999999999,11.5,95.2040992,93.325845,50,0.174,0.272,35.5,46.2,0.205,0.31,29.9
"122",122,"Wagner","NEC",1.87122780000001,-10.6,-18.1,94.9156278,93.0444,43.7,0.193,0.314,28.9,51.6,0.184,0.25,40.4
"123",123,"UCF","B12",1.8370558,1.5,12.6,98.6994798,96.862424,49.2,0.166,0.327,36.4,51.5,0.185,0.336,30.2
"124",124,"Southeast Missouri","OVC",1.77500740000001,1.60000000000001,-5.39999999999999,96.4841416,94.7091342,51,0.153,0.248,29.7,48.7,0.187,0.294,45.7
"125",125,"North Carolina Central","MEAC",1.7672621,-7.90000000000001,-11.3,97.2176457,95.4503836,49.8,0.187,0.349,38.5,55,0.219,0.396,46.1
"126",126,"Jacksonville","ASun",1.76691860000001,0.600000000000009,0.700000000000003,95.6173652,93.8504466,50,0.203,0.356,27.6,50.6,0.199,0.306,33.9
"127",127,"UNLV","MWC",1.7194421,-0.200000000000003,5.8,97.2787648,95.5593227,50.4,0.156,0.272,35.5,51.1,0.191,0.323,34.6
"128",128,"Texas A&M Corpus Chris","Slnd",1.634491,2.59999999999999,0,96.9821554,95.3476644,53.5,0.177,0.318,38.4,51.4,0.187,0.308,42.2
"129",129,"Belmont","MVC",1.6021581,2.10000000000001,2.90000000000001,97.8728901,96.270732,54.9,0.157,0.287,27,54.7,0.172,0.29,26.3
"130",130,"Winthrop","BSth",1.55852280000001,1.40000000000001,-2.09999999999999,96.9895676,95.4310448,51.7,0.173,0.308,50.3,51.4,0.194,0.328,39.1
"131",131,"Nebraska","B10",1.50106940000001,7.09999999999999,16.8,96.1261728,94.6251034,52.2,0.166,0.272,36.6,49.7,0.183,0.282,26.8
"132",132,"Loyola Chicago","A10",1.4013587,5.10000000000001,3.40000000000001,95.1452854,93.7439267,52.7,0.186,0.301,33.4,49.2,0.191,0.283,34.1
"133",133,"North Dakota","Sum",1.39937420000001,-9.3,-8.5,100.069284,98.6699098,49.3,0.16,0.341,33.4,57.8,0.153,0.294,31.9
