"","team","conf","tram","raw_em","adj_em","old_svi_diff","off_svi","def_svi","old_svi_off","old_svi_def","to_pct","or_pct","d_to_pct","d_or_pct","raw_o","raw_d","adj_o","adj_d","off_e_fg_pct","off_ft_rate","def_e_fg_pct","def_ft_rate"
"56","Memphis","Amer",-0.8679494,8.60000000000001,16.8,-0.021000000000015,94.54112,95.4090694,100.124,100.145,0.2,0.324,0.201,0.346,110.7,102.1,114.8,98,55.1,40.5,48.7,32.8
"57","Rutgers","B10",2.77064920000001,2.5,12.2,0.0259999999999962,99.7602168,96.9895676,100.161,100.135,0.151,0.312,0.173,0.308,108.9,106.4,114.7,102.5,50.3,36.5,51.2,30.2
"58","Belmont","MVC",1.6021581,2.10000000000001,2.90000000000001,0.0120000000000005,97.8728901,96.270732,100.13,100.118,0.157,0.287,0.172,0.29,113.2,111.1,114.7,111.8,54.9,27,54.7,26.3
"59","Notre Dame","ACC",1.18371880000001,4.7,9.59999999999999,0.041000000000011,98.1623556,96.9786368,100.145,100.104,0.163,0.308,0.152,0.256,111.2,106.5,114.6,105,53.3,28.9,50.7,29.7
"60","Miami FL","ACC",-1.36374540000001,-7.2,-2.19999999999999,-0.0200000000000102,97.9201824,99.2839278,100.131,100.151,0.157,0.288,0.151,0.302,110.8,118,114.4,116.6,52.5,28.5,57.5,28.2
"61","VCU","A10",9.1310392,21.7,18.8,0.118000000000009,100.009527,90.8784878,100.189,100.071,0.166,0.355,0.218,0.289,114.5,92.8,114.3,95.5,52.7,31.7,45.2,36.7
"62","Indiana","B10",-0.313996900000006,4.2,14.1,0.0219999999999914,97.4900287,97.8040256,100.152,100.13,0.177,0.329,0.158,0.288,108.9,104.7,114.3,100.2,51.8,33.8,50,28.3
"63","Xavier","BE",0.849678300000008,9.59999999999999,15.4,0.00499999999999545,95.8922358,95.0425575,100.101,100.096,0.166,0.267,0.175,0.271,110,100.4,114.3,98.9,52.6,38.4,49,30.3
"64","Cornell","Ivy",-4.34573560000001,8.10000000000001,3.5,-0.0650000000000119,94.1195968,98.4653324,100.079,100.144,0.177,0.256,0.158,0.302,116.2,108.1,114.2,110.7,59.2,30.9,51.3,31.7
"65","Stanford","ACC",5.15727820000001,7.8,9.59999999999999,0.0820000000000078,99.6462374,94.4889592,100.169,100.087,0.158,0.327,0.177,0.264,112,104.2,114.1,104.5,51.1,32.3,50.6,37
"66","Nebraska","B10",1.50106940000001,7.09999999999999,16.8,0.00700000000001921,96.1261728,94.6251034,100.106,100.099,0.166,0.272,0.183,0.282,108.6,101.5,114,97.2,52.2,36.6,49.7,26.8
"67","Florida Atlantic","Amer",0.499225100000018,2.3,5.2,-0.00599999999998602,97.9275771,97.428352,100.14,100.146,0.163,0.303,0.174,0.32,111.2,108.9,114,108.8,53.4,32.9,51.3,33.4
"68","Samford","SC",2.84787610000001,11.7,7.40000000000001,0.0220000000000056,96.3024496,93.4545735,100.15,100.128,0.192,0.342,0.217,0.345,115.1,103.4,113.9,106.5,56.6,27.7,51.5,38
"69","Northwestern","B10",7.7523063,6.2,14.4,0.0799999999999983,101.0367863,93.28448,100.176,100.096,0.143,0.319,0.2,0.296,109.2,103,113.9,99.5,49.7,32.2,50.4,36.4
"70","New Mexico","MWC",7.3781772,13.3,17.3,0.0960000000000036,99.3862437,92.0080665,100.162,100.066,0.157,0.319,0.199,0.265,109.6,96.3,113.7,96.4,51.2,37.3,48.4,35.1
"71","UC San Diego","BW",10.3640189,18.7,14.5,0.0869999999999891,98.3067885,87.9427696,100.122,100.035,0.145,0.267,0.237,0.272,114.5,95.8,113.6,99.1,53.9,35.9,50.5,31.2
"72","Kansas St.","B12",-0.131663200000006,4.40000000000001,12.6,-0.00599999999998602,96.2351208,96.366784,100.131,100.137,0.181,0.312,0.183,0.32,107.7,103.3,113.4,100.8,52.9,29,49.5,27.5
"73","Illinois St.","MVC",1.12013639999999,4.09999999999999,2.40000000000001,0.0109999999999957,96.46515,95.3450136,100.096,100.085,0.154,0.25,0.163,0.248,114.8,110.7,113.4,111,57.1,31.9,53.8,30.8
"74","St. John's","BE",11.2597379,19.4,24.4,0.152999999999992,101.6715,90.4117621,100.215,100.062,0.16,0.375,0.219,0.281,109.6,90.2,113.1,88.7,49.7,31,45.9,29.7
"75","Purdue Fort Wayne","Horz",3.28399560000001,6.8,2.89999999999999,-0.0360000000000014,97.9177034,94.6337078,100.095,100.131,0.131,0.226,0.203,0.334,114.8,108,113.1,110.2,55.8,29.9,53.9,27.9
"76","Georgia","SEC",3.06006040000003,13,18,0.0660000000000025,97.6319898,94.5719294,100.181,100.115,0.193,0.374,0.194,0.309,109.9,96.9,112.8,94.8,52.4,39.6,45.7,28.3
"77","Providence","BE",-3.95065999999998,2.7,9.40000000000001,0,96.495381,100.446041,100.151,100.151,0.19,0.341,0.134,0.285,107.4,104.7,112.7,103.3,51.9,31.4,46.8,33.2
"78","McNeese","Slnd",7.15260959999999,13.3,11.7,0.0799999999999841,99.5829952,92.4303856,100.183,100.103,0.168,0.351,0.216,0.319,112.5,99.2,112.7,101,52.4,36.5,48,36
"79","North Florida","ASun",-3.43063770000001,-5.90000000000001,-5.59999999999999,-0.0629999999999882,98.5694943,102.000132,100.136,100.199,0.151,0.287,0.145,0.344,111.6,117.5,112.7,118.3,54,26.8,54.2,33.9
"80","Nevada","MWC",4.40306980000001,7.10000000000001,9.7,0.0669999999999931,96.9450838,92.542014,100.131,100.064,0.171,0.302,0.19,0.254,110.7,103.6,112.7,103,54.3,39.7,51.1,37.4
"81","Arkansas","SEC",3.0040322,10.9,16.6,0.0260000000000105,97.053348,94.0493158,100.117,100.091,0.16,0.277,0.186,0.277,108.9,98,112.5,95.9,53,32.2,47.6,29.8
"82","Chattanooga","SC",-1.38044570000001,4.89999999999999,3.10000000000001,-0.0349999999999966,95.9339058,97.3143515,100.089,100.124,0.157,0.246,0.161,0.285,112.1,107.2,112.4,109.3,55.3,32.3,51.6,34.7
"83","Drake","MVC",8.17020580000002,15.4,13.2,0.13300000000001,97.1788368,89.008631,100.176,100.043,0.196,0.372,0.227,0.27,113.5,98.1,112.4,99.2,54.6,42.9,51.4,36.4
"84","Davidson","A10",-0.0704738999999961,3.39999999999999,3.5,-0.0139999999999958,97.4790365,97.5495104,100.102,100.116,0.143,0.245,0.152,0.268,110.8,107.4,112.3,108.8,53.6,30.2,51.8,30
"85","Wofford","SC",-0.311246199999999,-0.900000000000006,1.89999999999999,0.0439999999999969,98.5330136,98.8442598,100.173,100.129,0.176,0.349,0.142,0.271,110,110.9,112.3,110.4,52.8,27.5,52.4,35.5
