,,,,,,,,,,Kicking,Kicking,Kicking,Kicking,Kicking,Kicking,,
Rk,Team,Date,TD,Day,G#,,Opp.,Result,TD,XPA,XPM,XP%,FGA,FGM,FG%,2PM,Sfty
120,North Carolina,2024-10-26,5,Sat,8,@,Virginia,W 41-14,5,5,5,100.0,3,2,66.7,0,0
121,North Carolina,2024-09-07,5,Sat,2,,Charlotte,W 38-20,5,5,5,100.0,2,1,50.0,0,0
122,North Carolina,2023-10-14,5,Sat,6,,Miami (FL),W 41-31,5,5,5,100.0,2,2,100.0,0,0
123,North Carolina,2023-09-23,5,Sat,4,@,Pitt,W 41-24,5,5,5,100.0,2,2,100.0,0,0
124,North Carolina,2023-09-09,5,Sat,2,,Appalachian State,W 40-34 (2OT),5,4,4,100.0,3,2,66.7,0,0
125,North Carolina,2022-11-12,5,Sat,10,@,Wake Forest,W 36-34,5,4,3,75.0,1,1,100.0,0,0
126,North Carolina,2022-10-15,5,Sat,7,@,Duke,W 38-35,5,5,5,100.0,2,1,50.0,0,0
127,North Carolina,2022-10-01,5,Sat,5,,Virginia Tech,W 41-10,5,5,5,100.0,3,2,66.7,0,0
128,North Carolina,2022-09-24,5,Sat,4,,Notre Dame,L 32-45,5,2,2,100.0,0,0,,0,0
129,North Carolina,2022-09-10,5,Sat,3,@,Georgia State,W 35-28,5,5,5,100.0,0,0,,0,0
130,North Carolina,2021-10-02,5,Sat,5,,Duke,W 38-7,5,5,5,100.0,1,1,100.0,0,0
131,North Carolina,2020-10-31,5,Sat,6,@,Virginia,L 41-44,5,5,5,100.0,3,2,66.7,0,0
132,North Carolina,2019-11-30,5,Sat,12,@,North Carolina State,W 41-10,5,5,5,100.0,3,2,66.7,0,0
133,North Carolina,2019-10-19,5,Sat,7,@,Virginia Tech,L 41-43 (6OT),5,5,5,100.0,4,2,50.0,0,0
134,North Carolina,2019-10-05,5,Sat,6,@,Georgia Tech,W 38-22,5,5,5,100.0,2,1,50.0,0,0
135,North Carolina,2018-11-10,5,Sat,9,@,Duke,L 35-42,5,5,5,100.0,1,0,0.0,0,0
136,North Carolina,2018-09-22,5,Sat,3,,Pitt,W 38-35,5,5,5,100.0,2,1,50.0,0,0
137,North Carolina,2017-09-09,5,Sat,2,,Louisville,L 35-47,5,5,5,100.0,0,0,,0,0
138,North Carolina,2016-11-19,5,Sat,11,,Citadel,W 41-7,5,5,5,100.0,3,2,66.7,0,0
139,North Carolina,2016-10-22,5,Sat,8,@,Virginia,W 35-14,5,5,5,100.0,0,0,,0,0
140,North Carolina,2016-10-01,5,Sat,5,@,Florida State,W 37-35,5,5,4,80.0,2,1,50.0,0,0
141,North Carolina,2016-09-24,5,Sat,4,,Pitt,W 37-36,5,4,4,100.0,2,1,50.0,0,0
142,North Carolina,2015-12-29,5,Tue,14,N,Baylor,L 38-49,5,5,5,100.0,1,1,100.0,0,0
143,North Carolina,2015-12-05,5,Sat,13,N,Clemson,L 37-45,5,4,4,100.0,1,1,100.0,0,0
144,North Carolina,2015-10-03,5,Sat,5,@,Georgia Tech,W 38-31,5,5,5,100.0,2,1,50.0,0,0
145,North Carolina,2015-09-26,5,Sat,4,,Delaware,W 41-14,5,5,5,100.0,3,2,66.7,0,0
146,North Carolina,2014-11-20,5,Thu,11,@,Duke,W 45-20,5,6,6,100.0,1,1,100.0,0,0
147,North Carolina,2014-09-27,5,Sat,4,@,Clemson,L 35-50,5,5,5,100.0,0,0,,0,1
148,North Carolina,2014-09-20,5,Sat,3,@,East Carolina,L 41-70,5,5,5,100.0,2,2,100.0,0,0
149,North Carolina,2013-12-28,5,Sat,13,N,Cincinnati,W 39-17,5,5,4,80.0,2,1,50.0,0,0
150,North Carolina,2013-10-26,5,Sat,7,,Boston College,W 34-10,5,4,4,100.0,0,0,,0,0
151,North Carolina,2013-09-07,5,Sat,2,,Middle Tennessee State,W 40-20,5,4,4,100.0,2,2,100.0,0,0
152,North Carolina,2012-11-15,5,Thu,11,@,Virginia,W 37-13,5,4,4,100.0,2,1,50.0,0,0
153,North Carolina,2012-10-27,5,Sat,9,,North Carolina State,W 43-35,5,3,3,100.0,3,2,66.7,2,0
154,North Carolina,2012-09-15,5,Sat,3,@,Louisville,L 34-39,5,4,4,100.0,0,0,,0,0
155,North Carolina,2011-10-22,5,Sat,8,@,Clemson,L 38-59,5,5,5,100.0,1,1,100.0,0,0
156,North Carolina,2011-10-01,5,Sat,5,@,East Carolina,W 35-20,5,5,5,100.0,1,0,0.0,0,0
157,North Carolina,2010-10-16,5,Sat,6,@,Virginia,W 44-10,5,5,5,100.0,3,3,100.0,0,0
158,North Carolina,2024-09-14,6,Sat,3,,N.C. Central,W 45-10,6,6,6,100.0,1,1,100.0,0,0
159,North Carolina,2023-10-28,6,Sat,8,@,Georgia Tech,L 42-46,6,6,6,100.0,1,0,0.0,0,0
160,North Carolina,2022-10-29,6,Sat,8,,Pitt,W 42-24,6,6,6,100.0,0,0,,0,0
161,North Carolina,2021-10-16,6,Sat,7,,Miami (FL),W 45-42,6,6,6,100.0,2,1,50.0,0,0
162,North Carolina,2020-10-24,6,Sat,5,,North Carolina State,W 48-21,6,6,6,100.0,3,2,66.7,0,0
163,North Carolina,2016-11-05,6,Sat,9,,Georgia Tech,W 48-20,6,6,6,100.0,2,2,100.0,0,0
164,North Carolina,2016-09-10,6,Sat,2,@,Illinois,W 48-23,6,6,6,100.0,3,2,66.7,0,0
165,North Carolina,2015-11-28,6,Sat,12,@,North Carolina State,W 45-34,6,6,6,100.0,2,1,50.0,0,0
166,North Carolina,2015-09-19,6,Sat,3,,Illinois,W 48-14,6,6,6,100.0,2,2,100.0,0,0
167,North Carolina,2014-11-15,6,Sat,10,,Pitt,W 40-35,6,2,2,100.0,0,0,,2,0
168,North Carolina,2014-10-11,6,Sat,6,@,Notre Dame,L 43-50,6,5,4,80.0,2,1,50.0,0,0
169,North Carolina,2013-11-09,6,Sat,9,,Virginia,W 45-14,6,6,6,100.0,2,1,50.0,0,0
170,North Carolina,2012-11-24,6,Sat,12,,Maryland,W 45-38,6,6,6,100.0,1,1,100.0,0,0
171,North Carolina,2012-10-06,6,Sat,6,,Virginia Tech,W 48-34,6,6,6,100.0,2,2,100.0,0,0
172,North Carolina,2011-09-03,6,Sat,1,,James Madison,W 42-10,6,6,6,100.0,0,0,,0,0
173,North Carolina,2010-10-02,6,Sat,4,,East Carolina,W 42-17,6,6,6,100.0,1,0,0.0,0,0
174,North Carolina,2024-09-21,7,Sat,4,,James Madison,L 50-70,7,3,3,100.0,1,1,100.0,1,0
175,North Carolina,2021-11-06,7,Sat,9,,Wake Forest,W 58-55,7,7,7,100.0,3,3,100.0,0,0
176,North Carolina,2020-12-05,7,Sat,10,,Western Caro.,W 49-9,7,7,7,100.0,0,0,,0,0
177,North Carolina,2019-12-27,7,Fri,13,N,Temple,W 55-13,7,7,7,100.0,3,2,66.7,0,0
178,North Carolina,2018-11-17,7,Sat,10,,Western Caro.,W 49-26,7,7,7,100.0,2,0,0.0,0,0
179,North Carolina,2017-09-16,7,Sat,3,@,Old Dominion,W 53-23,7,6,6,100.0,1,1,100.0,0,0
180,North Carolina,2015-10-17,7,Sat,6,,Wake Forest,W 50-14,7,6,6,100.0,0,0,,0,0
181,North Carolina,2015-09-12,7,Sat,2,,N.C. A&T,W 53-14,7,6,6,100.0,1,1,100.0,0,0
182,North Carolina,2014-10-18,7,Sat,7,,Georgia Tech,W 48-43,7,6,6,100.0,0,0,,0,0
183,North Carolina,2012-11-10,7,Sat,10,,Georgia Tech,L 50-68,7,6,6,100.0,0,0,,1,0
184,North Carolina,2011-10-29,7,Sat,9,,Wake Forest,W 49-24,7,7,7,100.0,1,0,0.0,0,0
185,North Carolina,2023-11-04,8,Sat,9,,Campbell,W 59-7,8,8,8,100.0,1,1,100.0,0,0
186,North Carolina,2022-09-03,8,Sat,2,@,Appalachian State,W 63-61,8,7,7,100.0,2,2,100.0,1,0
187,North Carolina,2022-08-27,8,Sat,1,,Florida A&M,W 56-24,8,8,8,100.0,0,0,,0,0
188,North Carolina,2021-09-18,8,Sat,3,,Virginia,W 59-39,8,8,8,100.0,2,1,50.0,0,0
189,North Carolina,2021-09-11,8,Sat,2,,Georgia State,W 59-17,8,8,8,100.0,2,1,50.0,0,0
190,North Carolina,2020-12-12,8,Sat,11,@,Miami (FL),W 62-26,8,8,8,100.0,3,2,66.7,0,0
191,North Carolina,2020-11-14,8,Sat,8,,Wake Forest,W 59-53,8,8,8,100.0,1,1,100.0,0,0
192,North Carolina,2020-11-07,8,Sat,7,@,Duke,W 56-24,8,8,8,100.0,0,0,,0,0
193,North Carolina,2020-10-10,8,Sat,3,,Virginia Tech,W 56-45,8,8,8,100.0,0,0,,0,0
194,North Carolina,2019-11-23,8,Sat,11,,Mercer,W 56-7,8,8,8,100.0,0,0,,0,0
195,North Carolina,2016-09-17,8,Sat,3,,James Madison,W 56-28,8,8,8,100.0,0,0,,0,0
196,North Carolina,2015-11-14,8,Sat,10,,Miami (FL),W 59-21,8,8,8,100.0,1,1,100.0,0,0
197,North Carolina,2014-08-30,8,Sat,1,,Liberty,W 56-29,8,8,8,100.0,1,0,0.0,0,1
198,North Carolina,2012-09-01,8,Sat,1,,Elon,W 62-0,8,8,8,100.0,2,2,100.0,0,0
199,North Carolina,2017-11-18,9,Sat,11,,Western Caro.,W 65-10,9,9,8,88.9,1,1,100.0,0,0
200,North Carolina,2015-11-07,9,Sat,9,,Duke,W 66-31,9,9,9,100.0,1,1,100.0,0,0
201,North Carolina,2012-09-29,9,Sat,5,,Idaho,W 66-0,9,9,9,100.0,1,1,100.0,0,0
202,North Carolina,2013-11-23,11,Sat,11,,Old Dominion,W 80-20,11,11,11,100.0,1,1,100.0,0,0
