Team,Conference,NET,Prev NET,Avg Opp NET Rank,Avg Opp NET,WL,Conf. Record,Non-Conference Record,Road WL,NET SOS,NET NonConf SOS,Quadrant 1,Quadrant 2,Quadrant 3,Quadrant 4
Bucknell,Patriot,297,292,342,254,11-20,5-14,6-6,3-13,348,333,0-1,0-1,0-5,11-13
Manhattan,MAAC,298,298,297,228,10-16,9-9,1-7,5-7,296,246,0-3,0-1,1-1,9-11
Tex. A&M-Commerce,Southland,299,300,344,256,12-18,9-8,3-10,7-12,331,203,0-1,1-0,3-7,8-10
Kansas City,Summit League,300,301,217,201,10-19,7-11,3-8,3-11,174,87,0-4,2-1,1-5,7-9
UTSA,C-USA,301,302,115,158,7-21,3-16,4-5,2-11,113,266,0-6,0-4,3-4,4-7
Binghamton,America East,302,299,303,230,10-17,8-8,2-9,4-10,309,272,0-1,0-3,1-6,9-7
Wagner,NEC,303,303,363,297,13-12,8-8,5-4,7-8,361,291,0-0,1-1,0-2,12-9
California,Pac-12,304,304,19,100,3-26,2-16,1-10,0-10,54,162,0-8,1-9,1-5,1-4
Charleston So.,Big South,305,305,259,216,7-20,5-13,2-7,3-12,283,153,0-2,0-1,1-8,6-9
FDU,NEC,306,306,362,296,15-14,10-6,5-8,8-8,363,340,0-1,0-0,1-2,14-11
Idaho,Big Sky,307,307,275,220,8-21,4-14,4-7,4-11,342,360,0-0,0-2,3-7,5-12
Northeastern,CAA,308,309,265,217,10-19,6-12,4-7,3-12,242,253,0-2,0-3,1-8,9-6
Merrimack,NEC,309,310,349,260,13-16,12-4,1-12,8-8,328,150,0-2,0-3,0-3,13-8
Louisville,ACC,310,308,47,113,4-26,2-17,2-9,0-10,69,99,0-10,1-5,0-7,3-4
Jackson St.,SWAC,311,312,303,230,11-18,10-6,1-12,4-14,139,11,0-6,0-2,1-2,10-8
Texas Southern,SWAC,312,313,286,224,9-19,7-10,2-9,3-12,149,4,0-4,1-4,0-1,8-10
N.C. A&T,CAA,313,314,251,212,10-18,8-10,2-8,4-10,183,39,0-3,1-1,1-9,8-5
William & Mary,CAA,314,315,253,213,10-19,7-11,3-8,1-14,241,146,0-4,0-0,2-7,8-8
Stonehill,NEC,315,316,354,266,13-17,10-6,3-11,6-12,315,135,0-3,0-1,0-2,13-11
Saint Peter's,MAAC,316,317,310,234,10-16,6-12,4-4,4-11,290,245,0-2,0-2,0-4,10-8
Eastern Mich.,MAC,317,311,178,190,7-22,5-12,2-10,2-12,187,241,0-3,0-4,3-5,4-10
Loyola Maryland,Patriot,318,319,329,244,11-19,8-11,3-8,3-12,340,296,0-2,0-1,0-3,11-13
Omaha,Summit League,319,320,169,187,7-22,4-14,3-8,1-15,117,10,0-6,0-3,0-5,7-8
Cal Poly,Big West,320,321,152,180,5-23,1-17,4-6,1-13,214,250,0-0,0-8,1-9,4-6
Tulsa,AAC,321,323,98,146,5-23,1-16,4-7,0-11,95,252,0-4,0-8,1-7,4-4
Alabama A&M,SWAC,322,324,338,251,10-16,9-7,1-9,4-7,341,147,0-2,0-1,1-3,9-10
Central Mich.,MAC,323,318,222,203,8-20,5-12,3-8,3-11,217,197,1-2,0-1,0-10,7-7
The Citadel,SoCon,324,325,239,207,9-21,5-13,4-8,4-11,251,236,0-2,0-5,2-7,7-7
Little Rock,OVC,325,326,337,249,8-21,6-12,2-9,2-16,326,172,0-2,0-2,1-2,7-15
Austin Peay,ASUN,326,327,193,193,6-22,3-15,3-7,1-13,161,56,0-3,0-2,1-9,5-8
Ark.-Pine Bluff,SWAC,327,328,309,233,6-19,6-10,0-9,2-16,151,2,0-5,0-1,0-3,6-10
CSUN,Big West,328,329,187,191,5-23,4-15,1-8,0-14,232,271,0-1,0-4,2-10,3-8
Elon,CAA,329,330,259,216,6-23,6-12,0-11,3-12,266,227,0-3,0-1,0-9,6-10
