conference,pair_1,pair_2
Big Ten,Rutgers,UCLA
Big Ten,Rutgers,Washington
Big Ten,UCLA,Washington
Big Ten,Washington,Wisconsin
SEC,Alabama,Arkansas
SEC,Alabama,Florida
SEC,Alabama,Missouri
SEC,Alabama,Oklahoma
SEC,Alabama,Ole Miss
SEC,Alabama,Texas
SEC,Arkansas,Florida
SEC,Arkansas,Kentucky
SEC,Arkansas,Mississippi State
SEC,Arkansas,Oklahoma
SEC,Arkansas,Ole Miss
SEC,Auburn,Kentucky
SEC,Auburn,Missouri
SEC,Auburn,Oklahoma
SEC,Auburn,South Carolina
SEC,Auburn,Texas
SEC,Auburn,Texas A&M
SEC,Florida,LSU
SEC,Florida,Mississippi State
SEC,Florida,Tennessee
SEC,Florida,Texas A&M
SEC,Georgia,Kentucky
SEC,Georgia,LSU
SEC,Georgia,Mississippi State
SEC,Georgia,Tennessee
SEC,Georgia,Texas
SEC,Georgia,Texas A&M
SEC,Kentucky,Mississippi State
SEC,Kentucky,Ole Miss
SEC,Kentucky,Texas
SEC,LSU,Missouri
SEC,LSU,Oklahoma
SEC,LSU,South Carolina
SEC,LSU,Vanderbilt
SEC,Mississippi State,Tennessee
SEC,Mississippi State,Texas A&M
SEC,Missouri,South Carolina
SEC,Missouri,Tennessee
SEC,Missouri,Vanderbilt
SEC,Oklahoma,Tennessee
SEC,Oklahoma,Vanderbilt
SEC,Ole Miss,South Carolina
SEC,Ole Miss,Tennessee
SEC,Ole Miss,Texas A&M
SEC,South Carolina,Texas
SEC,South Carolina,Vanderbilt
SEC,Texas,Vanderbilt
SEC,Texas A&M,Vanderbilt
