Rank,Institution,Conference,Division,fall_final,w_cc_rank,w_cc_pts,m_cc_rank,m_cc_pts,w_fh_rank,w_fh_pts,fb_rank,fb_pts,w_soc_rank,w_soc_pts,m_soc_rank,m_soc_pts,w_vb_rank,w_vb_pts
82,Auburn,SEC,FBS,77,0,0,32,27,0,0,0,0,0,0,0,0,17,50
83,Lipscomb,ASUN,DI,76,32,26,0,0,0,0,0,0,0,0,17,50,0,0
83,Pennsylvania,Ivy League,FCS,76,32,26,0,0,0,0,0,0,0,0,17,50,0,0
85,Fairleigh Dickinson,Northeast,DI,75,0,0,0,0,0,0,0,0,33,25,33,25,33,25
85,High Point,Big South,DI,75,0,0,0,0,0,0,0,0,0,0,17,50,33,25
85,Kansas,Big 12,FBS,75,0,0,0,0,0,0,51,25,0,0,0,0,17,50
85,Purdue,Big Ten,FBS,75,0,0,0,0,0,0,51,25,0,0,0,0,17,50
85,Quinnipiac,MAAC,DI,75,0,0,0,0,0,0,0,0,33,25,33,25,33,25
85,Rice,Conference USA,FBS,75,0,0,0,0,0,0,51,25,0,0,0,0,17,50
85,Saint Louis,Atlantic 10,DI,75,0,0,0,0,0,0,0,0,33,25,17,50,0,0
85,Washington State,Pac-12,FBS,75,0,0,0,0,0,0,51,25,0,0,0,0,17,50
93,North Carolina Greensboro,SoCon,DI,73,0,0,0,0,0,0,0,0,0,0,5,73,0,0
93,Utah Valley,WAC,DI,73,26,48,0,0,0,0,0,0,33,25,0,0,0,0
93,Vermont,America East,DI,73,0,0,0,0,0,0,0,0,0,0,5,73,0,0
96,Albany,America East,FCS,70,0,0,0,0,5,70,0,0,0,0,0,0,0,0
96,Buffalo,MAC,FBS,70,0,0,0,0,0,0,26,45,33,25,0,0,0,0
96,Holy Cross,Patriot,FCS,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,New Mexico State,WAC,FBS,70,0,0,0,0,0,0,26,45,33,25,0,0,0,0
96,Sacramento State,Big Sky,FCS,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Saint Joseph's,Atlantic 10,DI,70,0,0,0,0,5,70,0,0,0,0,0,0,0,0
96,William & Mary,CAA,FCS,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,FIU,Conference USA,FBS,64,0,0,0,0,0,0,0,0,0,0,9,64,0,0
103,Marquette,Big East,DI,64,0,0,0,0,0,0,0,0,0,0,0,0,9,64
103,Nebraska,Big Ten,FBS,64,0,0,0,0,0,0,0,0,0,0,0,0,9,64
103,UC Irvine,Big West,DI,64,0,0,0,0,0,0,0,0,9,64,0,0,0,0
103,Western Michigan,MAC,FBS,64,0,0,0,0,0,0,0,0,0,0,9,64,0,0
