#,Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F
871,Nicco Holland,COPP,,58.2,7.82,5.37,1.46,1.53,17.60%,12.10%,5.50%,0.27,1.72,0.306,55.70%,6.9,8.22,-1.31
872,Carson Turnquist,CP,22,63.1,10.8,4.69,2.3,0.71,26.90%,11.70%,15.20%,0.19,1.23,0.256,76.20%,3.55,4.87,-1.31
873,Colby Putnam,GWEB,,58.1,6.17,3.7,1.67,1.08,15.60%,9.30%,6.20%,0.259,1.41,0.288,65.30%,4.94,6.26,-1.32
874,Joseph Steventon,WAG,21,72,6.5,3.13,2.08,0.38,16.00%,7.70%,8.30%,0.252,1.35,0.299,62.20%,4.88,6.2,-1.33
875,Brady Bowen,AKR,,51.2,7.14,2.96,2.41,0.87,17.50%,7.30%,10.30%,0.243,1.32,0.28,66.20%,4.35,5.68,-1.33
876,Owen Marsolek,STMN,19,76.1,9.67,3.54,2.73,1.41,23.90%,8.70%,15.20%,0.246,1.36,0.3,73.60%,4.83,6.16,-1.33
877,Rylan Morin,UAPB,,58.2,7.06,3.37,2.09,0.46,16.20%,7.70%,8.50%,0.216,1.28,0.255,60.40%,5.06,6.39,-1.33
878,David James,SBU,22,75.1,8.6,3.82,2.25,1.19,21.60%,9.60%,12.00%,0.254,1.42,0.305,63.00%,4.3,5.63,-1.33
879,Eli DeRossi,MSM,21,53,8.49,5.09,1.67,2.04,19.40%,11.60%,7.80%,0.267,1.68,0.296,65.70%,6.11,7.45,-1.34
880,Robbie O'Connor,NE,22,68.1,6.72,2.5,2.68,0.4,17.20%,6.40%,10.80%,0.198,1.01,0.237,68.30%,4.08,5.42,-1.34
881,Maddox Thornton,ORU,24,43.2,5.77,2.27,2.55,1.24,14.30%,5.60%,8.70%,0.279,1.4,0.303,70.00%,4.95,6.29,-1.34
882,Jack Sheldon,FAIR,,46.2,5.59,3.28,1.71,0.77,13.70%,8.10%,5.70%,0.28,1.48,0.314,72.80%,4.44,5.78,-1.34
883,Alec Bouchard,WOF,,82.2,11,2.5,4.39,0.87,30.00%,6.80%,23.10%,0.21,1.06,0.284,85.40%,2.29,3.63,-1.35
884,Adam Guazzo,VAL,,60.1,6.41,2.98,2.15,1.34,16.30%,7.60%,8.70%,0.268,1.38,0.295,70.50%,5.07,6.43,-1.36
885,Easton Tumis,KENT,22,69.1,6.49,2.08,3.13,1.17,16.00%,5.10%,10.90%,0.261,1.27,0.29,68.10%,5.06,6.42,-1.36
886,Gio Colasante,HARV,22,54.1,6.29,3.98,1.58,0.66,14.60%,9.20%,5.40%,0.21,1.29,0.237,56.50%,4.47,5.83,-1.36
887,Daniel Powell,KENN,21,53,10.53,4.08,2.58,0.68,28.40%,11.00%,17.40%,0.205,1.19,0.282,76.50%,3.06,4.42,-1.37
888,Callen Powers,MASS,20,84,8.04,3.43,2.34,0.75,20.50%,8.80%,11.80%,0.234,1.29,0.284,72.50%,3.96,5.34,-1.38
889,Evan Holewinski,KENT,21,46.1,9.71,1.75,5.56,0.19,26.90%,4.80%,22.00%,0.195,0.93,0.268,67.30%,2.14,3.52,-1.38
890,Isaac Herrera,PV,23,55.2,6.95,3.72,1.87,0,17.00%,9.10%,7.90%,0.272,1.53,0.335,63.20%,3.72,5.1,-1.38
891,Connor Davis,MORE,,57.1,3.77,4.71,0.8,1.57,8.90%,11.10%,-2.20%,0.289,1.69,0.288,66.30%,6.28,7.67,-1.4
892,Trey Swygart,PORT,20,49,7.53,2.2,3.42,0.92,18.60%,5.40%,13.10%,0.264,1.33,0.31,68.20%,3.86,5.26,-1.4
893,Michael Murphy,XAV,21,50,7.2,2.88,2.5,1.44,18.20%,7.30%,10.90%,0.273,1.38,0.308,72.30%,5.04,6.45,-1.41
894,Tyler Conklin,EIU,23,81.2,4.52,4.52,1,1.1,11.30%,11.30%,0.00%,0.246,1.47,0.256,63.90%,4.96,6.37,-1.41
895,Lucas Niemeyer,LIN,,61.2,4.38,2.92,1.5,0.73,10.70%,7.10%,3.60%,0.292,1.51,0.316,66.00%,4.38,5.79,-1.41
896,Travis Lutz,LAM,22,52.1,9.8,2.06,4.75,0.52,27.30%,5.70%,21.50%,0.194,0.96,0.257,79.10%,2.06,3.48,-1.41
897,Cason Sharp,UTM,,61.1,5.14,2.79,1.84,1.47,11.90%,6.50%,5.40%,0.312,1.66,0.33,68.00%,5.14,6.55,-1.42
898,Mason Tompkins,WIN,19,44,5.52,2.66,2.08,1.02,14.10%,6.80%,7.30%,0.259,1.3,0.283,59.30%,4.7,6.12,-1.42
899,Justin Trinidad,IONA,,41,6.8,4.17,1.63,0.88,15.70%,9.60%,6.10%,0.283,1.66,0.326,56.40%,4.39,5.81,-1.42
900,Reece Wagner,UNCO,,71.2,7.91,6.66,1.19,1,18.30%,15.40%,2.90%,0.246,1.69,0.293,69.20%,5.78,7.2,-1.42
901,Johnny Nuanez,WICH,,54.1,9.11,3.15,2.89,0.5,24.00%,8.30%,15.70%,0.213,1.14,0.278,76.00%,2.65,4.07,-1.42
902,Louis Castano,HCU,23,53.1,9.79,2.87,3.41,1.52,26.90%,7.90%,19.00%,0.23,1.16,0.279,74.40%,3.88,5.31,-1.43
903,James Ellis,SPU,23,59.2,4.98,6.49,0.77,1.81,10.40%,13.60%,-3.20%,0.301,2.03,0.308,60.90%,7.24,8.67,-1.43
904,Hunter Possehl,FGCU,21,63.1,8.81,3.27,2.7,0.71,22.60%,8.40%,14.20%,0.236,1.26,0.297,68.30%,3.41,4.85,-1.44
905,Wayland Crane,BYU,,56.1,7.67,4.95,1.55,1.92,17.90%,11.60%,6.30%,0.297,1.76,0.331,65.40%,5.75,7.2,-1.45
906,Matthew Kouser,NU,20,66.1,5.97,5.16,1.16,1.36,14.50%,12.50%,2.00%,0.266,1.61,0.288,66.00%,5.02,6.47,-1.45
907,Matthew Eagen,QUC,23,50.1,5.72,3.22,1.78,1.61,14.20%,8.00%,6.20%,0.275,1.47,0.288,70.30%,5.19,6.63,-1.45
908,Aidan Brainard,NEV,,59.1,10.01,5.46,1.83,1.37,22.70%,12.40%,10.30%,0.302,1.85,0.382,72.60%,5.61,7.07,-1.45
909,Antonio Doganiero,PITT,,56,7.88,3.21,2.45,1.45,20.30%,8.30%,12.00%,0.237,1.29,0.267,66.80%,3.86,5.31,-1.46
910,Mikiah Negrete,CSUF,22,91,8.6,1.68,5.12,0.89,23.50%,4.60%,18.90%,0.224,1.03,0.275,78.80%,2.87,4.33,-1.46
911,Eddie Sargent,UMBC,,67.2,5.45,4.26,1.28,0.8,13.50%,10.50%,3.00%,0.271,1.54,0.301,73.80%,4.26,5.71,-1.46
912,Mason Lerma,UCD,,54.2,8.73,3.79,2.3,0.66,22.00%,9.50%,12.40%,0.25,1.41,0.314,73.60%,2.96,4.45,-1.48
913,Griffin Smith,WSU,22,73,5.79,2.1,2.76,1.48,15.20%,5.50%,9.70%,0.265,1.27,0.281,62.00%,5.3,6.79,-1.49
914,Kenneth Haynes,PV,21,56.2,6.51,6.19,1.05,1.11,14.70%,14.00%,0.70%,0.296,1.91,0.335,63.30%,6.35,7.84,-1.49
915,Ethan Sanders,RICE,,79.1,6.92,2.38,2.9,1.47,18.10%,6.20%,11.90%,0.264,1.31,0.292,77.40%,3.86,5.35,-1.5
916,Sam Beck,OMA,24,41.2,8.86,3.02,2.93,1.3,22.50%,7.70%,14.80%,0.25,1.32,0.299,75.10%,4.32,5.82,-1.5
917,Matthew OBrien,UCR,,77.2,4.64,3.71,1.25,1.16,11.10%,8.90%,2.20%,0.27,1.52,0.283,67.00%,4.75,6.25,-1.5
918,David Lally Jr.,MICH,22,59.1,7.89,3.34,2.36,1.52,18.40%,7.80%,10.60%,0.213,1.26,0.23,72.20%,4.4,5.91,-1.51
919,Matthew Mariano,ALB,,61,5.61,3.1,1.81,0.44,14.00%,7.70%,6.30%,0.216,1.21,0.245,68.20%,3.25,4.76,-1.52
920,Jose Luccioni,TXSO,19,51,6.35,4.76,1.33,0.88,14.70%,11.00%,3.70%,0.317,1.82,0.365,68.80%,5.82,7.34,-1.52
921,Ryan Oakes,NEV,,42,9.64,4.07,2.37,0.86,23.80%,10.10%,13.80%,0.261,1.48,0.336,76.50%,4.29,5.8,-1.52
922,Jarret Williams,LAM,,54,8.17,3,2.72,0.5,20.60%,7.60%,13.00%,0.211,1.15,0.261,74.10%,3.17,4.68,-1.52
923,Dakota Stone,UNF,22,68.1,11.99,4.48,2.68,0.4,28.80%,10.80%,18.00%,0.182,1.23,0.261,77.40%,2.5,4.02,-1.52
924,Andrew Johnson,USC,,65.1,9.37,3.44,2.72,1.52,22.80%,8.40%,14.40%,0.223,1.3,0.258,78.80%,3.72,5.24,-1.52
925,Denver Hamilton,CARK,,72,6.63,1.75,3.79,0.5,17.50%,4.60%,12.90%,0.273,1.26,0.324,80.10%,2.88,4.4,-1.52
926,Ethan Minaker,CSUB,22,56.1,6.07,3.83,1.58,0.8,15.10%,9.50%,5.60%,0.223,1.28,0.25,53.80%,4.31,5.84,-1.52
927,Collin Valentine,PEPP,,62.2,3.73,3.45,1.08,0.29,8.80%,8.10%,0.70%,0.275,1.55,0.3,69.90%,3.88,5.41,-1.53
928,Ben Winslow,YALE,21,42.1,11.06,1.49,7.43,1.7,31.00%,4.20%,26.80%,0.196,0.9,0.235,80.50%,3.19,4.72,-1.53
929,Ben Cleaver,UK,,44.2,8.87,5.04,1.76,1.01,20.70%,11.70%,8.90%,0.24,1.52,0.292,74.30%,3.83,5.37,-1.54
930,Jackson Mitchell,BING,,44,9.61,2.66,3.62,1.84,26.60%,7.30%,19.20%,0.204,1.05,0.226,73.40%,4.09,5.63,-1.54
931,Brent Stukes,UPST,20,63,5.71,3.86,1.48,1.86,13.30%,9.00%,4.30%,0.274,1.59,0.282,70.90%,5.86,7.41,-1.55
932,PJ Craig,RID,22,79.2,8.59,4.18,2.05,0.9,21.80%,10.60%,11.20%,0.254,1.43,0.315,75.80%,3.84,5.39,-1.55
933,Chris Olivier,LAM,,80,10.8,3.71,2.91,0.79,29.00%,10.00%,19.00%,0.182,1.08,0.243,77.90%,2.81,4.37,-1.55
934,Matt Archibald,NAVY,,65,13.57,4.43,3.06,0.55,36.00%,11.80%,24.30%,0.168,1.09,0.269,77.70%,2.35,3.92,-1.57
935,Aric Ehmke,MILW,22,63,5.86,2.57,2.28,0.86,14.60%,6.40%,8.20%,0.272,1.37,0.305,58.50%,4.86,6.43,-1.57
936,Logan Rumberg,GMU,,78,9.92,4.27,2.32,1.15,25.60%,11.00%,14.60%,0.21,1.26,0.263,67.70%,3.92,5.5,-1.57
937,Isaac Morton,MINN,21,60.2,9.35,3.71,2.52,0.89,24.10%,9.60%,14.60%,0.205,1.17,0.258,73.70%,3.26,4.84,-1.58
938,Maxx Yehl,WVU,22,73,10.85,2.47,4.4,0.49,29.50%,6.70%,22.80%,0.218,1.07,0.31,82.90%,2.1,3.67,-1.58
939,Hudson Rowan,LT,21,68,7.68,5.43,1.41,0.53,19.60%,13.90%,5.70%,0.197,1.31,0.242,67.80%,3.97,5.55,-1.58
940,Jake Marciano,AUB,20,75.2,11.42,1.9,6,1.55,31.00%,5.20%,25.80%,0.204,0.98,0.257,85.10%,2.74,4.33,-1.59
941,Owen Quinn,BALL,22,46.1,7.19,4.27,1.68,1.17,17.80%,10.60%,7.20%,0.276,1.55,0.319,72.90%,4.86,6.45,-1.6
942,Tommy Mitchell,ELON,,47.1,6.85,4.18,1.64,0.76,16.40%,10.00%,6.40%,0.304,1.71,0.357,59.20%,3.99,5.59,-1.6
943,Camden Wicker,UCF,21,68,7.41,3.18,2.33,1.06,20.10%,8.60%,11.50%,0.186,1.03,0.208,71.40%,3.71,5.31,-1.6
944,Riley Marcotte,UNO,,62,6.1,4.5,1.35,1.31,14.70%,10.90%,3.90%,0.279,1.61,0.306,68.90%,4.94,6.54,-1.6
945,Cooper Cavanaugh,DAV,,53.1,11.14,6.41,1.74,1.35,27.80%,16.00%,11.80%,0.194,1.41,0.248,76.60%,4.73,6.33,-1.6
946,Zack James,TCU,20,56.2,6.99,2.7,2.59,0.95,17.30%,6.70%,10.60%,0.234,1.25,0.265,80.20%,3.49,5.1,-1.6
947,Zach DenDekker,LMU,,45,8.2,4.6,1.78,1,20.20%,11.30%,8.90%,0.218,1.33,0.258,71.40%,4.6,6.21,-1.61
948,Camden Sunstrom,USM,20,67,9.13,1.75,5.23,0.94,23.20%,4.40%,18.80%,0.23,1.13,0.281,77.60%,2.69,4.29,-1.61
949,Ben Green,OAK,,49,6.61,3.67,1.8,1.29,15.70%,8.70%,7.00%,0.308,1.63,0.349,64.10%,5.88,7.49,-1.61
950,Cody Brasch,UL,,64.1,10.35,2.52,4.11,0.7,29.80%,7.30%,22.60%,0.181,0.92,0.245,83.90%,2.24,3.85,-1.61
951,Cam Staton,SMC,,51.2,8.71,4.35,2,1.39,20.80%,10.40%,10.40%,0.256,1.53,0.301,66.90%,4.53,6.15,-1.62
952,Nick Baffa,VAL,,62,6.97,4.06,1.71,2.18,16.40%,9.60%,6.80%,0.317,1.79,0.342,63.40%,5.95,7.57,-1.62
953,Bradley Gilbert,UVU,,43.2,8.86,3.5,2.53,1.24,22.90%,9.00%,13.80%,0.187,1.1,0.214,53.80%,3.92,5.54,-1.62
954,Tyler Mudd,BC,24,59.1,5.61,3.19,1.76,1.67,13.70%,7.70%,5.90%,0.279,1.5,0.291,76.60%,4.7,6.32,-1.62
955,Patrick Steitz,VCU,,85,7.84,2.01,3.89,0.85,21.80%,5.60%,16.20%,0.215,1.02,0.256,79.20%,2.96,4.59,-1.63
956,Ross Yoshida,COR,,43.2,8.66,2.68,3.23,0.82,23.60%,7.30%,16.30%,0.194,1.01,0.237,76.00%,2.89,4.52,-1.63
957,Josh Newell,LIN,,93.1,5.59,1.25,4.46,0.48,15.00%,3.40%,11.70%,0.253,1.15,0.289,70.60%,2.51,4.14,-1.63
958,Andrew Herrmann,UL,,92.2,9.13,3.01,3.03,1.46,24.20%,8.00%,16.20%,0.213,1.12,0.249,73.70%,4.08,5.71,-1.63
959,Steven Cash,JVST,,74,10.09,3.16,3.19,0.85,27.10%,8.50%,18.60%,0.202,1.09,0.264,79.50%,2.92,4.56,-1.64
960,Ty Thames,RICE,,45,7.4,5.2,1.42,1.2,19.00%,13.30%,5.60%,0.213,1.36,0.24,66.00%,4.4,6.05,-1.65
961,Sam Fairhurst,LEH,,56,8.68,4.34,2,1.29,21.40%,10.70%,10.70%,0.255,1.46,0.305,73.90%,4.5,6.15,-1.65
962,Justin Roitman,WAG,22,52.2,9.23,7.52,1.23,0.85,20.10%,16.40%,3.70%,0.28,1.99,0.352,62.50%,5.81,7.47,-1.66
963,Matthew Delvaux,MERC,,70.2,6.37,3.95,1.61,1.27,15.30%,9.50%,5.80%,0.257,1.47,0.281,65.30%,5.99,7.65,-1.66
964,Talmadge Davis,JKST,20,49.1,12.22,4.74,2.58,0.55,29.00%,11.30%,17.70%,0.185,1.22,0.272,58.60%,4.56,6.23,-1.67
965,Jimmy Gilleran,STO,22,62,7.55,4.65,1.63,0.44,18.80%,11.60%,7.20%,0.238,1.44,0.292,57.90%,4.5,6.18,-1.68
966,Daniel Gonzalez,USA,,66.2,8.91,4.59,1.94,1.22,22.10%,11.40%,10.70%,0.249,1.47,0.302,76.80%,4.05,5.73,-1.68
967,Ashton Chronister,XAV,21,64.2,5.57,2.23,2.5,0.84,14.90%,5.90%,8.90%,0.265,1.27,0.296,76.00%,3.62,5.3,-1.69
968,Beau Bryans,JVST,22,59,10.37,5.64,1.84,0.46,26.10%,14.20%,11.90%,0.217,1.41,0.305,74.90%,3.36,5.04,-1.69
969,Zach Todd,PAC,22,75,9.6,4.68,2.05,0.72,24.80%,12.10%,12.70%,0.21,1.28,0.274,77.10%,3.6,5.29,-1.69
970,Matthew Lefevers,RAD,20,44,2.86,2.45,1.17,1.23,7.20%,6.20%,1.00%,0.303,1.5,0.304,74.70%,4.91,6.6,-1.69
971,Lucas Connors,LEM,21,43,7.33,2.93,2.5,1.67,18.90%,7.60%,11.40%,0.241,1.26,0.26,62.80%,5.86,7.55,-1.69
972,Max Bayles,SCU,21,69.2,13.18,5.17,2.55,0.65,34.60%,13.60%,21.00%,0.189,1.26,0.293,84.10%,2.45,4.15,-1.7
973,Jackson Blakely,GT,20,50.2,9.95,2.49,4,1.07,23.10%,5.80%,17.40%,0.202,1.14,0.244,83.90%,2.84,4.54,-1.7
974,John Damozonio,SMC,,70.1,9.47,2.43,3.89,0.64,24.30%,6.20%,18.00%,0.237,1.19,0.308,77.50%,2.82,4.53,-1.71
975,Liam OLeary,SJU,,92,6.07,2.05,2.95,0.49,16.30%,5.50%,10.80%,0.231,1.11,0.269,74.00%,3.03,4.74,-1.71
976,Michael Barnett,UCLA,22,60.1,7.61,4.03,1.89,1.34,20.00%,10.60%,9.40%,0.24,1.33,0.273,76.60%,4.03,5.74,-1.71
977,Hayden Frey,TOL,,72.2,7.68,2.97,2.58,0.74,20.70%,8.00%,12.70%,0.223,1.14,0.269,74.80%,3.72,5.43,-1.71
978,Mac Burke,DART,,37,8.27,2.43,3.4,0.24,22.40%,6.60%,15.80%,0.185,0.95,0.24,71.40%,2.19,3.9,-1.72
979,Owen Stewart,GMU,,53,10.36,5.09,2.03,1.36,25.00%,12.30%,12.70%,0.244,1.51,0.309,79.70%,4.42,6.13,-1.72
980,Rohan Lettow,SDSU,20,73.2,11,3.18,3.46,0.98,29.20%,8.40%,20.80%,0.233,1.24,0.315,72.50%,3.42,5.14,-1.72
981,Clayton Burke,M-OH,23,76.2,8.22,2.35,3.5,1.29,20.80%,6.00%,14.90%,0.241,1.21,0.279,68.40%,4.23,5.95,-1.72
982,Jackson Hinchliffe,RICH,,67.2,4.92,1.6,3.08,0.93,12.60%,4.10%,8.50%,0.232,1.09,0.247,66.90%,3.99,5.71,-1.72
983,Tanner Bradley,ORE,19,44.1,14.01,3.45,4.06,0.81,39.00%,9.60%,29.40%,0.138,0.86,0.215,86.60%,1.83,3.55,-1.73
984,Kevin Reavey,ARMY,,61.2,6.28,6.57,0.96,0.44,15.60%,16.30%,-0.70%,0.229,1.56,0.271,71.10%,4.38,6.11,-1.73
985,Troy Shepard,SIU,,77.1,8.73,3.84,2.27,0.47,22.70%,10.00%,12.70%,0.199,1.15,0.257,72.40%,3.37,5.11,-1.73
986,Kellan Montgomery,UCSB,22,71.1,7.82,2.65,2.95,1.51,20.90%,7.10%,13.90%,0.242,1.21,0.272,78.50%,3.91,5.65,-1.73
987,Max Hansmann,EVAN,22,80,8.89,3.04,2.93,0.9,22.70%,7.80%,14.90%,0.249,1.31,0.31,72.70%,3.38,5.11,-1.74
988,Merek Sears,UTA,24,49,8.27,3.31,2.5,0.92,20.70%,8.30%,12.40%,0.262,1.41,0.317,80.30%,3.31,5.04,-1.74
989,Andrew Evans,SIU,22,78.2,9.61,3.09,3.11,0.46,26.10%,8.40%,17.70%,0.212,1.13,0.284,76.40%,2.4,4.14,-1.74
990,Hunter Alexander,CARK,,59.1,11.22,4.7,2.39,0.61,29.60%,12.40%,17.20%,0.207,1.28,0.295,78.70%,2.58,4.32,-1.74
991,Andrew Damiani,NIA,22,45,10,3.2,3.13,0.6,27.00%,8.60%,18.40%,0.171,0.98,0.225,75.90%,2.6,4.34,-1.74
992,Cooper Campbell,VCU,20,44.2,7.46,3.83,1.95,0.81,18.80%,9.60%,9.10%,0.229,1.3,0.271,76.20%,3.83,5.59,-1.76
993,Oliver Pudvar,CONN,22,72.2,6.07,2.72,2.23,0.99,14.80%,6.60%,8.20%,0.266,1.42,0.296,74.40%,3.84,5.6,-1.76
994,Ricky Kidd,WMU,22,79.1,4.76,3.29,1.45,0.57,12.50%,8.60%,3.90%,0.242,1.27,0.268,69.20%,4.08,5.85,-1.77
995,Gavin Blachowicz,NEB,20,56.2,10.16,3.97,2.56,1.11,24.50%,9.60%,14.90%,0.189,1.2,0.231,77.40%,3.18,4.95,-1.77
996,Duke McCarron,JOES,21,65,8.72,5.12,1.7,1.25,21.10%,12.40%,8.70%,0.234,1.45,0.279,70.10%,4.85,6.62,-1.77
997,Andres Gonzalez,USI,,45.1,9.33,5.16,1.81,0.99,22.70%,12.60%,10.10%,0.253,1.54,0.32,78.60%,3.97,5.75,-1.78
998,Carson Timothy,SAC,21,54,5.33,3.83,1.39,1.33,13.30%,9.50%,3.70%,0.243,1.39,0.253,54.60%,4.67,6.45,-1.78
999,Nathan Love,ORU,,59.1,5.92,3.19,1.86,1.37,15.20%,8.20%,7.00%,0.262,1.38,0.281,71.80%,4.7,6.49,-1.79
1000,Sam Simmons,UTSA,22,59,6.86,2.75,2.5,0.31,17.10%,6.80%,10.30%,0.212,1.17,0.253,76.90%,2.14,3.92,-1.79
1001,Jacob Sitton,UTM,,80.2,7.48,4.8,1.56,2.01,18.00%,11.50%,6.40%,0.259,1.57,0.276,70.50%,5.47,7.27,-1.8
1002,Cam Bagwell,WAKE,20,55.2,7.92,2.91,2.72,2.26,18.30%,6.70%,11.60%,0.239,1.37,0.244,72.60%,4.85,6.65,-1.8
1003,Jorhan LaBoy,ALST,23,76.1,6.96,2.59,2.68,1.18,17.50%,6.50%,10.90%,0.289,1.45,0.331,65.70%,4.83,6.64,-1.8
1004,Brayden Gilley,WIN,21,76.2,6.81,2.82,2.42,1.41,17.30%,7.10%,10.10%,0.266,1.36,0.294,74.30%,4.46,6.27,-1.8
1005,Ryan Peterson,SHSU,,85,10.8,2.22,4.86,1.16,29.10%,6.00%,23.10%,0.218,1.06,0.286,81.10%,2.86,4.68,-1.82
1006,Spencer Stearns,SIUE,,77.1,5.94,2.44,2.43,0.93,15.50%,6.40%,9.10%,0.245,1.2,0.272,72.80%,3.72,5.55,-1.82
1007,Conner Johnson,ORU,,47,5.55,5.17,1.07,2.11,13.00%,12.10%,0.90%,0.289,1.74,0.293,70.20%,6.7,8.53,-1.83
1008,Richie Kerstetter,CCSU,,36.1,7.68,6.44,1.19,1.49,15.60%,13.10%,2.50%,0.276,2.01,0.308,66.60%,6.44,8.27,-1.83
1009,Cort Lowry,TAR,20,43,8.37,5.02,1.67,0.42,21.40%,12.80%,8.60%,0.181,1.19,0.234,70.70%,3.77,5.6,-1.84
1010,Thomas Allen,LT,,48.1,9.12,2.05,4.45,0.93,26.60%,6.00%,20.70%,0.186,0.89,0.229,78.40%,2.42,4.26,-1.84
1011,Bryce Riggs,EIU,,84,8.04,3.64,2.21,0.96,22.10%,10.00%,12.10%,0.186,1.07,0.217,72.50%,3.32,5.17,-1.85
1012,Hayden Collins,EKU,,51.2,6.1,2.96,2.06,2.44,15.00%,7.30%,7.70%,0.299,1.57,0.303,69.90%,5.75,7.6,-1.85
1013,Jake Hembree,GAST,21,43.1,10.38,7.48,1.39,0.42,26.90%,19.40%,7.50%,0.144,1.32,0.202,73.90%,3.32,5.18,-1.85
1014,Jackson Flora,UCSB,21,87.1,11.85,2.89,4.11,0.21,33.20%,8.10%,25.10%,0.16,0.89,0.246,88.70%,1.03,2.89,-1.86
1015,Jack Nelson,ARST,23,56,10.13,4.02,2.52,1.93,26.10%,10.40%,15.80%,0.206,1.21,0.231,75.60%,4.5,6.36,-1.86
1016,Ryan Griffin,NE,22,50,6.12,4.5,1.36,0.54,15.20%,11.20%,4.00%,0.229,1.38,0.265,63.60%,3.78,5.65,-1.87
1017,Andrew Buffkin,CIT,,63,6.71,3.29,2.04,0.43,18.10%,8.90%,9.30%,0.237,1.22,0.287,82.90%,2.57,4.44,-1.87
1018,Brady LeJeune-DeAcutis,UMBC,25,55.2,5.5,4.53,1.21,0.81,13.10%,10.80%,2.30%,0.271,1.58,0.302,67.00%,4.2,6.08,-1.88
1019,Nate Kugler,DART,,45.2,5.72,3.35,1.71,0.59,14.80%,8.70%,6.10%,0.246,1.29,0.281,70.10%,3.35,5.24,-1.89
1020,Ciaran Caughey,KENT,22,70,9.13,2.44,3.74,1.03,23.90%,6.40%,17.50%,0.22,1.1,0.27,71.40%,3.6,5.49,-1.89
1021,Quentin Pohorski,SF,23,41.1,10.23,4.79,2.14,0.65,27.80%,13.00%,14.80%,0.164,1.11,0.219,79.40%,2.83,4.72,-1.89
1022,Will Bartkoski,GAST,24,53.2,8.39,5.37,1.56,0.34,20.70%,13.30%,7.50%,0.179,1.23,0.232,76.60%,3.69,5.59,-1.9
1023,Connor Wylde,NMSU,23,53.2,5.37,5.87,0.91,1.68,12.10%,13.30%,-1.10%,0.282,1.77,0.292,70.10%,6.37,8.28,-1.9
1024,Tate McKee,GT,21,68,11.12,4.24,2.63,2.12,28.80%,11.00%,17.80%,0.231,1.34,0.277,82.90%,4.1,6.02,-1.91
1025,Ean DiPasquale,USI,21,58.2,5.52,3.99,1.38,0.61,13.80%,10.00%,3.80%,0.21,1.24,0.234,66.30%,3.84,5.75,-1.92
1026,Cody Airington,APSU,,58.1,7.1,3.24,2.19,1.54,18.00%,8.20%,9.80%,0.25,1.32,0.274,75.70%,4.63,6.57,-1.94
1027,Mason Lei,UIC,,86.1,8.03,1.77,4.53,1.46,21.10%,4.70%,16.40%,0.266,1.25,0.307,75.20%,3.65,5.6,-1.95
1028,Kai Leckszas,GTWN,22,66.1,6.65,3.53,1.88,0.95,17.00%,9.00%,8.00%,0.247,1.33,0.282,74.30%,4.07,6.02,-1.95
1029,Justin Feld,GONZ,22,62.2,8.76,4.31,2.03,1.29,22.30%,10.90%,11.30%,0.233,1.36,0.277,77.10%,4.16,6.12,-1.96
1030,John Abraham,FSU,21,43.1,11.42,3.95,2.89,0.21,31.30%,10.80%,20.50%,0.181,1.08,0.273,88.20%,1.04,3.01,-1.97
1031,JB Manarchuck,MSM,22,41.1,8.06,4.35,1.85,0.44,20.30%,11.00%,9.30%,0.226,1.35,0.283,78.30%,2.83,4.81,-1.98
1032,Dylan Smith,SJSU,,61.1,6.6,2.2,3,1.03,15.10%,5.00%,10.10%,0.242,1.32,0.267,76.40%,4.26,6.23,-1.98
1033,Chase Topolski,RICH,22,66.1,8.95,4.07,2.2,0.68,23.20%,10.50%,12.60%,0.201,1.19,0.254,79.50%,3.12,5.11,-1.99
1034,Niko Urquidi,CBU,,47,8.81,2.49,3.54,1.72,23.50%,6.60%,16.80%,0.251,1.23,0.29,74.90%,3.83,5.82,-1.99
1035,Will Labonte,PORT,19,73.1,7.12,3.44,2.07,0.49,19.00%,9.20%,9.80%,0.234,1.25,0.283,79.60%,2.82,4.82,-2
1036,Chet Lax,WRST,,71.1,7.57,2.14,3.53,1.26,19.50%,5.50%,14.00%,0.268,1.32,0.309,75.00%,4.04,6.04,-2
1037,Joe Dolinshek,ALST,20,45,5.2,5.2,1,0.6,11.90%,11.90%,0.00%,0.302,1.8,0.34,66.80%,5.4,7.41,-2.01
1038,Seth Benes,LIN,21,85,7.94,3.07,2.59,0.53,21.70%,8.40%,13.30%,0.199,1.07,0.246,77.30%,2.33,4.37,-2.04
1039,Ethan Blakeney,NORF,,69,9.13,4.57,2,1.04,22.90%,11.40%,11.40%,0.249,1.45,0.311,66.80%,4.83,6.87,-2.05
1040,Justin Mayes,TXSO,,55.1,13.17,3.9,3.38,0.98,33.20%,9.80%,23.40%,0.238,1.34,0.358,78.00%,3.58,5.63,-2.05
1041,Kyle Salvati,CCSU,22,70.2,9.17,4.2,2.18,0.89,23.50%,10.70%,12.70%,0.228,1.33,0.287,70.20%,4.33,6.39,-2.06
1042,Will Marenghi,DAV,20,40.1,7.36,4.24,1.74,1.56,17.70%,10.20%,7.50%,0.259,1.49,0.288,69.30%,4.91,6.97,-2.06
