#,Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F
639,Luke Jones,CCU,20,74,7.18,3.41,2.11,0.73,18.10%,8.60%,9.50%,0.246,1.32,0.291,70.20%,4.62,5.24,-0.61
640,Cristian Mogen,UNM,,63.1,8.38,3.84,2.19,1.71,19.50%,8.90%,10.60%,0.305,1.72,0.354,63.10%,6.54,7.16,-0.62
641,Carter Harrington,COFC,,60.2,7.12,3.86,1.85,1.04,16.80%,9.10%,7.70%,0.294,1.63,0.342,63.90%,5.49,6.12,-0.63
642,Dylan Smith,CSUF,,72.1,5.1,1.49,3.42,1,12.90%,3.80%,9.10%,0.286,1.33,0.31,66.10%,4.73,5.36,-0.63
643,Cole Carlon,ASU,21,71.2,14.82,3.52,4.21,1.51,39.20%,9.30%,29.90%,0.216,1.2,0.331,82.00%,3.64,4.28,-0.64
644,Tate Marland,BEL,21,52.2,8.37,4.44,1.88,2.73,19.00%,10.10%,8.90%,0.308,1.78,0.333,67.80%,8.03,8.67,-0.64
645,A.J. Colarusso,BC,22,71,8.37,2.66,3.14,1.27,21.40%,6.80%,14.60%,0.254,1.31,0.298,63.90%,4.18,4.82,-0.64
646,Brandon Stone,SC,21,66,7.5,2.59,2.89,1.5,18.50%,6.40%,12.10%,0.283,1.45,0.32,75.30%,4.64,5.28,-0.65
647,Garrett Workman,FAMU,20,66,7.23,3.41,2.12,0.82,17.40%,8.20%,9.20%,0.283,1.53,0.333,54.10%,5.86,6.51,-0.65
648,Connor Ball,STET,23,47.2,6.61,2.08,3.18,1.13,16.10%,5.00%,11.00%,0.282,1.45,0.315,66.60%,4.53,5.19,-0.66
649,Gavin Oswald,UNA,,56,7.71,3.05,2.53,0.8,20.30%,8.00%,12.20%,0.254,1.3,0.306,71.80%,4.34,5,-0.66
650,Brigden Parker,LR,23,63.1,7.25,4.55,1.59,0.99,18.30%,11.50%,6.80%,0.257,1.48,0.301,68.40%,5.12,5.78,-0.67
651,Parker Hampton,NORF,,70,5.91,3.34,1.77,0.51,14.40%,8.20%,6.30%,0.299,1.61,0.344,62.20%,5.4,6.07,-0.67
652,Myles Dismute,SOU,21,64.1,8.67,4.06,2.14,0.84,20.30%,9.50%,10.80%,0.297,1.71,0.366,61.60%,5.46,6.12,-0.67
653,Cole Leaman,LEH,22,47,10.34,6.51,1.59,0.19,24.20%,15.20%,9.00%,0.225,1.6,0.315,60.80%,4.21,4.89,-0.67
654,Mark Scamardella,NJIT,,63,9.29,3.43,2.71,0.71,23.20%,8.60%,14.60%,0.248,1.35,0.318,70.50%,4,4.68,-0.68
655,Chris Levonas,WAKE,20,68.1,14.49,4.21,3.44,0.92,39.40%,11.50%,28.00%,0.174,1.08,0.282,79.80%,2.9,3.58,-0.68
656,Drew Nelson,BRWN,,63,5.43,3.57,1.52,0.57,13.60%,9.00%,4.70%,0.278,1.49,0.316,66.70%,4.43,5.11,-0.68
657,Vaun Larisa,ME,,61,5.31,3.84,1.38,0.74,13.20%,9.60%,3.70%,0.251,1.43,0.277,62.70%,4.72,5.4,-0.68
658,Ethan Wendel,TAR,21,63,5.57,3.71,1.5,1.29,13.40%,8.90%,4.50%,0.263,1.48,0.28,64.20%,5.86,6.54,-0.68
659,Eric Segura,ORST,21,66.1,9.77,3.53,2.77,0.14,26.00%,9.40%,16.60%,0.221,1.19,0.311,76.70%,2.31,2.99,-0.68
660,Daniel Quintana,RAD,23,49.1,7.11,3.65,1.95,0.73,17.90%,9.20%,8.70%,0.243,1.34,0.288,66.30%,4.93,5.61,-0.69
661,Devin Costa,MORE,20,46.1,5.05,0.78,6.5,1.17,12.80%,2.00%,10.80%,0.271,1.19,0.288,66.00%,5.05,5.74,-0.69
662,Jacob Hines,CCSU,19,52,6.4,6.75,0.95,0.69,13.90%,14.70%,-0.80%,0.265,1.85,0.305,56.60%,7.27,7.96,-0.69
663,Trey Williford,UNCW,,59.1,12.29,3.79,3.24,0.61,32.50%,10.00%,22.50%,0.215,1.21,0.321,71.40%,3.34,4.03,-0.69
664,Brannon Westmoreland,LR,,84.2,7.65,2.02,3.79,0.32,20.50%,5.40%,15.10%,0.242,1.17,0.301,73.10%,2.98,3.67,-0.7
665,Kevin Robinson,NWST,,57.2,7.49,0.47,16,1.09,18.50%,1.20%,17.30%,0.292,1.32,0.338,64.20%,3.9,4.6,-0.7
666,Nik Toups,SELA,,51.1,10.52,5.79,1.82,0.88,24.40%,13.40%,11.00%,0.233,1.58,0.305,59.30%,4.73,5.43,-0.7
667,Luke Lycette,UNO,,43.1,7.68,4.36,1.76,0.42,19.80%,11.20%,8.60%,0.23,1.34,0.287,68.10%,4.15,4.86,-0.7
668,Brendan Conner,UAB,20,54.1,5.63,4.64,1.21,0.5,13.80%,11.40%,2.40%,0.241,1.47,0.274,68.10%,4.31,5.01,-0.71
669,Carter Samuelson,UAB,19,55,5.89,5.73,1.03,1.31,13.00%,12.60%,0.40%,0.259,1.73,0.277,62.90%,6.22,6.93,-0.71
670,Caleb Granger,FAMU,23,84.1,8.32,2.45,3.39,0.64,21.00%,6.20%,14.80%,0.284,1.43,0.352,64.00%,4.59,5.3,-0.71
671,Alfred Mucciarone,UML,21,69.2,5.56,2.2,2.53,0.9,13.80%,5.50%,8.40%,0.29,1.44,0.322,65.20%,4.52,5.24,-0.72
672,Drake Frize,USD,24,52.2,7.18,3.76,1.91,1.37,17.90%,9.40%,8.50%,0.249,1.37,0.278,67.30%,5.98,6.7,-0.72
673,EJ Miramontes,NKU,,56.2,7.15,3.34,2.14,0.95,18.20%,8.50%,9.70%,0.239,1.31,0.275,53.20%,5.4,6.13,-0.73
674,Vincent Borghese,RUTG,,56.1,9.59,3.83,2.5,1.12,23.40%,9.40%,14.10%,0.253,1.46,0.315,75.80%,3.99,4.72,-0.73
675,Michael Senay,USF,,81,6.11,1.89,3.24,0.78,16.70%,5.20%,11.60%,0.229,1.07,0.258,64.90%,3.78,4.51,-0.73
676,Logan Runde,IOWA,23,44.2,8.46,3.43,2.47,2.01,18.30%,7.40%,10.90%,0.24,1.48,0.257,72.10%,5.84,6.58,-0.73
677,Ethan Lay,SAC,,80.2,9.48,1.45,6.54,1.12,25.20%,3.90%,21.40%,0.252,1.17,0.314,67.50%,3.57,4.31,-0.74
678,Caden Aoki,UGA,23,59,11.9,3.2,3.71,1.22,28.60%,7.70%,20.90%,0.209,1.24,0.27,81.80%,3.2,3.94,-0.74
679,Aidan Dowd,FOR,,63,4.71,3.57,1.32,1.29,11.20%,8.50%,2.70%,0.285,1.54,0.299,64.70%,6.29,7.03,-0.74
680,Jake Drumm,GMU,20,67,8.73,1.75,5,1.07,23.10%,4.60%,18.50%,0.265,1.24,0.325,72.60%,3.9,4.64,-0.74
681,Anthony Treto,TAR,20,43.2,11.34,3.09,3.67,0.82,29.90%,8.20%,21.70%,0.216,1.17,0.296,75.90%,3.3,4.05,-0.75
682,Gavin Theis,MILW,,61.2,7.3,4.23,1.72,0.73,17.10%,9.90%,7.20%,0.268,1.57,0.317,60.60%,5.55,6.3,-0.75
683,Josh Swink,LIB,21,47.1,9.51,3.8,2.5,0.57,23.80%,9.50%,14.30%,0.239,1.35,0.313,69.90%,3.8,4.56,-0.75
684,Ty Roman,UL,,67,9.27,3.9,2.38,1.21,21.20%,8.90%,12.30%,0.234,1.42,0.279,72.60%,4.97,5.73,-0.76
685,Brock Lucas,MOST,,61.1,7.78,4.99,1.56,0.88,19.30%,12.40%,6.90%,0.246,1.5,0.294,66.20%,4.84,5.6,-0.76
686,James Capellupo,SBU,,43.1,8.1,4.98,1.63,0.83,19.60%,12.10%,7.50%,0.237,1.48,0.286,63.70%,4.98,5.74,-0.76
687,Declan Cawley,FOR,,51.1,9.64,4.38,2.2,1.4,24.80%,11.30%,13.50%,0.245,1.42,0.301,71.70%,4.91,5.67,-0.76
