year,decade,team,conf,record,SP+,rank,Off. SP+,rank,Def. SP+,rank,ST SP+,rank,pctile,off_pctile,def_pctile,10yr_avg,5yr_avg
1976,1970s,Oklahoma,Big 8,9.5-2.5,24.8,3,37,1,12.2,23,,,98.60%,99.30%,87.40%,95.20%,99.30%
1977,1970s,Oklahoma,Big 8,2-Oct,19.5,11,31.9,13,12.4,23,,,94.40%,93.80%,86.50%,95.00%,98.30%
1978,1970s,Oklahoma,Big 8,1-Nov,26.3,1,41.9,1,15.7,33,,,99.00%,99.90%,77.30%,95.40%,98.20%
1979,1970s,Oklahoma,Big 8,1-Nov,23.8,2,33,4,9.3,9,,,98.50%,97.90%,93.80%,97.30%,97.90%
1980,1980s,Oklahoma,Big 8,2-Oct,21.1,7,37.9,3,16.8,35,,,95.70%,99.20%,72.20%,98.30%,97.20%
1981,1980s,Oklahoma,Big 8,7.5-4.5,13.6,20,29.2,17,15.5,35,,,87.90%,90.50%,74.40%,97.20%,95.10%
1982,1980s,Oklahoma,Big 8,4-Aug,16,17,31.3,14,15.4,26,,,89.70%,89.50%,81.00%,96.20%,94.20%
1983,1980s,Oklahoma,Big 8,4-Aug,14.6,19,35.7,5,21.1,59,,,88.80%,96.80%,54.50%,95.10%,92.10%
1984,1980s,Oklahoma,Big 8,9.5-2.5,15,10,30.1,23,15.1,11,,,91.70%,84.40%,90.10%,94.30%,90.80%
1985,1980s,Oklahoma,Big 8,1-Nov,24.2,2,30.4,15,6.2,2,,,97.70%,91.00%,97.40%,94.20%,91.20%
1986,1980s,Oklahoma,Big 8,1-Nov,28.9,2,39,2,10,8,,,98.40%,99.10%,94.70%,94.20%,93.30%
1987,1980s,Oklahoma,Big 8,1-Nov,30.4,3,38.9,3,8.5,4,,,98.50%,98.30%,95.70%,94.60%,95.00%
1988,1980s,Oklahoma,Big 8,3-Sep,18.5,14,35.1,14,16.6,27,,,90.00%,91.70%,77.80%,93.70%,95.30%
1989,1980s,Oklahoma,Big 8,4-Jul,17.8,13,36.2,11,18.3,31,,,89.20%,91.80%,75.00%,92.80%,94.80%
1990,1990s,Oklahoma,Big 8,3-Aug,23.4,4,37.5,7,14.1,12,,,95.90%,95.70%,88.30%,92.80%,94.40%
1991,1990s,Oklahoma,Big 8,3-Sep,23.3,7,33.4,14,10.1,8,,,94.30%,90.70%,90.80%,93.40%,93.60%
1992,1990s,Oklahoma,Big 8,5-Jun,7.7,29,24.2,47,16.5,26,,,72.90%,57.10%,78.10%,91.80%,88.50%
1993,1990s,Oklahoma,Big 8,3-Sep,17.3,16,30.4,29,13.1,11,,,89.30%,76.10%,91.20%,91.80%,88.30%
1994,1990s,Oklahoma,Big 8,6-Jun,4.4,40,21.7,63,17.3,25,,,62.30%,39.50%,81.30%,88.90%,83.00%
1995,1990s,Oklahoma,Big 8,5.5-5.5,2.9,47,26.8,46,23.8,57,,,58.20%,58.70%,54.90%,84.90%,75.40%
1996,1990s,Oklahoma,Big 12,8-Mar,-5.3,70,26.2,54,31.5,80,,,36.20%,53.30%,26.20%,78.70%,63.80%
1997,1990s,Oklahoma,Big 12,8-Apr,-8.3,77,22.3,70,30.6,80,,,29.10%,34.70%,29.10%,71.80%,55.00%
1998,1990s,Oklahoma,Big 12,6-May,1.2,51,18.9,80,17.7,24,,,53.40%,22.80%,80.10%,68.10%,47.90%
1999,1990s,Oklahoma,Big 12,5-Jul,15.1,15,36.5,6,21.4,41,,,86.30%,93.60%,67.70%,67.80%,52.70%
2000,2000s,Oklahoma,Big 12,13-0,29.2,2,42.8,5,13.6,4,,,97.50%,97.30%,93.80%,68.00%,60.50%
2001,2000s,Oklahoma,Big 12,2-Nov,24.5,5,33.1,26,8.6,2,,,95.80%,80.30%,97.50%,68.10%,72.40%
2002,2000s,Oklahoma,Big 12,2-Dec,29.1,2,43.6,2,14.5,15,,,97.30%,98.50%,89.50%,70.50%,86.10%
2003,2000s,Oklahoma,Big 12,2-Dec,28.1,2,45.6,2,17.6,24,,,96.90%,98.90%,83.00%,71.30%,94.80%
2004,2000s,Oklahoma,Big 12,1-Dec,27.2,3,38,9,10.8,7,,,97.40%,94.50%,92.80%,74.80%,97.00%
2005,2000s,Oklahoma,Big 12,4-Aug,15.7,22,34.3,22,18.6,25,,,85.50%,81.10%,82.20%,77.50%,94.60%
2006,2000s,Oklahoma,Big 12,3-Nov,20.6,12,33.6,12,14.7,28,1.7,10,90.70%,89.60%,82.70%,83.00%,93.60%
2007,2000s,Oklahoma,Big 12,3-Nov,29.9,2,47,4,19.5,24,2.3,1,96.80%,97.70%,83.20%,89.80%,93.50%
2008,2000s,Oklahoma,Big 12,2-Dec,27.9,5,52.9,1,23.3,50,-1.8,109,97.00%,99.90%,58.50%,94.10%,93.50%
2009,2000s,Oklahoma,Big 12,5-Aug,20.9,11,30.2,36,8.9,6,-0.4,73,91.30%,71.60%,96.00%,94.60%,92.20%
2010,2010s,Oklahoma,Big 12,2-Dec,22.1,11,41.6,7,21.1,37,1.6,13,91.40%,94.70%,75.40%,94.00%,93.40%
2011,2010s,Oklahoma,Big 12,3-Oct,27.5,4,47.7,4,22.2,36,1.9,10,96.70%,99.00%,70.80%,94.10%,94.60%
2012,2010s,Oklahoma,Big 12,3-Oct,22.2,11,44.4,7,24.6,40,2.4,5,92.90%,96.40%,67.30%,93.70%,93.80%
2013,2010s,Oklahoma,Big 12,2-Nov,21.3,17,37.3,25,17.6,17,1.6,16,88.60%,82.50%,86.60%,92.80%,92.20%
2014,2010s,Oklahoma,Big 12,5-Aug,18.5,20,40.7,13,23.8,48,1.6,14,88.10%,91.50%,69.40%,91.90%,91.50%
2015,2010s,Oklahoma,Big 12,2-Nov,23.5,4,47.8,2,24.6,48,0.3,54,94.10%,98.60%,64.50%,92.80%,92.10%
2016,2010s,Oklahoma,Big 12,2-Nov,20,10,45.4,1,25.7,46,0.3,54,91.90%,97.70%,65.60%,92.90%,91.10%
2017,2010s,Oklahoma,Big 12,2-Dec,25,7,47.9,1,22.8,38,-0.1,71,95.30%,99.30%,69.50%,92.70%,91.60%
2018,2010s,Oklahoma,Big 12,2-Dec,23.3,7,51.2,1,28.8,69,1,32,94.60%,99.80%,46.10%,92.50%,92.80%
2019,2010s,Oklahoma,Big 12,2-Dec,23.9,10,46.2,3,24,42,1.7,17,93.50%,98.80%,65.20%,92.70%,93.90%
2020,2020s,Oklahoma,Big 12,2-Sep,22.9,5,44.6,5,22.3,25,0.6,20,96.30%,97.60%,82.70%,93.20%,94.30%
2021,2020s,Oklahoma,Big 12,2-Nov,17.3,12,41.1,3,25.1,57,1.3,20,88.70%,97.70%,57.70%,92.40%,93.70%
2022,2020s,Oklahoma,Big 12,7-Jun,13.6,20,38,19,25.1,57,0.8,39,83.20%,88.70%,58.90%,91.40%,91.30%
1935,1930s,Oklahoma City,Indies,0.5-3.5,-7.7,105,4.4,116,12.1,91,,,23.70%,16.30%,39.40%,,
1937,1930s,Oklahoma City,Indies,0-4,-18.7,128,4.8,108,23.5,130,,,4.20%,18.60%,1.80%,,
1914,1910s,Oklahoma State,Indies,6.5-2.5,3.2,41,16.3,30,13.2,47,,,58.20%,64.70%,49.90%,,
1915,1910s,Oklahoma State,SWC,4.5-5.5,2.2,45,14,43,11.8,47,,,55.40%,51.40%,59.00%,,
1916,1910s,Oklahoma State,SWC,4-Apr,7.4,40,19.6,31,12.2,54,,,66.40%,72.60%,57.10%,,
1917,1910s,Oklahoma State,SWC,5-Apr,-2.2,59,7.4,71,9.6,43,,,44.90%,24.20%,66.20%,,
1918,1910s,Oklahoma State,SWC,2-Apr,-4.7,44,12,32,16.6,58,,,36.30%,49.60%,25.00%,,52.20%
1919,1910s,Oklahoma State,SWC,4-Apr,-2.8,67,12.1,41,14.9,84,,,40.70%,63.20%,20.20%,,48.70%
1920,1920s,Oklahoma State,SWC,0.5-7.5,-25.2,97,1.1,93,26.3,95,,,5.90%,11.40%,5.20%,,38.80%
1921,1920s,Oklahoma State,SWC,5.5-4.5,-11.8,90,6.5,90,18.3,88,,,20.10%,23.70%,20.10%,,29.60%
1922,1920s,Oklahoma State,SWC,4.5-4.5,-1.4,64,12.4,58,13.8,70,,,46.60%,51.00%,43.40%,,29.90%
1923,1920s,Oklahoma State,SWC,8-Feb,-10.3,90,-0.5,116,9.8,62,,,23.70%,5.20%,55.40%,39.80%,27.40%
1924,1920s,Oklahoma State,SWC,2-Jul,0.9,57,8.3,69,7.4,54,,,52.80%,41.00%,64.40%,39.30%,29.80%
1925,1920s,Oklahoma State,MVIAA,2.5-5.5,-11.1,93,2.2,101,13.3,84,,,18.90%,12.40%,33.70%,35.60%,32.40%
1926,1920s,Oklahoma State,MVIAA,3.5-4.5,-7.2,88,6.9,79,14.1,81,,,27.20%,27.80%,30.20%,31.70%,33.80%
1927,1920s,Oklahoma State,MVIAA,4-Apr,-8.1,77,13,48,21.1,95,,,23.50%,55.30%,9.00%,29.60%,29.20%
1928,1920s,Oklahoma State,MVC,7-Jan,-24.9,104,2.3,98,27.3,102,,,1.90%,7.70%,1.70%,26.10%,24.90%
1929,1920s,Oklahoma State,MVC,4-May,-11.8,89,5.1,85,16.9,84,,,17.50%,18.30%,23.60%,23.80%,17.80%
1930,1930s,Oklahoma State,MVC,7.5-2.5,3.1,50,10.9,55,7.8,44,,,59.90%,48.90%,68.50%,29.20%,26.00%
1931,1930s,Oklahoma State,MVC,8.5-2.5,4,49,12.8,44,8.8,49,,,63.20%,60.50%,63.60%,33.50%,33.20%
1932,1930s,Oklahoma State,MVC,2-Oct,8,34,14.4,29,6.4,46,,,76.00%,77.80%,70.60%,36.50%,43.70%
1933,1930s,Oklahoma State,MVC,6.5-2.5,8.2,33,13.7,30,5.4,39,,,77.90%,78.30%,74.00%,41.90%,58.90%
1934,1930s,Oklahoma State,MVC,4.5-5.5,-11.8,115,4.3,114,16.2,112,,,12.80%,13.80%,17.00%,37.90%,58.00%
1935,1930s,Oklahoma State,MVC,7-Mar,-18.4,131,2.5,124,20.9,130,,,4.40%,10.10%,3.30%,36.40%,46.90%
1936,1930s,Oklahoma State,MVC,9-Jan,-22.6,134,0,135,22.7,133,,,1.40%,3.10%,1.60%,33.90%,34.50%
1937,1930s,Oklahoma State,MVC,6-Apr,-14.4,122,6.4,97,20.8,128,,,9.20%,27.10%,4.60%,32.40%,21.10%
1938,1930s,Oklahoma State,MVC,8-Feb,-24.6,130,2.2,128,26.8,130,,,0.60%,4.70%,0.30%,32.30%,5.70%
1939,1930s,Oklahoma State,MVC,5.5-4.5,-11.3,120,6.1,107,17.5,117,,,11.30%,17.10%,12.50%,31.70%,5.40%
1940,1940s,Oklahoma State,MVC,6.5-3.5,-0.9,77,16.3,33,17.2,98,,,46.30%,70.20%,23.90%,30.30%,13.70%
1941,1940s,Oklahoma State,MVC,4-May,-1.8,74,15.8,42,17.6,91,,,43.90%,66.20%,25.10%,28.40%,22.20%
1942,1940s,Oklahoma State,MVC,6.5-3.5,7.1,35,24.3,8,17.2,100,,,73.20%,94.60%,26.70%,28.10%,35.00%
1943,1940s,Oklahoma State,MVC,4-Mar,-5.6,53,17.5,37,23.1,70,,,33.70%,56.00%,15.90%,23.70%,41.70%
1944,1940s,Oklahoma State,MVC,1-Aug,14.7,17,29,9,14.4,47,,,82.90%,92.90%,58.70%,30.70%,56.00%
1945,1940s,Oklahoma State,MVC,Sep-00,20.5,7,30.2,4,9.7,19,,,95.00%,97.50%,81.10%,39.70%,65.70%
1946,1940s,Oklahoma State,MVC,3.5-7.5,-5.1,82,19.4,32,24.5,117,,,33.20%,71.10%,8.60%,42.90%,63.60%
1947,1940s,Oklahoma State,MVC,7-Mar,-6,84,10.8,94,16.8,70,,,31.70%,24.80%,42.30%,45.20%,55.30%
1948,1940s,Oklahoma State,MVC,4-Jun,-3.2,71,17.1,58,20.4,78,,,39.70%,47.60%,34.70%,49.10%,56.50%
1949,1940s,Oklahoma State,MVC,5-May,-6.3,83,17.6,79,23.9,91,,,30.90%,38.90%,27.40%,51.10%,46.10%
1950,1950s,Oklahoma State,MVC,4.5-6.5,-11.4,105,14.4,93,25.8,104,,,18.60%,27.80%,18.90%,48.30%,30.80%
1951,1950s,Oklahoma State,MVC,7-Mar,-15.9,110,10.7,107,26.6,104,,,9.40%,10.70%,14.60%,44.80%,26.10%
1952,1950s,Oklahoma State,MVC,7-Mar,-0.2,62,16.2,72,16.4,57,,,49.50%,41.50%,57.60%,42.50%,29.60%
1953,1950s,Oklahoma State,MVC,3-Jul,0.9,56,14.9,68,13.9,45,,,53.30%,38.70%,65.20%,44.40%,32.30%
1954,1950s,Oklahoma State,MVC,5.5-4.5,0.8,56,13.3,79,12.5,39,,,52.70%,29.60%,72.60%,41.40%,36.70%
1955,1950s,Oklahoma State,MVC,8-Feb,-5.5,76,8.4,100,13.9,48,,,31.60%,12.70%,59.10%,35.10%,39.30%
1956,1950s,Oklahoma State,MVC,6-Apr,-5.7,80,9.4,101,15.2,50,,,30.20%,12.50%,57.20%,34.80%,43.40%
1957,1950s,Oklahoma State,Indies,6.5-3.5,0.9,54,13.9,65,12.9,37,,,53.50%,41.50%,63.80%,36.90%,44.30%
1958,1950s,Oklahoma State,Indies,3-Aug,4.1,46,18.5,35,14.4,52,,,64.30%,68.80%,57.70%,39.40%,46.50%
1959,1950s,Oklahoma State,Indies,4-Jun,-1.7,70,17.5,38,19.3,83,,,43.80%,63.20%,30.40%,40.70%,44.70%
1960,1960s,Oklahoma State,Big 8,7-Mar,-1.9,66,11.9,82,13.8,51,,,43.70%,27.70%,58.00%,43.20%,47.10%
1961,1960s,Oklahoma State,Big 8,6-Apr,-1.7,63,12.7,74,14.4,50,,,44.20%,31.00%,59.50%,46.70%,49.90%
1962,1960s,Oklahoma State,Big 8,6-Apr,-6,84,17.7,51,23.7,110,,,28.50%,58.30%,12.00%,44.60%,44.90%
1963,1960s,Oklahoma State,Big 8,8-Jan,-12.4,111,13.2,84,25.6,120,,,10.50%,32.70%,5.60%,40.30%,34.20%
1964,1960s,Oklahoma State,Big 8,6-Apr,-1.5,72,16.5,43,18.1,84,,,43.50%,61.80%,28.80%,39.40%,34.10%
1965,1960s,Oklahoma State,Big 8,7-Mar,-3.1,75,15.4,70,18.5,79,,,37.20%,39.70%,38.10%,39.90%,32.80%
1966,1960s,Oklahoma State,Big 8,4.5-5.5,-5.3,83,8.6,111,13.8,41,,,31.10%,7.80%,69.40%,40.00%,30.10%
1967,1960s,Oklahoma State,Big 8,4.5-5.5,-2.5,69,10.8,108,13.2,29,,,40.30%,12.10%,79.60%,38.70%,32.50%
1968,1960s,Oklahoma State,Big 8,7-Mar,-4.8,82,20.3,71,25.1,82,,,34.20%,39.80%,33.60%,35.70%,37.20%
1969,1960s,Oklahoma State,Big 8,5-May,4.3,47,23.8,48,19.5,49,,,62.30%,58.90%,62.40%,37.50%,41.00%
1970,1970s,Oklahoma State,Big 8,7-Apr,0.1,65,24.3,41,24.2,97,,,50.20%,66.60%,32.20%,38.20%,43.60%
1971,1970s,Oklahoma State,Big 8,4.5-6.5,0.7,55,24.2,30,23.5,93,,,52.20%,69.30%,30.90%,39.00%,47.80%
1972,1970s,Oklahoma State,Big 8,5-Jun,11.5,23,28.1,21,16.7,36,,,82.60%,86.00%,68.80%,44.40%,56.30%
1973,1970s,Oklahoma State,Big 8,5-Jun,15.7,18,27.1,30,11.3,18,,,88.40%,76.80%,89.50%,52.20%,67.20%
1974,1970s,Oklahoma State,Big 8,5-Jul,16.7,14,28.3,14,11.6,19,,,91.30%,88.80%,88.60%,57.00%,73.00%
1975,1970s,Oklahoma State,Big 8,4-Jul,14.9,21,27.1,24,12.2,29,,,89.00%,85.80%,85.20%,62.20%,80.70%
1976,1970s,Oklahoma State,Big 8,3-Sep,18.7,10,33.4,8,14.8,34,,,95.10%,97.50%,77.40%,68.60%,89.30%
1977,1970s,Oklahoma State,Big 8,7-Apr,1.3,70,21.1,74,19.8,78,,,54.20%,52.20%,54.80%,70.00%,83.60%
1978,1970s,Oklahoma State,Big 8,8-Mar,-2.6,83,21.3,66,24,111,,,40.80%,55.60%,28.30%,70.60%,74.10%
1979,1970s,Oklahoma State,Big 8,4-Jul,0.2,67,17.6,83,17.4,52,,,50.90%,38.10%,63.10%,69.50%,66.00%
1980,1980s,Oklahoma State,Big 8,3.5-7.5,-1.1,79,21.9,64,23,86,,,46.40%,55.20%,39.00%,69.10%,57.50%
1981,1980s,Oklahoma State,Big 8,5-Jul,1.2,68,17.2,88,16,40,,,54.10%,34.30%,72.40%,69.30%,49.30%
1982,1980s,Oklahoma State,Big 8,6-May,-0.3,58,22.8,47,23.1,67,,,49.20%,56.10%,42.10%,65.90%,48.30%
1983,1980s,Oklahoma State,Big 8,4-Aug,15.6,13,32,11,16.4,25,,,90.40%,91.20%,77.40%,66.10%,58.20%
1984,1980s,Oklahoma State,Big 8,2-Oct,17.6,5,30.9,19,13.2,4,,,94.80%,86.90%,94.30%,66.50%,67.00%
1985,1980s,Oklahoma State,Big 8,4-Aug,12,25,23.5,42,11.6,13,,,83.70%,61.20%,89.70%,66.00%,74.40%
1986,1980s,Oklahoma State,Big 8,5-Jun,1.7,46,20.4,65,18.7,37,,,55.10%,38.50%,68.90%,62.00%,74.70%
1987,1980s,Oklahoma State,Big 8,2-Oct,16,15,37.9,4,21.9,46,,,87.30%,97.60%,55.20%,65.30%,82.30%
1988,1980s,Oklahoma State,Big 8,2-Oct,20,11,51.2,1,31.2,86,,,91.70%,100.00%,19.10%,70.40%,82.50%
1989,1980s,Oklahoma State,Big 8,7-Apr,-4.5,68,26.4,41,30.8,79,,,37.80%,59.40%,23.30%,69.00%,71.10%
1990,1990s,Oklahoma State,Big 8,7-Apr,-6.4,73,22.4,63,28.7,80,,,31.80%,40.40%,30.00%,67.60%,60.70%
1991,1990s,Oklahoma State,Big 8,0.5-10.5,-14.5,91,12.5,88,27.1,76,,,16.20%,12.40%,29.90%,63.80%,52.90%
1992,1990s,Oklahoma State,Big 8,4.5-6.5,-5.2,75,16.8,86,22.1,53,,,33.90%,21.50%,53.90%,62.30%,42.30%
1993,1990s,Oklahoma State,Big 8,8-Mar,-7,72,13,100,20,36,,,30.80%,8.40%,70.40%,56.30%,30.10%
1994,1990s,Oklahoma State,Big 8,3.5-7.5,-5.8,71,15.2,90,21,39,,,33.80%,15.50%,65.40%,50.20%,29.30%
1995,1990s,Oklahoma State,Big 8,8-Apr,-0.2,57,27,43,27.1,67,,,49.50%,59.60%,39.80%,46.80%,32.90%
1996,1990s,Oklahoma State,Big 12,6-May,-2.9,62,24.7,59,27.5,61,,,42.50%,46.10%,41.50%,45.50%,38.10%
1997,1990s,Oklahoma State,Big 12,4-Aug,9.4,31,30.4,33,21,41,,,73.40%,73.40%,68.20%,44.10%,46.00%
1998,1990s,Oklahoma State,Big 12,6-May,8.6,34,30.1,33,21.5,39,,,72.20%,72.30%,65.90%,42.20%,54.30%
1999,1990s,Oklahoma State,Big 12,6-May,2.1,53,26.6,49,24.6,52,,,56.00%,58.20%,52.60%,44.00%,58.70%
2000,2000s,Oklahoma State,Big 12,8-Mar,-3.2,72,23.2,71,26.4,68,,,41.40%,38.80%,46.30%,45.00%,57.10%
2001,2000s,Oklahoma State,Big 12,7-Apr,-0.6,65,21.9,89,22.5,41,,,48.20%,26.30%,67.30%,48.20%,58.20%
2002,2000s,Oklahoma State,Big 12,5-Aug,11.4,35,36.3,11,25,55,,,77.40%,89.30%,56.20%,52.50%,59.00%
2003,2000s,Oklahoma State,Big 12,4-Sep,15.2,20,41.7,6,26.5,67,,,84.40%,96.70%,48.70%,57.90%,61.50%
2004,2000s,Oklahoma State,Big 12,5-Jul,14,21,33.4,17,19.4,37,,,84.20%,83.80%,74.00%,62.90%,67.10%
2005,2000s,Oklahoma State,Big 12,7-Apr,-3,74,25.3,65,28.3,67,,,41.90%,46.50%,39.40%,62.20%,67.30%
2006,2000s,Oklahoma State,Big 12,6-Jul,11.3,32,34.9,8,25.6,74,2,2,76.60%,92.00%,37.00%,65.60%,72.90%
2007,2000s,Oklahoma State,Big 12,6-Jul,12.1,31,44.5,8,31.1,68,-1.2,99,77.30%,95.70%,41.90%,66.00%,72.90%
2008,2000s,Oklahoma State,Big 12,4-Sep,21.5,10,46.6,5,26.5,65,1.4,21,92.60%,99.00%,44.70%,68.00%,74.50%
2009,2000s,Oklahoma State,Big 12,4-Sep,16.4,18,29.5,45,15,16,1.9,7,85.70%,68.00%,87.20%,71.00%,74.80%
2010,2010s,Oklahoma State,Big 12,2-Nov,24.3,10,46.6,1,24.8,51,2.5,1,93.40%,98.60%,61.20%,76.20%,85.10%
2011,2010s,Oklahoma State,Big 12,1-Dec,27.9,3,54.4,1,28,60,1.5,17,96.90%,99.90%,45.10%,81.00%,89.20%
2012,2010s,Oklahoma State,Big 12,5-Aug,23.6,9,49.5,2,28.5,56,2.6,3,94.00%,99.10%,51.40%,82.70%,92.50%
2013,2010s,Oklahoma State,Big 12,3-Oct,21.5,16,41,13,18.4,21,-1.1,98,88.80%,90.40%,84.70%,83.10%,91.80%
2014,2010s,Oklahoma State,Big 12,6-Jul,6.4,47,33.3,34,27.5,61,0.6,39,65.90%,70.90%,53.60%,81.30%,87.80%
2015,2010s,Oklahoma State,Big 12,3-Oct,12.6,31,42.7,6,31.1,79,1.1,28,79.90%,94.90%,37.80%,85.10%,85.10%
2016,2010s,Oklahoma State,Big 12,3-Oct,15.1,21,41.2,10,27.2,55,1,28,85.40%,93.00%,59.20%,86.00%,82.80%
2017,2010s,Oklahoma State,Big 12,3-Oct,20.8,10,44.9,3,24.1,47,-0.1,72,91.80%,98.30%,64.60%,87.50%,82.40%
2018,2010s,Oklahoma State,Big 12,6-Jul,12.9,27,42.4,6,30.2,80,0.7,42,81.40%,96.40%,40.10%,86.30%,80.90%
2019,2010s,Oklahoma State,Big 12,5-Aug,10.5,31,36.2,18,25.6,56,-0.1,70,74.80%,85.20%,58.90%,85.20%,82.70%
2020,2020s,Oklahoma State,Big 12,3-Aug,9.9,30,33.6,37,24.3,36,0.6,19,78.00%,72.10%,74.70%,83.70%,82.30%
2021,2020s,Oklahoma State,Big 12,2-Dec,17.3,11,33.8,23,17.4,17,0.9,32,88.80%,83.70%,86.10%,82.90%,82.90%
2022,2020s,Oklahoma State,Big 12,6-Jul,9.9,37,32.3,38,23.9,47,1.5,14,75.80%,72.50%,65.00%,81.10%,79.70%
2014,2010s,Old Dominion,C-USA,6-Jun,-10.9,98,34,30,42.8,123,-2.2,121,24.30%,73.80%,5.00%,,
2015,2010s,Old Dominion,C-USA,7-May,-20.5,110,22.2,92,43,120,0.2,56,8.60%,25.10%,6.00%,,
2016,2010s,Old Dominion,C-USA,3-Oct,-3.3,77,33,44,36.5,100,0.2,56,41.00%,68.20%,19.70%,,
2017,2010s,Old Dominion,C-USA,7-May,-19.6,119,15.5,122,34.8,101,-0.3,80,9.50%,7.60%,20.60%,,
2018,2010s,Old Dominion,C-USA,8-Apr,-17.1,111,21.3,105,39.2,118,0.7,41,11.90%,20.50%,10.30%,,19.10%
2019,2010s,Old Dominion,C-USA,11-Jan,-26,124,9.9,129,35.2,104,-0.7,85,5.00%,1.50%,20.60%,,15.20%
2021,2020s,Old Dominion,C-USA,7-Jun,-13.3,107,20.5,101,33.2,102,-0.6,84,17.50%,18.90%,22.90%,,
2022,2020s,Old Dominion,Sun Belt,9-Mar,-14.6,110,15.5,118,29.4,81,-0.6,87,15.20%,11.00%,36.30%,,
1902,1900s,Ole Miss,Indies,3-Apr,3.3,33,14.5,26,11.2,50,,,60.60%,68.10%,43.00%,,
1904,1900s,Ole Miss,Indies,3-Apr,-4.7,52,10.5,43,15.3,57,,,39.50%,45.80%,32.30%,,
1906,1900s,Ole Miss,Indies,2-Apr,-5.3,44,5.8,35,11,50,,,33.00%,41.20%,25.50%,,
1907,1900s,Ole Miss,Indies,0-6,-20.7,67,1.6,65,22.3,65,,,5.00%,8.60%,4.10%,,
1908,1900s,Ole Miss,Indies,5-Mar,-17.4,67,1.4,63,18.8,67,,,3.00%,7.20%,2.90%,,
1909,1900s,Ole Miss,Indies,4-May,-7,61,4,60,11,57,,,22.30%,18.80%,33.60%,,
1910,1910s,Ole Miss,Indies,1-Jul,7.6,29,13.8,25,6.2,24,,,72.80%,69.70%,73.00%,,27.20%
1911,1910s,Ole Miss,Indies,3-Jun,6.4,23,13.1,15,6.8,41,,,71.30%,80.50%,57.00%,,34.90%
1912,1910s,Ole Miss,Indies,3-Apr,-0.4,45,14.3,33,14.7,50,,,48.80%,58.00%,37.20%,,43.60%
1913,1910s,Ole Miss,Indies,6.5-3.5,-1.9,51,10,54,12,42,,,44.50%,35.00%,55.50%,,51.90%
1914,1910s,Ole Miss,Indies,5.5-4.5,-3.7,54,8.8,61,12.5,46,,,40.40%,30.30%,53.20%,,55.60%
1915,1910s,Ole Miss,Indies,6-Feb,-25.9,89,2.8,85,28.6,88,,,5.10%,11.40%,3.20%,34.60%,42.00%
1916,1910s,Ole Miss,Indies,6-Mar,-24.8,91,4.4,82,29.2,95,,,7.80%,16.40%,4.70%,32.10%,29.30%
1917,1910s,Ole Miss,Indies,1.5-4.5,-28.8,97,5.1,81,33.9,97,,,4.50%,16.60%,1.70%,32.10%,20.50%
1918,1910s,Ole Miss,Indies,3-Jan,-25,72,3.5,64,28.5,73,,,3.00%,15.10%,0.80%,32.10%,12.20%
1919,1910s,Ole Miss,Indies,4-Apr,-14.4,94,5.8,71,20.2,100,,,11.00%,27.80%,4.40%,30.90%,6.30%
1921,1920s,Ole Miss,Indies,6-Mar,-11.9,91,9.1,66,21,100,,,19.80%,35.60%,11.50%,,
1922,1920s,Ole Miss,Southern,4.5-5.5,-6.1,83,12.1,59,18.2,90,,,35.90%,49.80%,27.00%,,
1923,1920s,Ole Miss,Southern,6-Apr,-13.8,96,1.3,109,15.1,84,,,16.80%,8.50%,32.50%,,
1924,1920s,Ole Miss,Southern,5-Apr,-12.8,100,1.3,108,14.1,86,,,14.90%,10.70%,25.90%,,
1925,1920s,Ole Miss,Southern,5-May,-5.7,85,5.8,88,11.4,74,,,32.60%,25.50%,44.30%,,24.00%
1926,1920s,Ole Miss,Southern,4-May,-6.5,82,6.4,84,12.9,77,,,29.30%,25.20%,37.10%,,25.90%
1927,1920s,Ole Miss,Southern,5.5-3.5,-0.2,56,12,55,12.2,60,,,49.20%,48.40%,50.20%,,28.60%
1928,1920s,Ole Miss,Southern,4-May,2.7,51,18,17,15.3,75,,,59.00%,83.60%,31.10%,,37.00%
1929,1920s,Ole Miss,Southern,7-Feb,-16,93,8.6,69,24.6,103,,,10.30%,33.00%,3.30%,,36.10%
1930,1930s,Ole Miss,Southern,3.5-5.5,-10.9,92,5.7,88,16.6,90,,,19.10%,22.50%,21.30%,28.70%,33.40%
1931,1930s,Ole Miss,Southern,2.5-6.5,-15.7,113,7.9,80,23.7,119,,,9.30%,32.50%,2.40%,27.70%,29.40%
1932,1930s,Ole Miss,Southern,6-May,-6.3,97,9.1,70,15.4,110,,,29.10%,46.00%,18.10%,27.00%,25.40%
1933,1930s,Ole Miss,SEC,4-Jul,6.8,40,12.4,39,5.6,40,,,73.80%,71.00%,73.00%,32.70%,28.30%
1934,1930s,Ole Miss,SEC,4.5-5.5,1.2,67,9.8,72,8.6,56,,,54.50%,43.80%,64.10%,36.60%,37.20%
1935,1930s,Ole Miss,SEC,3-Sep,15.7,11,21.4,9,5.7,26,,,92.70%,95.70%,80.50%,42.60%,51.90%
1936,1930s,Ole Miss,SEC,6-Jun,10.3,18,15.7,28,5.3,22,,,84.40%,79.50%,84.20%,48.10%,66.90%
1937,1930s,Ole Miss,SEC,4.5-5.5,4.5,48,11.8,50,7.3,49,,,66.10%,62.10%,66.10%,49.80%,74.30%
