"","game_id","date","type","team","opp","conf","opp_conf","location","result","score","team_rtg","opp_rtg","bub_rtg","bub_win_prob","wab","game_score","game_type","ot","wab_if_win","wab_if_loss","expected_wab","opp_net_rank","quad"
"7429","Chicago St.Mercyhurst1-25",2026-01-25,"conf","Mercyhurst","Chicago St.","NEC","NEC","H","W","61-59",0.32912018417732,0.0934497991567237,0.885145582503505,0.986800758176324,0.0131992418236765,16.3,"played",0,NA,NA,NA,340,"Q4"
"7430","Florida AtlanticSouth Florida1-25",2026-01-25,"conf","Florida Atlantic","South Florida","Amer","Amer","A","L","75-89",0.530427263136943,0.861845108616425,0.801873422330219,0.39349241351227,-0.39349241351227,67.4,"played",0,NA,NA,NA,49,"Q1"
"7431","Florida AtlanticSouth Florida1-25",2026-01-25,"conf","South Florida","Florida Atlantic","Amer","Amer","H","W","89-75",0.861845108616425,0.530427263136943,0.885145582503505,0.872163757479153,0.127836242520847,77.3,"played",0,NA,NA,NA,123,"Q3"
"7432","OregonWashington1-25",2026-01-25,"conf","Oregon","Washington","B10","B10","A","L","57-72",0.651592233263821,0.861877428604182,0.801873422330219,0.393427627924461,-0.393427627924461,20,"played",0,NA,NA,NA,61,"Q1"
"7433","OregonWashington1-25",2026-01-25,"conf","Washington","Oregon","B10","B10","H","W","72-57",0.861877428604182,0.651592233263821,0.885145582503505,0.804717070049379,0.195282929950621,97.9,"played",0,NA,NA,NA,102,"Q3"
"7434","USCWisconsin1-25",2026-01-25,"conf","USC","Wisconsin","B10","B10","A","W","73-71",0.709687719490271,0.940267316882073,0.801873422330219,0.204526460254272,0.795473539745728,95.2,"played",0,NA,NA,NA,26,"Q1A"
"7435","USCWisconsin1-25",2026-01-25,"conf","Wisconsin","USC","B10","B10","H","L","71-73",0.940267316882073,0.709687719490271,0.885145582503505,0.759185436157289,-0.759185436157289,65.8,"played",0,NA,NA,NA,78,"Q3"
"7436","Alcorn St.Bethune Cookman1-26",2026-01-26,"conf","Alcorn St.","Bethune Cookman","SWAC","SWAC","A","L","73-82",0.0872335078715075,0.471542109555176,0.801873422330219,0.819357325424032,-0.819357325424032,10.3,"played",0,NA,NA,NA,255,"Q4"
"7437","Alcorn St.Bethune Cookman1-26",2026-01-26,"conf","Bethune Cookman","Alcorn St.","SWAC","SWAC","H","W","82-73",0.471542109555176,0.0872335078715075,0.885145582503505,0.987750902802851,0.0122490971971493,42.7,"played",0,NA,NA,NA,352,"Q4"
"7438","ArizonaBYU1-26",2026-01-26,"conf","Arizona","BYU","B12","B12","A","W","86-83",0.964794757494923,0.903516867206487,0.801873422330219,0.301770317873603,0.698229682126397,96.5,"played",0,NA,NA,NA,24,"Q1A"
"7439","ArizonaBYU1-26",2026-01-26,"conf","BYU","Arizona","B12","B12","H","L","83-86",0.903516867206487,0.964794757494923,0.885145582503505,0.219491239087068,-0.219491239087068,90.2,"played",0,NA,NA,NA,3,"Q1A"
"7440","Central ConnecticutStonehill1-26",2026-01-26,"conf","Central Connecticut","Stonehill","NEC","NEC","A","L","59-61",0.164961469109748,0.18264143996307,0.801873422330219,0.94767798993957,-0.94767798993957,19.2,"played",0,NA,NA,NA,332,"Q4"
"7441","Central ConnecticutStonehill1-26",2026-01-26,"conf","Stonehill","Central Connecticut","NEC","NEC","H","W","61-59",0.18264143996307,0.164961469109748,0.885145582503505,0.975007093028167,0.0249929069718331,15.7,"played",0,NA,NA,NA,288,"Q4"
"7442","Delaware St.South Carolina St.1-26",2026-01-26,"conf","Delaware St.","South Carolina St.","MEAC","MEAC","A","L","64-70",0.0359948929556758,0.1102031720746,0.801873422330219,0.970307315316443,-0.970307315316443,2.7,"played",0,NA,NA,NA,357,"Q4"
"7443","Delaware St.South Carolina St.1-26",2026-01-26,"conf","South Carolina St.","Delaware St.","MEAC","MEAC","H","W","70-64",0.1102031720746,0.0359948929556758,0.885145582503505,0.995178352360923,0.00482164763907678,14.1,"played",0,NA,NA,NA,362,"Q4"
"7444","Jackson St.Florida A&M1-26",2026-01-26,"conf","Florida A&M","Jackson St.","SWAC","SWAC","H","L","65-66",0.305123942285902,0.102682010081454,0.885145582503505,0.985368805169088,-0.985368805169088,12.4,"played",0,NA,NA,NA,348,"Q4"
"7445","Jackson St.Florida A&M1-26",2026-01-26,"conf","Jackson St.","Florida A&M","SWAC","SWAC","A","W","66-65",0.102682010081454,0.305123942285902,0.801873422330219,0.902124837221234,0.0978751627787662,26.2,"played",0,NA,NA,NA,315,"Q4"
"7446","Le MoyneFairleigh Dickinson1-26",2026-01-26,"conf","Fairleigh Dickinson","Le Moyne","NEC","NEC","H","L","74-87",0.175232122922433,0.162848521176615,0.885145582503505,0.975380079332402,-0.975380079332402,1.7,"played",0,NA,NA,NA,290,"Q4"
"7447","Le MoyneFairleigh Dickinson1-26",2026-01-26,"conf","Le Moyne","Fairleigh Dickinson","NEC","NEC","A","W","87-74",0.162848521176615,0.175232122922433,0.801873422330219,0.950123173395519,0.0498768266044808,70.8,"played",0,NA,NA,NA,334,"Q4"
"7448","LouisvilleDuke1-26",2026-01-26,"conf","Duke","Louisville","ACC","ACC","H","W","83-52",0.987141522858373,0.917268763487983,0.885145582503505,0.410060195087002,0.589939804912998,99.8,"played",0,NA,NA,NA,14,"Q1A"
"7449","LouisvilleDuke1-26",2026-01-26,"conf","Louisville","Duke","ACC","ACC","A","L","52-83",0.917268763487983,0.987141522858373,0.801873422330219,0.0500795519474879,-0.0500795519474879,61.9,"played",0,NA,NA,NA,1,"Q1A"
"7450","Morgan St.Norfolk St.1-26",2026-01-26,"conf","Morgan St.","Norfolk St.","MEAC","MEAC","A","W","79-78",0.0697456934583154,0.205615889870407,0.801873422330219,0.939890865774734,0.0601091342252659,17.7,"played",0,NA,NA,NA,313,"Q4"
"7451","Morgan St.Norfolk St.1-26",2026-01-26,"conf","Norfolk St.","Morgan St.","MEAC","MEAC","H","L","78-79",0.205615889870407,0.0697456934583154,0.885145582503505,0.990365169850251,-0.990365169850251,8.3,"played",0,NA,NA,NA,351,"Q4"
"7452","Penn St.Ohio St.1-26",2026-01-26,"conf","Ohio St.","Penn St.","B10","B10","H","W","84-78",0.931643906360903,0.466502029652399,0.885145582503505,0.898099098989743,0.101900901010257,79.5,"played",0,NA,NA,NA,131,"Q3"
"7453","Penn St.Ohio St.1-26",2026-01-26,"conf","Penn St.","Ohio St.","B10","B10","A","L","78-84",0.466502029652399,0.931643906360903,0.801873422330219,0.228963114676078,-0.228963114676078,75.4,"played",0,NA,NA,NA,30,"Q1A"
"7454","UT Rio Grande ValleyTexas A&M Corpus Chris1-26",2026-01-26,"conf","Texas A&M Corpus Chris","UT Rio Grande Valley","Slnd","Slnd","H","L","55-64",0.540294753051519,0.542105503971313,0.885145582503505,0.866835601834265,-0.866835601834265,24.1,"played",0,NA,NA,NA,134,"Q3"
"7455","UT Rio Grande ValleyTexas A&M Corpus Chris1-26",2026-01-26,"conf","UT Rio Grande Valley","Texas A&M Corpus Chris","Slnd","Slnd","A","W","64-55",0.542105503971313,0.540294753051519,0.801873422330219,0.774956877637884,0.225043122362116,81.4,"played",0,NA,NA,NA,196,"Q3"
"7456","Alabama A&MPrairie View A&M1-27",2026-01-27,"conf","Alabama A&M","Prairie View A&M","SWAC","SWAC","A","W","80-60",0.179193537593245,0.266519961036472,0.801873422330219,0.9176166156166,0.0823833843833999,84.5,"played",0,NA,NA,NA,316,"Q4"
"7457","Alabama A&MPrairie View A&M1-27",2026-01-27,"conf","Prairie View A&M","Alabama A&M","SWAC","SWAC","H","L","60-80",0.266519961036472,0.179193537593245,0.885145582503505,0.972452451954767,-0.972452451954767,1.4,"played",0,NA,NA,NA,308,"Q4"
"7458","Alabama St.Texas Southern1-27",2026-01-27,"conf","Alabama St.","Texas Southern","SWAC","SWAC","A","L","64-96",0.164621113732332,0.277995379672523,0.801873422330219,0.913130491402021,-0.913130491402021,0.9,"played",0,NA,NA,NA,320,"Q4"
"7459","Alabama St.Texas Southern1-27",2026-01-27,"conf","Texas Southern","Alabama St.","SWAC","SWAC","H","W","96-64",0.277995379672523,0.164621113732332,0.885145582503505,0.975067282143939,0.0249327178560613,89.4,"played",0,NA,NA,NA,321,"Q4"
"7460","Arizona St.UCF1-27",2026-01-27,"conf","Arizona St.","UCF","B12","B12","A","L","76-79",0.746703847024482,0.856786081674469,0.801873422330219,0.403523728301159,-0.403523728301159,84.2,"played",0,NA,NA,NA,51,"Q1"
"7461","Arizona St.UCF1-27",2026-01-27,"conf","UCF","Arizona St.","B12","B12","H","W","79-76",0.856786081674469,0.746703847024482,0.885145582503505,0.723317466035638,0.276682533964362,76.8,"played",0,NA,NA,NA,67,"Q2"
"7462","ArkansasOklahoma1-27",2026-01-27,"conf","Arkansas","Oklahoma","SEC","SEC","A","W","83-79",0.906450001561683,0.883984775543831,0.801873422330219,0.346904520069267,0.653095479930733,89.3,"played",0,NA,NA,NA,54,"Q1"
"7463","ArkansasOklahoma1-27",2026-01-27,"conf","Oklahoma","Arkansas","SEC","SEC","H","L","79-83",0.883984775543831,0.906450001561683,0.885145582503505,0.443010455510527,-0.443010455510527,89.8,"played",0,NA,NA,NA,18,"Q1"
"7464","Boise St.San Jose St.1-27",2026-01-27,"conf","Boise St.","San Jose St.","MWC","MWC","A","W","89-58",0.775119171925912,0.446894211073036,0.801873422330219,0.833587917725327,0.166412082274673,93.9,"played",0,NA,NA,NA,256,"Q4"
"7465","Boise St.San Jose St.1-27",2026-01-27,"conf","San Jose St.","Boise St.","MWC","MWC","H","L","58-89",0.446894211073036,0.775119171925912,0.885145582503505,0.690966266003845,-0.690966266003845,15.4,"played",0,NA,NA,NA,57,"Q2"
"7466","BuffaloBowling Green1-27",2026-01-27,"conf","Bowling Green","Buffalo","MAC","MAC","H","L","78-89",0.60670611312845,0.315718136986828,0.885145582503505,0.94351338314936,-0.94351338314936,11.1,"played",0,NA,NA,NA,198,"Q4"
"7467","BuffaloBowling Green1-27",2026-01-27,"conf","Buffalo","Bowling Green","MAC","MAC","A","W","89-78",0.315718136986828,0.60670611312845,0.801873422330219,0.724033321173707,0.275966678826293,85.1,"played",0,NA,NA,NA,155,"Q3"
"7468","CreightonMarquette1-27",2026-01-27,"conf","Creighton","Marquette","BE","BE","A","L","62-86",0.659354076543758,0.808663785936939,0.801873422330219,0.489175088090965,-0.489175088090965,6.7,"played",0,NA,NA,NA,91,"Q2"
"7469","CreightonMarquette1-27",2026-01-27,"conf","Marquette","Creighton","BE","BE","H","W","86-62",0.808663785936939,0.659354076543758,0.885145582503505,0.79925901888427,0.200740981115729,99.1,"played",0,NA,NA,NA,81,"Q3"
"7470","East Texas A&MLamar1-27",2026-01-27,"conf","East Texas A&M","Lamar","Slnd","Slnd","A","L","61-82",0.18334204792924,0.393008960265806,0.801873422330219,0.862086183956408,-0.862086183956408,5.6,"played",0,NA,NA,NA,250,"Q4"
"7471","East Texas A&MLamar1-27",2026-01-27,"conf","Lamar","East Texas A&M","Slnd","Slnd","H","W","82-61",0.393008960265806,0.18334204792924,0.885145582503505,0.971693626412079,0.0283063735879214,70.9,"played",0,NA,NA,NA,302,"Q4"
