"","date","opponent_rk","opponent","result","location","pace","off_eff","off_eff_rk","off_e_fg_pct","off_to_pct","off_or_pct","off_ftr","off_fgm_2","off_fga_2","off_fg_2_pct","off_fgm_3","off_fga_3","off_fg_3_pct","off_fg_3a_pct","def_eff","def_eff_rk","def_e_fg_pct","def_to_pct","def_or_pct","def_ftr","def_fgm_2","def_fga_2","def_fg_2_pct","def_fgm_3","def_fga_3","def_fg_3_pct","def_fg_3a_pct","wl","team_score","opponent_score","day_date","game_date","season","coach"
"596",2019-12-15,154,"Wofford","L, 68-64","H",66,97.5,21,41.3,16.8,40.9,31.8,17,44,38.6,6,19,31.6,30.2,103.5,18,48.5,7.6,19.5,9.1,11,26,42.3,14,40,35,60.6,"L",64,68,"Sun Dec 15",20191215,2020,"Roy Williams"
"597",2019-12-18,2,"Gonzaga","L, 94-81","A",79,102.2,9,50.7,15.1,23.7,25,24,49,49,7,19,36.8,27.9,118.6,15,67,13.9,3.7,37.3,26,41,63.4,9,18,50,30.5,"L",81,94,"Wed Dec 18",20191218,2020,"Roy Williams"
"598",2019-12-21,78,"UCLA","W, 74-64","N",78,95.4,19,47.3,21.9,26.8,63.6,17,37,45.9,6,18,33.3,32.7,82.5,1,45.8,28.4,31.6,30.5,21,38,55.3,4,21,19,35.6,"W",74,64,"Sat Dec 21",20191221,2020,"Roy Williams"
"599",2019-12-30,58,"Yale","W, 70-67","H",73,96.2,11,40.9,11,31.2,23.9,20,52,38.5,6,19,31.6,26.8,92.1,6,44.4,13.7,2.9,40.7,12,27,44.4,8,27,29.6,50,"W",70,67,"Mon Dec 30",20191230,2020,"Roy Williams"
"600",2020-01-04,64,"Georgia Tech","L, 96-83","H",73,114.3,3,47.6,20.7,51.4,42.9,21,49,42.9,6,14,42.9,22.2,132.2,31,63.9,17.9,44.4,39.3,30,47,63.8,6,14,42.9,23,"L",83,96,"Sat Jan 4",20200104,2020,"Roy Williams"
"601",2020-01-08,111,"Pittsburgh","L, 73-65","H",71,91.2,24,45.1,23.9,38.9,27.9,20,40,50,5,21,23.8,34.4,102.4,20,52.9,18.2,15.2,42.3,14,30,46.7,9,22,40.9,42.3,"L",65,73,"Wed Jan 8",20200108,2020,"Roy Williams"
"602",2020-01-11,72,"Clemson","L, 79-76","H",67,100.2,12,47,13.2,23.1,30.3,22,40,55,6,26,23.1,39.4,104.2,18,52.2,14.5,23.1,19.4,17,36,47.2,12,31,38.7,46.3,"L",76,79,"Sat Jan 11",20200111,2020,"Roy Williams"
"603",2020-01-18,111,"Pittsburgh","L, 66-52","A",64,80.8,30,35,24.8,43.8,35,15,42,35.7,4,18,22.2,30,102.5,21,44.3,14,29.7,50.9,13,28,46.4,7,25,28,47.2,"L",52,66,"Sat Jan 18",20200118,2020,"Roy Williams"
"604",2020-01-22,105,"Virginia Tech","L, 79-77","A",63,98.4,16,49.2,16.6,16.2,31.2,21,42,50,7,22,31.8,34.4,101,17,47.7,11.5,17.8,32.3,10,28,35.7,14,37,37.8,56.9,"L",77,79,"Wed Jan 22",20200122,2020,"Roy Williams"
"605",2020-01-25,104,"Miami FL","W, 94-71","H",74,126.7,3,65.2,16.2,34.5,8.7,30,46,65.2,10,23,43.5,33.3,95.7,9,46.5,13.5,6.1,31,18,34,52.9,6,24,25,41.4,"W",94,71,"Sat Jan 25",20200125,2020,"Roy Williams"
