score_sentence,team_name_home,team_name_away,total_drives,total_points,point_diff,total_plays,total_sp_td,total_turnovers,total_punts,minutes,predicted_minutes,diff
"Wyoming 22, Appalachian State 19",,,24,41,3,132,0,3,12,202,206.97775279688386,4.977752796883863
"UNLV 45, UTEP 28",,,26,73,17,140,0,4,8,202,214.27871929828103,12.278719298281032
"New Mexico 34, UMass 31",,,22,65,3,125,0,0,5,202,206.826131435795,4.826131435794991
"Tennessee 45, UTSA 14",,,30,59,31,147,0,4,13,202,216.02012073432934,14.020120734329339
"Missouri 34, Memphis 27",,,24,61,7,137,0,3,7,201,210.2835800413218,9.283580041321812
"Houston 38, Sam Houston State 7",,,23,45,31,127,0,2,8,201,195.1904545693635,-5.80954543063649
"LSU 34, Arkansas 31",,,19,65,3,126,0,3,3,200,200.36803564001306,0.368035640013062
"Miami (OH) 62, Delaware State 20",,,23,82,42,127,0,0,6,200,200.12695180653213,0.12695180653213356
"Duke 41, Connecticut 7",,,26,48,34,127,0,2,11,200,201.4064729634907,1.4064729634906996
"Florida 22, Charlotte 7",,,22,29,15,112,0,2,9,200,192.86408340833665,-7.135916591663346
"East Carolina 44, Gardner-Webb 0",,,29,44,44,137,0,6,12,200,204.32867850088883,4.328678500888827
"Oklahoma 20, Cincinnati 6",,,24,26,14,151,0,3,10,199,201.9886538722014,2.988653872201411
"Nebraska 28, Louisiana Tech 14",,,23,42,14,129,0,1,13,198,201.3855272993123,3.3855272993122867
"Colorado State 31, Middle Tennessee 23",,,23,54,8,147,0,3,10,197,208.1278407941067,11.127840794106703
"Illinois 23, Florida Atlantic 17",,,25,40,6,150,0,3,10,197,209.90729437412713,12.907294374127133
"Georgia Southern 40, Ball State 3",,,27,43,37,134,0,2,15,197,202.8197124394169,5.8197124394168895
"Tulsa 22, Northern Illinois 14",,,27,36,8,138,0,6,10,197,210.40074722724776,13.400747227247763
"Miami 41, Temple 7",,,22,48,34,125,0,3,7,196,192.36125503660827,-3.63874496339173
"South Carolina 37, Mississippi State 30",,,24,67,7,138,0,3,7,196,211.8521324926592,15.852132492659194
"Ohio State 17, Notre Dame 14",,,17,31,3,129,0,0,5,196,189.21424670380608,-6.785753296193917
"Ohio 38, Bowling Green 7",,,24,45,31,110,0,5,9,195,194.7700509060416,-0.22994909395839613
"Kansas 38, BYU 27",,,19,65,11,129,0,3,3,194,198.07544500471136,4.075445004711355
"Arizona 21, Stanford 20",,,21,41,1,133,0,0,9,193,201.51676814947393,8.516768149473933
"Syracuse 29, Army 16",,,23,45,13,130,0,3,8,193,201.61798932405566,8.617989324055657
